Time                           Lat
2022-01-12/03:02:00         -69.13
2022-01-12/03:03:00         -69.24
2022-01-12/03:04:00         -69.34
2022-01-12/03:05:00         -69.45
2022-01-12/03:06:00         -69.56
2022-01-12/03:07:00         -69.66
2022-01-12/03:08:00         -69.77
2022-01-12/03:09:00         -69.87
2022-01-12/03:10:00         -69.98
2022-01-12/03:11:00         -70.08
2022-01-12/03:12:00         -70.18
2022-01-12/03:13:00         -70.28
2022-01-12/03:14:00         -70.38
2022-01-12/03:15:00         -70.48
2022-01-12/03:16:00         -70.58
2022-01-12/03:17:00         -70.67
2022-01-12/03:18:00         -70.77
2022-01-12/03:19:00         -70.86
2022-01-12/03:20:00         -70.96
2022-01-12/03:21:00         -71.05
2022-01-12/03:22:00         -71.15
2022-01-12/03:23:00         -71.24
2022-01-12/03:24:00         -71.33
2022-01-12/03:25:00         -71.42
2022-01-12/03:26:00         -71.51
2022-01-12/03:27:00         -71.60
2022-01-12/03:28:00         -71.68
2022-01-12/03:29:00         -71.77
2022-01-12/03:30:00         -71.86
2022-01-12/03:31:00         -71.94
2022-01-12/03:32:00         -72.03
2022-01-12/03:33:00         -72.11
2022-01-12/03:34:00         -72.20
2022-01-12/03:35:00         -72.28
2022-01-12/03:36:00         -72.36
2022-01-12/03:37:00         -72.45
2022-01-12/03:38:00         -72.53
2022-01-12/03:39:00         -72.61
2022-01-12/03:40:00         -72.69
2022-01-12/03:41:00         -72.77
2022-01-12/03:42:00         -72.85
2022-01-12/03:43:00         -72.93
2022-01-12/03:44:00         -73.01
2022-01-12/03:45:00         -73.09
2022-01-12/03:46:00         -73.16
2022-01-12/03:47:00         -73.24
2022-01-12/03:48:00         -73.32
2022-01-12/03:49:00         -73.39
2022-01-12/03:50:00         -73.47
2022-01-12/03:51:00         -73.55
2022-01-12/03:52:00         -73.62
2022-01-12/03:53:00         -73.70
2022-01-12/03:54:00         -73.77
2022-01-12/03:55:00         -73.85
2022-01-12/03:56:00         -73.92
2022-01-12/03:57:00         -73.99
2022-01-12/03:58:00         -74.07
2022-01-12/03:59:00         -74.14
2022-01-12/04:00:00         -74.21
2022-01-12/04:01:00         -74.28
2022-01-12/04:02:00         -74.36
2022-01-12/04:03:00         -74.43
2022-01-12/04:04:00         -74.50
2022-01-12/04:05:00         -74.57
2022-01-12/04:06:00         -74.64
2022-01-12/04:07:00         -74.71
2022-01-12/04:08:00         -74.78
2022-01-12/04:09:00         -74.84
2022-01-12/04:10:00         -74.91
2022-01-12/04:11:00         -74.98
2022-01-12/04:12:00         -75.05
2022-01-12/04:13:00         -75.11
2022-01-12/04:14:00         -75.18
2022-01-12/04:15:00         -75.24
2022-01-12/04:16:00         -75.30
2022-01-12/04:17:00         -75.37
2022-01-12/04:18:00         -75.43
2022-01-12/04:19:00         -75.49
2022-01-12/04:20:00         -75.55
2022-01-12/04:21:00         -75.61
2022-01-12/04:22:00         -75.67
2022-01-12/04:23:00         -75.72
2022-01-12/04:24:00         -75.78
2022-01-12/04:25:00         -75.83
2022-01-12/04:26:00         -75.89
2022-01-12/04:27:00         -75.94
2022-01-12/04:28:00         -75.99
2022-01-12/04:29:00         -76.04
2022-01-12/04:30:00         -76.08
2022-01-12/04:31:00         -76.13
2022-01-12/04:32:00         -76.17
2022-01-12/04:33:00         -76.22
2022-01-12/04:34:00         -76.26
2022-01-12/04:35:00         -76.30
2022-01-12/04:36:00         -76.33
2022-01-12/04:37:00         -76.37
2022-01-12/04:38:00         -76.40
2022-01-12/04:39:00         -76.44
2022-01-12/04:40:00         -76.47
2022-01-12/04:41:00         -76.49
2022-01-12/04:42:00         -76.52
2022-01-12/04:43:00         -76.54
2022-01-12/04:44:00         -76.57
2022-01-12/04:45:00         -76.58
2022-01-12/04:46:00         -76.60
2022-01-12/04:47:00         -76.62
2022-01-12/04:48:00         -76.63
2022-01-12/04:49:00         -76.64
2022-01-12/04:50:00         -76.66
2022-01-12/04:51:00         -76.66
2022-01-12/04:52:00         -76.67
2022-01-12/04:53:00         -76.67
