Time                           Lat
2022-01-12/03:02:00         -65.89
2022-01-12/03:03:00         -65.97
2022-01-12/03:04:00         -66.04
2022-01-12/03:05:00         -66.12
2022-01-12/03:06:00         -66.20
2022-01-12/03:07:00         -66.28
2022-01-12/03:08:00         -66.36
2022-01-12/03:09:00         -66.44
2022-01-12/03:10:00         -66.52
2022-01-12/03:11:00         -66.61
2022-01-12/03:12:00         -66.69
2022-01-12/03:13:00         -66.77
2022-01-12/03:14:00         -66.86
2022-01-12/03:15:00         -66.95
2022-01-12/03:16:00         -67.03
2022-01-12/03:17:00         -67.12
2022-01-12/03:18:00         -67.21
2022-01-12/03:19:00         -67.30
2022-01-12/03:20:00         -67.39
2022-01-12/03:21:00         -67.48
2022-01-12/03:22:00         -67.58
2022-01-12/03:23:00         -67.67
2022-01-12/03:24:00         -67.76
2022-01-12/03:25:00         -67.86
2022-01-12/03:26:00         -67.95
2022-01-12/03:27:00         -68.05
2022-01-12/03:28:00         -68.15
2022-01-12/03:29:00         -68.25
2022-01-12/03:30:00         -68.34
2022-01-12/03:31:00         -68.44
2022-01-12/03:32:00         -68.54
2022-01-12/03:33:00         -68.65
2022-01-12/03:34:00         -68.75
2022-01-12/03:35:00         -68.85
2022-01-12/03:36:00         -68.95
2022-01-12/03:37:00         -69.06
2022-01-12/03:38:00         -69.16
2022-01-12/03:39:00         -69.27
2022-01-12/03:40:00         -69.37
2022-01-12/03:41:00         -69.48
2022-01-12/03:42:00         -69.58
2022-01-12/03:43:00         -69.69
2022-01-12/03:44:00         -69.80
2022-01-12/03:45:00         -69.91
2022-01-12/03:46:00         -70.01
2022-01-12/03:47:00         -70.12
2022-01-12/03:48:00         -70.23
2022-01-12/03:49:00         -70.34
2022-01-12/03:50:00         -70.45
2022-01-12/03:51:00         -70.56
2022-01-12/03:52:00         -70.67
2022-01-12/03:53:00         -70.78
2022-01-12/03:54:00         -70.89
2022-01-12/03:55:00         -71.00
2022-01-12/03:56:00         -71.12
2022-01-12/03:57:00         -71.23
2022-01-12/03:58:00         -71.34
2022-01-12/03:59:00         -71.45
2022-01-12/04:00:00         -71.56
2022-01-12/04:01:00         -71.67
2022-01-12/04:02:00         -71.78
2022-01-12/04:03:00         -71.89
2022-01-12/04:04:00         -72.01
2022-01-12/04:05:00         -72.12
2022-01-12/04:06:00         -72.23
2022-01-12/04:07:00         -72.34
2022-01-12/04:08:00         -72.45
2022-01-12/04:09:00         -72.56
2022-01-12/04:10:00         -72.67
2022-01-12/04:11:00         -72.78
2022-01-12/04:12:00         -72.88
2022-01-12/04:13:00         -72.99
2022-01-12/04:14:00         -73.10
2022-01-12/04:15:00         -73.21
