Time                           Lon
2022-01-12/03:12:00          87.91
2022-01-12/03:13:00          88.27
2022-01-12/03:14:00          88.63
2022-01-12/03:15:00          88.99
2022-01-12/03:16:00          89.35
2022-01-12/03:17:00          89.71
2022-01-12/03:18:00          90.08
2022-01-12/03:19:00          90.45
2022-01-12/03:20:00          90.81
2022-01-12/03:21:00          91.18
2022-01-12/03:22:00          91.55
2022-01-12/03:23:00          91.93
2022-01-12/03:24:00          92.30
2022-01-12/03:25:00          92.68
2022-01-12/03:26:00          93.05
2022-01-12/03:27:00          93.43
2022-01-12/03:28:00          93.81
2022-01-12/03:29:00          94.19
2022-01-12/03:30:00          94.58
2022-01-12/03:31:00          94.96
2022-01-12/03:32:00          95.35
2022-01-12/03:33:00          95.74
2022-01-12/03:34:00          96.13
2022-01-12/03:35:00          96.53
2022-01-12/03:36:00          96.92
2022-01-12/03:37:00          97.32
2022-01-12/03:38:00          97.72
2022-01-12/03:39:00          98.12
2022-01-12/03:40:00          98.53
2022-01-12/03:41:00          98.94
2022-01-12/03:42:00          99.35
2022-01-12/03:43:00          99.76
2022-01-12/03:44:00          100.2
2022-01-12/03:45:00          100.6
2022-01-12/03:46:00          101.0
2022-01-12/03:47:00          101.4
2022-01-12/03:48:00          101.9
2022-01-12/03:49:00          102.3
2022-01-12/03:50:00          102.7
2022-01-12/03:51:00          103.2
2022-01-12/03:52:00          103.6
2022-01-12/03:53:00          104.0
2022-01-12/03:54:00          104.5
2022-01-12/03:55:00          104.9
2022-01-12/03:56:00          105.4
2022-01-12/03:57:00          105.8
2022-01-12/03:58:00          106.3
2022-01-12/03:59:00          106.8
2022-01-12/04:00:00          107.2
2022-01-12/04:01:00          107.7
2022-01-12/04:02:00          108.2
2022-01-12/04:03:00          108.6
2022-01-12/04:04:00          109.1
2022-01-12/04:05:00          109.6
2022-01-12/04:06:00          110.1
2022-01-12/04:07:00          110.6
2022-01-12/04:08:00          111.1
2022-01-12/04:09:00          111.6
2022-01-12/04:10:00          112.1
2022-01-12/04:11:00          112.6
2022-01-12/04:12:00          113.1
2022-01-12/04:13:00          113.6
2022-01-12/04:14:00          114.1
2022-01-12/04:15:00          114.6
2022-01-12/04:16:00          115.1
2022-01-12/04:17:00          115.6
2022-01-12/04:18:00          116.2
2022-01-12/04:19:00          116.7
2022-01-12/04:20:00          117.2
2022-01-12/04:21:00          117.8
2022-01-12/04:22:00          118.3
2022-01-12/04:23:00          118.8
2022-01-12/04:24:00          119.4
2022-01-12/04:25:00          119.9
2022-01-12/04:26:00          120.5
2022-01-12/04:27:00          121.0
2022-01-12/04:28:00          121.6
2022-01-12/04:29:00          122.2
2022-01-12/04:30:00          122.7
2022-01-12/04:31:00          123.3
2022-01-12/04:32:00          123.9
2022-01-12/04:33:00          124.5
2022-01-12/04:34:00          125.0
2022-01-12/04:35:00          125.6
2022-01-12/04:36:00          126.2
2022-01-12/04:37:00          126.8
2022-01-12/04:38:00          127.4
2022-01-12/04:39:00          128.0
2022-01-12/04:40:00          128.6
2022-01-12/04:41:00          129.2
2022-01-12/04:42:00          129.8
2022-01-12/04:43:00          130.4
2022-01-12/04:44:00          131.0
2022-01-12/04:45:00          131.6
2022-01-12/04:46:00          132.2
2022-01-12/04:47:00          132.9
2022-01-12/04:48:00          133.5
2022-01-12/04:49:00          134.1
2022-01-12/04:50:00          134.8
2022-01-12/04:51:00          135.4
2022-01-12/04:52:00          136.1
2022-01-12/04:53:00          136.7
2022-01-12/04:54:00          137.4
2022-01-12/04:55:00          138.0
2022-01-12/04:56:00          138.7
2022-01-12/04:57:00          139.4
2022-01-12/04:58:00          140.1
2022-01-12/04:59:00          140.7
2022-01-12/05:00:00          141.4
2022-01-12/05:01:00          142.1
2022-01-12/05:02:00          142.8
2022-01-12/05:03:00          143.5
2022-01-12/05:04:00          144.3
2022-01-12/05:05:00          145.0
2022-01-12/05:06:00          145.7
2022-01-12/05:07:00          146.5
2022-01-12/05:08:00          147.2
2022-01-12/05:09:00          148.0
2022-01-12/05:10:00          148.7
2022-01-12/05:11:00          149.5
2022-01-12/05:12:00          150.3
2022-01-12/05:13:00          151.1
2022-01-12/05:14:00          151.8
2022-01-12/05:15:00          152.7
2022-01-12/05:16:00          153.5
2022-01-12/05:17:00          154.3
2022-01-12/05:18:00          155.1
2022-01-12/05:19:00          156.0
2022-01-12/05:20:00          156.8
2022-01-12/05:21:00          157.7
2022-01-12/05:22:00          158.6
2022-01-12/05:23:00          159.5
2022-01-12/05:24:00          160.4
2022-01-12/05:25:00          161.3
2022-01-12/05:26:00          162.2
2022-01-12/05:27:00          163.1
2022-01-12/05:28:00          164.1
2022-01-12/05:29:00          165.0
2022-01-12/05:30:00          166.0
2022-01-12/05:31:00          167.0
2022-01-12/05:32:00          168.0
2022-01-12/05:33:00          169.0
2022-01-12/05:34:00          170.0
2022-01-12/05:35:00          171.0
2022-01-12/05:36:00          172.0
2022-01-12/05:37:00          173.1
2022-01-12/05:38:00          174.1
2022-01-12/05:39:00          175.2
2022-01-12/05:40:00          176.2
2022-01-12/05:41:00          177.3
2022-01-12/05:42:00          178.4
2022-01-12/05:43:00          179.5
2022-01-12/05:44:00          180.6
2022-01-12/05:45:00          181.7
2022-01-12/05:46:00          182.8
2022-01-12/05:47:00          183.9
2022-01-12/05:48:00          185.0
2022-01-12/05:49:00          186.1
2022-01-12/05:50:00          187.3
2022-01-12/05:51:00          188.4
2022-01-12/05:52:00          189.5
2022-01-12/05:53:00          190.6
2022-01-12/05:54:00          191.8
2022-01-12/05:55:00          192.9
2022-01-12/05:56:00          194.0
2022-01-12/05:57:00          195.1
2022-01-12/05:58:00          196.2
2022-01-12/05:59:00          197.3
2022-01-12/06:00:00          198.4
2022-01-12/06:01:00          199.5
2022-01-12/06:02:00          200.6
2022-01-12/06:03:00          201.7
2022-01-12/06:04:00          202.8
2022-01-12/06:05:00          203.9
2022-01-12/06:06:00          205.0
2022-01-12/06:07:00          206.0
2022-01-12/06:08:00          207.1
2022-01-12/06:09:00          208.1
2022-01-12/06:10:00          209.1
2022-01-12/06:11:00          210.2
2022-01-12/06:12:00          211.2
2022-01-12/06:13:00          212.2
2022-01-12/06:14:00          213.2
2022-01-12/06:15:00          214.2
2022-01-12/06:16:00          215.1
2022-01-12/06:17:00          216.1
2022-01-12/06:18:00          217.1
2022-01-12/06:19:00          218.0
2022-01-12/06:20:00          218.9
2022-01-12/06:21:00          219.9
2022-01-12/06:22:00          220.8
2022-01-12/06:23:00          221.7
2022-01-12/06:24:00          222.6
2022-01-12/06:25:00          223.5
