Time                           Lon
2022-01-12/03:12:00          156.4
2022-01-12/03:13:00          157.4
2022-01-12/03:14:00          158.4
2022-01-12/03:15:00          159.5
2022-01-12/03:16:00          160.6
2022-01-12/03:17:00          161.7
2022-01-12/03:18:00          162.8
2022-01-12/03:19:00          163.9
2022-01-12/03:20:00          165.1
2022-01-12/03:21:00          166.3
2022-01-12/03:22:00          167.4
2022-01-12/03:23:00          168.6
2022-01-12/03:24:00          169.8
2022-01-12/03:25:00          171.1
2022-01-12/03:26:00          172.3
2022-01-12/03:27:00          173.6
2022-01-12/03:28:00          174.8
2022-01-12/03:29:00          176.1
2022-01-12/03:30:00          177.4
2022-01-12/03:31:00          178.7
2022-01-12/03:32:00          180.0
2022-01-12/03:33:00          181.3
2022-01-12/03:34:00          182.7
2022-01-12/03:35:00          184.0
2022-01-12/03:36:00          185.3
2022-01-12/03:37:00          186.7
2022-01-12/03:38:00          188.0
2022-01-12/03:39:00          189.4
2022-01-12/03:40:00          190.7
2022-01-12/03:41:00          192.1
2022-01-12/03:42:00          193.5
2022-01-12/03:43:00          194.8
2022-01-12/03:44:00          196.2
2022-01-12/03:45:00          197.5
2022-01-12/03:46:00          198.8
2022-01-12/03:47:00          200.2
2022-01-12/03:48:00          201.5
2022-01-12/03:49:00          202.8
2022-01-12/03:50:00          204.1
2022-01-12/03:51:00          205.4
2022-01-12/03:52:00          206.7
2022-01-12/03:53:00          208.0
2022-01-12/03:54:00          209.3
2022-01-12/03:55:00          210.5
2022-01-12/03:56:00          211.8
2022-01-12/03:57:00          213.0
2022-01-12/03:58:00          214.2
2022-01-12/03:59:00          215.4
2022-01-12/04:00:00          216.6
2022-01-12/04:01:00          217.8
2022-01-12/04:02:00          218.9
2022-01-12/04:03:00          220.1
2022-01-12/04:04:00          221.2
2022-01-12/04:05:00          222.3
2022-01-12/04:06:00          223.4
2022-01-12/04:07:00          224.5
2022-01-12/04:08:00          225.6
2022-01-12/04:09:00          226.7
2022-01-12/04:10:00          227.7
2022-01-12/04:11:00          228.7
2022-01-12/04:12:00          229.8
2022-01-12/04:13:00          230.8
2022-01-12/04:14:00          231.8
2022-01-12/04:15:00          232.8
2022-01-12/04:16:00          233.7
2022-01-12/04:17:00          234.7
2022-01-12/04:18:00          235.6
2022-01-12/04:19:00          236.6
2022-01-12/04:20:00          237.5
2022-01-12/04:21:00          238.4
2022-01-12/04:22:00          239.3
2022-01-12/04:23:00          240.2
2022-01-12/04:24:00          241.1
2022-01-12/04:25:00          241.9
2022-01-12/04:26:00          242.8
2022-01-12/04:27:00          243.6
2022-01-12/04:28:00          244.5
2022-01-12/04:29:00          245.3
2022-01-12/04:30:00          246.1
2022-01-12/04:31:00          246.9
2022-01-12/04:32:00          247.7
2022-01-12/04:33:00          248.5
2022-01-12/04:34:00          249.3
2022-01-12/04:35:00          250.1
2022-01-12/04:36:00          250.9
2022-01-12/04:37:00          251.6
2022-01-12/04:38:00          252.4
2022-01-12/04:39:00          253.2
2022-01-12/04:40:00          253.9
2022-01-12/04:41:00          254.6
2022-01-12/04:42:00          255.4
2022-01-12/04:43:00          256.1
2022-01-12/04:44:00          256.8
2022-01-12/04:45:00          257.6
2022-01-12/04:46:00          258.3
2022-01-12/04:47:00          259.0
2022-01-12/04:48:00          259.7
2022-01-12/04:49:00          260.4
2022-01-12/04:50:00          261.1
2022-01-12/04:51:00          261.7
2022-01-12/04:52:00          262.4
2022-01-12/04:53:00          263.1
2022-01-12/04:54:00          263.8
2022-01-12/04:55:00          264.4
2022-01-12/04:56:00          265.1
2022-01-12/04:57:00          265.8
2022-01-12/04:58:00          266.4
2022-01-12/04:59:00          267.1
2022-01-12/05:00:00          267.7
2022-01-12/05:01:00          268.3
2022-01-12/05:02:00          269.0
2022-01-12/05:03:00          269.6
2022-01-12/05:04:00          270.3
2022-01-12/05:05:00          270.9
2022-01-12/05:06:00          271.5
2022-01-12/05:07:00          272.1
2022-01-12/05:08:00          272.7
2022-01-12/05:09:00          273.3
2022-01-12/05:10:00          274.0
2022-01-12/05:11:00          274.6
2022-01-12/05:12:00          275.2
2022-01-12/05:13:00          275.8
2022-01-12/05:14:00          276.4
2022-01-12/05:15:00          277.0
2022-01-12/05:16:00          277.5
2022-01-12/05:17:00          278.1
2022-01-12/05:18:00          278.7
2022-01-12/05:19:00          279.3
2022-01-12/05:20:00          279.9
2022-01-12/05:21:00          280.4
2022-01-12/05:22:00          281.0
2022-01-12/05:23:00          281.6
2022-01-12/05:24:00          282.1
2022-01-12/05:25:00          282.7
2022-01-12/05:26:00          283.3
2022-01-12/05:27:00          283.8
2022-01-12/05:28:00          284.4
2022-01-12/05:29:00          284.9
2022-01-12/05:30:00          285.5
2022-01-12/05:31:00          286.0
2022-01-12/05:32:00          286.6
2022-01-12/05:33:00          287.1
2022-01-12/05:34:00          287.6
2022-01-12/05:35:00          288.2
2022-01-12/05:36:00          288.7
2022-01-12/05:37:00          289.2
2022-01-12/05:38:00          289.8
2022-01-12/05:39:00          290.3
2022-01-12/05:40:00          290.8
2022-01-12/05:41:00          291.3
2022-01-12/05:42:00          291.9
2022-01-12/05:43:00          292.4
2022-01-12/05:44:00          292.9
2022-01-12/05:45:00          293.4
2022-01-12/05:46:00          293.9
2022-01-12/05:47:00          294.4
2022-01-12/05:48:00          294.9
2022-01-12/05:49:00          295.4
2022-01-12/05:50:00          295.9
2022-01-12/05:51:00          296.4
2022-01-12/05:52:00          296.9
2022-01-12/05:53:00          297.4
2022-01-12/05:54:00          297.9
2022-01-12/05:55:00          298.4
2022-01-12/05:56:00          298.9
2022-01-12/05:57:00          299.4
2022-01-12/05:58:00          299.9
2022-01-12/05:59:00          300.4
2022-01-12/06:00:00          300.9
2022-01-12/06:01:00          301.4
2022-01-12/06:02:00          301.8
2022-01-12/06:03:00          302.3
2022-01-12/06:04:00          302.8
2022-01-12/06:05:00          303.3
2022-01-12/06:06:00          303.8
2022-01-12/06:07:00          304.2
2022-01-12/06:08:00          304.7
2022-01-12/06:09:00          305.2
2022-01-12/06:10:00          305.7
2022-01-12/06:11:00          306.1
2022-01-12/06:12:00          306.6
2022-01-12/06:13:00          307.1
2022-01-12/06:14:00          307.6
2022-01-12/06:15:00          308.0
2022-01-12/06:16:00          308.5
2022-01-12/06:17:00          309.0
2022-01-12/06:18:00          309.4
2022-01-12/06:19:00          309.9
2022-01-12/06:20:00          310.4
2022-01-12/06:21:00          310.8
2022-01-12/06:22:00          311.3
2022-01-12/06:23:00          311.8
2022-01-12/06:24:00          312.2
2022-01-12/06:25:00          312.7
2022-01-12/06:26:00          313.1
2022-01-12/06:27:00          313.6
2022-01-12/06:28:00          314.1
2022-01-12/06:29:00          314.5
2022-01-12/06:30:00          315.0
2022-01-12/06:31:00          315.5
2022-01-12/06:32:00          315.9
2022-01-12/06:33:00          316.4
2022-01-12/06:34:00          316.8
2022-01-12/06:35:00          317.3
2022-01-12/06:36:00          317.7
2022-01-12/06:37:00          318.2
2022-01-12/06:38:00          318.7
2022-01-12/06:39:00          319.1
2022-01-12/06:40:00          319.6
2022-01-12/06:41:00          320.0
2022-01-12/06:42:00          320.5
2022-01-12/06:43:00          320.9
2022-01-12/06:44:00          321.4
2022-01-12/06:45:00          321.8
2022-01-12/06:46:00          322.3
2022-01-12/06:47:00          322.8
2022-01-12/06:48:00          323.2
2022-01-12/06:49:00          323.7
2022-01-12/06:50:00          324.1
2022-01-12/06:51:00          324.6
2022-01-12/06:52:00          325.0
2022-01-12/06:53:00          325.5
2022-01-12/06:54:00          325.9
2022-01-12/06:55:00          326.4
2022-01-12/06:56:00          326.8
2022-01-12/06:57:00          327.3
2022-01-12/06:58:00          327.7
2022-01-12/06:59:00          328.2
2022-01-12/07:00:00          328.6
2022-01-12/07:01:00          329.1
2022-01-12/07:02:00          329.5
2022-01-12/07:03:00          330.0
2022-01-12/07:04:00          330.4
2022-01-12/07:05:00          330.9
2022-01-12/07:06:00          331.3
2022-01-12/07:07:00          331.8
2022-01-12/07:08:00          332.2
2022-01-12/07:09:00          332.7
2022-01-12/07:10:00          333.1
2022-01-12/07:11:00          333.6
2022-01-12/07:12:00          334.0
2022-01-12/07:13:00          334.5
2022-01-12/07:14:00          334.9
2022-01-12/07:15:00          335.4
2022-01-12/07:16:00          335.8
2022-01-12/07:17:00          336.3
2022-01-12/07:18:00          336.7
2022-01-12/07:19:00          337.2
2022-01-12/07:20:00          337.6
2022-01-12/07:21:00          338.1
2022-01-12/07:22:00          338.5
2022-01-12/07:23:00          339.0
2022-01-12/07:24:00          339.4
2022-01-12/07:25:00          339.9
2022-01-12/07:26:00          340.3
2022-01-12/07:27:00          340.8
2022-01-12/07:28:00          341.2
2022-01-12/07:29:00          341.7
2022-01-12/07:30:00          342.1
2022-01-12/07:31:00          342.6
2022-01-12/07:32:00          343.0
