Time                           Lat
2022-01-12/03:02:00         -80.85
2022-01-12/03:03:00         -80.94
2022-01-12/03:04:00         -81.03
2022-01-12/03:05:00         -81.11
2022-01-12/03:06:00         -81.20
2022-01-12/03:07:00         -81.28
2022-01-12/03:08:00         -81.36
2022-01-12/03:09:00         -81.44
2022-01-12/03:10:00         -81.52
2022-01-12/03:11:00         -81.60
2022-01-12/03:12:00         -81.68
2022-01-12/03:13:00         -81.75
2022-01-12/03:14:00         -81.83
2022-01-12/03:15:00         -81.90
2022-01-12/03:16:00         -81.97
2022-01-12/03:17:00         -82.04
2022-01-12/03:18:00         -82.11
2022-01-12/03:19:00         -82.18
2022-01-12/03:20:00         -82.24
2022-01-12/03:21:00         -82.30
2022-01-12/03:22:00         -82.36
2022-01-12/03:23:00         -82.42
2022-01-12/03:24:00         -82.47
2022-01-12/03:25:00         -82.53
2022-01-12/03:26:00         -82.58
2022-01-12/03:27:00         -82.63
2022-01-12/03:28:00         -82.67
2022-01-12/03:29:00         -82.72
2022-01-12/03:30:00         -82.76
2022-01-12/03:31:00         -82.80
2022-01-12/03:32:00         -82.83
2022-01-12/03:33:00         -82.86
2022-01-12/03:34:00         -82.89
2022-01-12/03:35:00         -82.92
2022-01-12/03:36:00         -82.94
2022-01-12/03:37:00         -82.97
2022-01-12/03:38:00         -82.99
2022-01-12/03:39:00         -83.00
2022-01-12/03:40:00         -83.01
2022-01-12/03:41:00         -83.02
2022-01-12/03:42:00         -83.03
2022-01-12/03:43:00         -83.04
2022-01-12/03:44:00         -83.04
2022-01-12/03:45:00         -83.04
2022-01-12/03:46:00         -83.03
2022-01-12/03:47:00         -83.03
2022-01-12/03:48:00         -83.02
2022-01-12/03:49:00         -83.01
2022-01-12/03:50:00         -82.99
2022-01-12/03:51:00         -82.98
2022-01-12/03:52:00         -82.96
2022-01-12/03:53:00         -82.94
2022-01-12/03:54:00         -82.92
2022-01-12/03:55:00         -82.89
2022-01-12/03:56:00         -82.87
2022-01-12/03:57:00         -82.84
2022-01-12/03:58:00         -82.81
2022-01-12/03:59:00         -82.77
2022-01-12/04:00:00         -82.74
2022-01-12/04:01:00         -82.70
2022-01-12/04:02:00         -82.67
2022-01-12/04:03:00         -82.63
2022-01-12/04:04:00         -82.59
2022-01-12/04:05:00         -82.55
2022-01-12/04:06:00         -82.50
2022-01-12/04:07:00         -82.46
2022-01-12/04:08:00         -82.41
2022-01-12/04:09:00         -82.37
2022-01-12/04:10:00         -82.32
2022-01-12/04:11:00         -82.27
2022-01-12/04:12:00         -82.22
2022-01-12/04:13:00         -82.17
2022-01-12/04:14:00         -82.12
2022-01-12/04:15:00         -82.07
2022-01-12/04:16:00         -82.01
2022-01-12/04:17:00         -81.96
2022-01-12/04:18:00         -81.91
2022-01-12/04:19:00         -81.85
2022-01-12/04:20:00         -81.80
2022-01-12/04:21:00         -81.74
2022-01-12/04:22:00         -81.69
2022-01-12/04:23:00         -81.63
2022-01-12/04:24:00         -81.57
2022-01-12/04:25:00         -81.51
2022-01-12/04:26:00         -81.46
2022-01-12/04:27:00         -81.40
2022-01-12/04:28:00         -81.34
2022-01-12/04:29:00         -81.28
2022-01-12/04:30:00         -81.22
2022-01-12/04:31:00         -81.16
2022-01-12/04:32:00         -81.10
2022-01-12/04:33:00         -81.04
2022-01-12/04:34:00         -80.98
2022-01-12/04:35:00         -80.92
2022-01-12/04:36:00         -80.86
2022-01-12/04:37:00         -80.80
2022-01-12/04:38:00         -80.74
2022-01-12/04:39:00         -80.68
2022-01-12/04:40:00         -80.61
2022-01-12/04:41:00         -80.55
2022-01-12/04:42:00         -80.49
2022-01-12/04:43:00         -80.43
2022-01-12/04:44:00         -80.36
2022-01-12/04:45:00         -80.30
2022-01-12/04:46:00         -80.24
2022-01-12/04:47:00         -80.18
2022-01-12/04:48:00         -80.11
2022-01-12/04:49:00         -80.05
2022-01-12/04:50:00         -79.99
2022-01-12/04:51:00         -79.92
2022-01-12/04:52:00         -79.86
2022-01-12/04:53:00         -79.79
2022-01-12/04:54:00         -79.73
2022-01-12/04:55:00         -79.67
2022-01-12/04:56:00         -79.60
2022-01-12/04:57:00         -79.54
2022-01-12/04:58:00         -79.47
2022-01-12/04:59:00         -79.41
2022-01-12/05:00:00         -79.34
2022-01-12/05:01:00         -79.27
2022-01-12/05:02:00         -79.21
2022-01-12/05:03:00         -79.14
2022-01-12/05:04:00         -79.08
2022-01-12/05:05:00         -79.01
2022-01-12/05:06:00         -78.94
2022-01-12/05:07:00         -78.88
2022-01-12/05:08:00         -78.81
2022-01-12/05:09:00         -78.74
2022-01-12/05:10:00         -78.68
2022-01-12/05:11:00         -78.61
2022-01-12/05:12:00         -78.54
2022-01-12/05:13:00         -78.48
2022-01-12/05:14:00         -78.41
2022-01-12/05:15:00         -78.34
2022-01-12/05:16:00         -78.27
2022-01-12/05:17:00         -78.21
2022-01-12/05:18:00         -78.14
2022-01-12/05:19:00         -78.07
2022-01-12/05:20:00         -78.00
2022-01-12/05:21:00         -77.93
2022-01-12/05:22:00         -77.86
2022-01-12/05:23:00         -77.80
2022-01-12/05:24:00         -77.73
2022-01-12/05:25:00         -77.66
2022-01-12/05:26:00         -77.59
2022-01-12/05:27:00         -77.52
2022-01-12/05:28:00         -77.45
2022-01-12/05:29:00         -77.38
2022-01-12/05:30:00         -77.31
2022-01-12/05:31:00         -77.24
2022-01-12/05:32:00         -77.18
2022-01-12/05:33:00         -77.11
2022-01-12/05:34:00         -77.04
2022-01-12/05:35:00         -76.97
2022-01-12/05:36:00         -76.90
2022-01-12/05:37:00         -76.83
2022-01-12/05:38:00         -76.76
2022-01-12/05:39:00         -76.69
2022-01-12/05:40:00         -76.62
2022-01-12/05:41:00         -76.56
2022-01-12/05:42:00         -76.49
2022-01-12/05:43:00         -76.42
2022-01-12/05:44:00         -76.35
2022-01-12/05:45:00         -76.28
2022-01-12/05:46:00         -76.21
2022-01-12/05:47:00         -76.14
2022-01-12/05:48:00         -76.08
2022-01-12/05:49:00         -76.01
2022-01-12/05:50:00         -75.94
2022-01-12/05:51:00         -75.87
2022-01-12/05:52:00         -75.81
2022-01-12/05:53:00         -75.74
