Time	R	Lat	Lon
2022-01-12/00:06:39	1.006	-76.778	280.19
2022-01-12/00:06:40	1.006	-76.77666666666667	280.2
2022-01-12/00:06:41	1.006	-76.77533333333334	280.21
2022-01-12/00:06:42	1.006	-76.774	280.21999999999997
2022-01-12/00:06:43	1.006	-76.77266666666667	280.22999999999996
2022-01-12/00:06:44	1.006	-76.77133333333333	280.24
2022-01-12/00:06:45	1.006	-76.77	280.25
2022-01-12/00:06:46	1.006	-76.76866666666666	280.26
2022-01-12/00:06:47	1.006	-76.76733333333333	280.27
2022-01-12/00:06:48	1.006	-76.766	280.28
2022-01-12/00:06:49	1.006	-76.76466666666667	280.28999999999996
2022-01-12/00:06:50	1.006	-76.76333333333334	280.29999999999995
2022-01-12/00:06:51	1.006	-76.762	280.31
2022-01-12/00:06:52	1.006	-76.76066666666667	280.32
2022-01-12/00:06:53	1.006	-76.75933333333333	280.33
2022-01-12/00:06:54	1.006	-76.758	280.34
2022-01-12/00:06:55	1.006	-76.75666666666666	280.34999999999997
2022-01-12/00:06:56	1.006	-76.75533333333334	280.35999999999996
2022-01-12/00:06:57	1.006	-76.754	280.37
2022-01-12/00:06:58	1.006	-76.75266666666667	280.38
2022-01-12/00:06:59	1.006	-76.75133333333333	280.39
2022-01-12/00:07:00	1.006	-76.75	280.4
2022-01-12/00:07:01	1.006	-76.74883333333334	280.40999999999997
2022-01-12/00:07:02	1.006	-76.74766666666666	280.41999999999996
2022-01-12/00:07:03	1.006	-76.7465	280.42999999999995
2022-01-12/00:07:04	1.006	-76.74533333333333	280.44
2022-01-12/00:07:05	1.006	-76.74416666666667	280.45
2022-01-12/00:07:06	1.006	-76.743	280.46
2022-01-12/00:07:07	1.006	-76.74183333333333	280.46999999999997
2022-01-12/00:07:08	1.006	-76.74066666666667	280.47999999999996
2022-01-12/00:07:09	1.006	-76.7395	280.49
2022-01-12/00:07:10	1.006	-76.73833333333333	280.5
2022-01-12/00:07:11	1.006	-76.73716666666667	280.51
2022-01-12/00:07:12	1.006	-76.736	280.52
2022-01-12/00:07:13	1.006	-76.73483333333334	280.53
2022-01-12/00:07:14	1.006	-76.73366666666666	280.53999999999996
2022-01-12/00:07:15	1.006	-76.7325	280.54999999999995
2022-01-12/00:07:16	1.006	-76.73133333333334	280.56
2022-01-12/00:07:17	1.006	-76.73016666666666	280.57
2022-01-12/00:07:18	1.006	-76.729	280.58
2022-01-12/00:07:19	1.006	-76.72783333333334	280.59
2022-01-12/00:07:20	1.006	-76.72666666666667	280.59999999999997
2022-01-12/00:07:21	1.006	-76.7255	280.61
2022-01-12/00:07:22	1.006	-76.72433333333333	280.62
2022-01-12/00:07:23	1.006	-76.72316666666667	280.63
2022-01-12/00:07:24	1.006	-76.72200000000001	280.64
2022-01-12/00:07:25	1.006	-76.72083333333333	280.65
2022-01-12/00:07:26	1.006	-76.71966666666667	280.65999999999997
2022-01-12/00:07:27	1.006	-76.7185	280.66999999999996
2022-01-12/00:07:28	1.006	-76.71733333333334	280.68
2022-01-12/00:07:29	1.006	-76.71616666666667	280.69
2022-01-12/00:07:30	1.006	-76.715	280.7
2022-01-12/00:07:31	1.006	-76.71383333333334	280.71
2022-01-12/00:07:32	1.006	-76.71266666666666	280.71999999999997
2022-01-12/00:07:33	1.006	-76.7115	280.73
2022-01-12/00:07:34	1.006	-76.71033333333334	280.74
2022-01-12/00:07:35	1.006	-76.70916666666668	280.75
2022-01-12/00:07:36	1.006	-76.708	280.76
2022-01-12/00:07:37	1.006	-76.70683333333334	280.77
2022-01-12/00:07:38	1.006	-76.70566666666667	280.78
2022-01-12/00:07:39	1.006	-76.70450000000001	280.78999999999996
2022-01-12/00:07:40	1.006	-76.70333333333333	280.8
2022-01-12/00:07:41	1.006	-76.70216666666667	280.81
2022-01-12/00:07:42	1.006	-76.70100000000001	280.82
2022-01-12/00:07:43	1.006	-76.69983333333334	280.83
2022-01-12/00:07:44	1.006	-76.69866666666667	280.84
2022-01-12/00:07:45	1.006	-76.6975	280.85
2022-01-12/00:07:46	1.006	-76.69633333333334	280.86
2022-01-12/00:07:47	1.006	-76.69516666666667	280.87
2022-01-12/00:07:48	1.006	-76.694	280.88
2022-01-12/00:07:49	1.006	-76.69283333333334	280.89
2022-01-12/00:07:50	1.006	-76.69166666666668	280.9
2022-01-12/00:07:51	1.006	-76.6905	280.90999999999997
2022-01-12/00:07:52	1.006	-76.68933333333334	280.92
2022-01-12/00:07:53	1.006	-76.68816666666667	280.93
2022-01-12/00:07:54	1.006	-76.68700000000001	280.94
2022-01-12/00:07:55	1.006	-76.68583333333333	280.95
2022-01-12/00:07:56	1.006	-76.68466666666667	280.96
2022-01-12/00:07:57	1.006	-76.68350000000001	280.97
2022-01-12/00:07:58	1.006	-76.68233333333335	280.98
2022-01-12/00:07:59	1.006	-76.68116666666667	280.99
2022-01-12/00:08:00	1.006	-76.68	281.0
2022-01-12/00:08:01	1.006	-76.67866666666667	281.01
2022-01-12/00:08:02	1.006	-76.67733333333334	281.02
2022-01-12/00:08:03	1.006	-76.676	281.03
2022-01-12/00:08:04	1.006	-76.67466666666667	281.04
2022-01-12/00:08:05	1.006	-76.67333333333335	281.05
2022-01-12/00:08:06	1.006	-76.67200000000001	281.06
2022-01-12/00:08:07	1.006	-76.67066666666668	281.07
2022-01-12/00:08:08	1.006	-76.66933333333334	281.08
2022-01-12/00:08:09	1.006	-76.668	281.09000000000003
2022-01-12/00:08:10	1.006	-76.66666666666667	281.1
2022-01-12/00:08:11	1.006	-76.66533333333334	281.11
2022-01-12/00:08:12	1.006	-76.664	281.12
2022-01-12/00:08:13	1.006	-76.66266666666667	281.13
2022-01-12/00:08:14	1.006	-76.66133333333333	281.14
2022-01-12/00:08:15	1.006	-76.66	281.15
2022-01-12/00:08:16	1.006	-76.65866666666668	281.16
2022-01-12/00:08:17	1.006	-76.65733333333334	281.17
2022-01-12/00:08:18	1.006	-76.656	281.18
2022-01-12/00:08:19	1.006	-76.65466666666667	281.19
