Time                             Char_E
2022-01-12/01:32:45           -NaN
2022-01-12/01:33:15           -NaN
2022-01-12/01:33:45           -NaN
2022-01-12/01:34:15           -NaN
2022-01-12/01:34:45           -NaN
2022-01-12/01:35:15           -NaN
2022-01-12/01:35:45           -NaN
2022-01-12/01:36:15           -NaN
2022-01-12/01:36:45           -NaN
2022-01-12/01:37:15           -NaN
2022-01-12/01:37:45           -NaN
2022-01-12/01:38:15           -NaN
2022-01-12/01:38:45           -NaN
2022-01-12/01:39:15           -NaN
2022-01-12/01:39:45           -NaN
2022-01-12/01:40:15           -NaN
2022-01-12/01:40:45           -NaN
2022-01-12/01:41:15           -NaN
2022-01-12/01:41:45           -NaN
2022-01-12/01:42:15           -NaN
2022-01-12/01:42:45           -NaN
2022-01-12/01:43:15           -NaN
2022-01-12/01:43:45           -NaN
2022-01-12/01:44:15           -NaN
2022-01-12/01:44:45           -NaN
2022-01-12/01:45:15           -NaN
2022-01-12/01:45:45           -NaN
2022-01-12/01:46:15           -NaN
2022-01-12/01:46:45           -NaN
2022-01-12/01:47:15           -NaN
2022-01-12/01:47:45          133.6
2022-01-12/01:48:15          193.7
2022-01-12/01:48:45           -NaN
2022-01-12/01:49:15           -NaN
2022-01-12/01:49:45           -NaN
2022-01-12/01:50:15           -NaN
2022-01-12/01:50:45           -NaN
2022-01-12/01:51:15           -NaN
2022-01-12/01:51:45           -NaN
2022-01-12/01:52:15           -NaN
2022-01-12/01:52:45           -NaN
2022-01-12/01:53:15           -NaN
2022-01-12/01:53:45           -NaN
2022-01-12/01:54:15           -NaN
2022-01-12/01:54:45           -NaN
2022-01-12/01:55:15           -NaN
2022-01-12/01:55:45           -NaN
2022-01-12/01:56:15           -NaN
2022-01-12/01:56:45           -NaN
2022-01-12/01:57:15           -NaN
2022-01-12/01:57:45           -NaN
2022-01-12/01:58:15           -NaN
2022-01-12/01:58:45           -NaN
2022-01-12/01:59:15           -NaN
2022-01-12/01:59:45           -NaN
2022-01-12/02:00:15           -NaN
2022-01-12/02:00:45           -NaN
2022-01-12/02:01:15           -NaN
2022-01-12/02:01:45           -NaN
2022-01-12/02:02:15           -NaN
2022-01-12/02:02:45           -NaN
2022-01-12/02:03:15           -NaN
2022-01-12/02:03:45           -NaN
2022-01-12/02:04:15           -NaN
2022-01-12/02:04:45           -NaN
2022-01-12/02:05:15           -NaN
2022-01-12/02:05:45           -NaN
2022-01-12/02:06:15           -NaN
2022-01-12/02:06:45           -NaN
2022-01-12/02:07:15           -NaN
2022-01-12/02:07:45           -NaN
2022-01-12/02:08:15           -NaN
2022-01-12/02:08:45           -NaN
2022-01-12/02:09:15           -NaN
2022-01-12/02:09:45           -NaN
2022-01-12/02:10:15           -NaN
2022-01-12/02:10:45           -NaN
2022-01-12/02:11:15           -NaN
2022-01-12/02:11:45           -NaN
2022-01-12/02:12:15           -NaN
2022-01-12/02:12:45           -NaN
2022-01-12/02:13:15           -NaN
2022-01-12/02:13:45           -NaN
2022-01-12/02:14:15           -NaN
2022-01-12/02:14:45           -NaN
2022-01-12/02:15:15           -NaN
2022-01-12/02:15:45           -NaN
2022-01-12/02:16:15           -NaN
2022-01-12/02:16:45           -NaN
2022-01-12/02:17:15           -NaN
2022-01-12/02:17:45           -NaN
2022-01-12/02:18:15           -NaN
2022-01-12/02:18:45           -NaN
2022-01-12/02:19:15           -NaN
2022-01-12/02:19:45           -NaN
2022-01-12/02:20:15           -NaN
2022-01-12/02:20:45           -NaN
2022-01-12/02:21:15           -NaN
2022-01-12/02:21:45           -NaN
2022-01-12/02:22:15           -NaN
2022-01-12/02:22:45           -NaN
2022-01-12/02:23:15           -NaN
2022-01-12/02:23:45           -NaN
2022-01-12/02:24:15           -NaN
2022-01-12/02:24:45           -NaN
2022-01-12/02:25:15          28.05
2022-01-12/02:25:45          149.1
2022-01-12/02:26:15          47.62
2022-01-12/02:26:45           -NaN
2022-01-12/02:27:15           -NaN
2022-01-12/02:27:45           -NaN
2022-01-12/02:28:15           -NaN
2022-01-12/02:28:45           -NaN
2022-01-12/02:29:15           -NaN
2022-01-12/02:29:45           -NaN
2022-01-12/02:30:15           -NaN
2022-01-12/02:30:45           -NaN
2022-01-12/02:31:15           -NaN
2022-01-12/02:31:45           -NaN
2022-01-12/02:32:15           -NaN
2022-01-12/02:32:45           -NaN
2022-01-12/02:33:15           -NaN
2022-01-12/02:33:45           -NaN
2022-01-12/02:34:15           -NaN
2022-01-12/02:34:45           -NaN
2022-01-12/02:35:15           -NaN
2022-01-12/02:35:45           -NaN
2022-01-12/02:36:15           -NaN
2022-01-12/02:36:45           -NaN
2022-01-12/02:37:15           -NaN
2022-01-12/02:37:45           -NaN
2022-01-12/02:38:15           -NaN
2022-01-12/02:38:45           -NaN
2022-01-12/02:39:15           -NaN
2022-01-12/02:39:45           -NaN
2022-01-12/02:40:15          121.5
2022-01-12/02:40:45          108.1
2022-01-12/02:41:15          111.2
2022-01-12/02:41:45          29.95
2022-01-12/02:42:15          115.1
2022-01-12/02:42:45          110.6
2022-01-12/02:43:15          91.11
2022-01-12/02:43:45          103.4
2022-01-12/02:44:15          132.4
2022-01-12/02:44:45          178.8
2022-01-12/02:45:15          168.2
2022-01-12/02:45:45          100.2
2022-01-12/02:46:15          90.77
2022-01-12/02:46:45          100.3
2022-01-12/02:47:15          235.9
2022-01-12/02:47:45           -NaN
2022-01-12/02:48:15           -NaN
2022-01-12/02:48:45          8.273
2022-01-12/02:49:15          216.1
2022-01-12/02:49:45          49.92
2022-01-12/02:50:15          77.62
2022-01-12/02:50:45           -NaN
2022-01-12/02:51:15           -NaN
2022-01-12/02:51:45          10.20
2022-01-12/02:52:15          14.56
2022-01-12/02:52:45          84.28
2022-01-12/02:53:15          67.98
2022-01-12/02:53:45          11.50
2022-01-12/02:54:15          75.56
2022-01-12/02:54:45          13.68
2022-01-12/02:55:15          56.10
2022-01-12/02:55:45          76.36
2022-01-12/02:56:15          77.34
2022-01-12/02:56:45          71.97
2022-01-12/02:57:15          86.57
2022-01-12/02:57:45          82.08
2022-01-12/02:58:15          80.43
2022-01-12/02:58:45          12.47
2022-01-12/02:59:15          74.57
2022-01-12/02:59:45          74.49
2022-01-12/03:00:15          79.90
2022-01-12/03:00:45          54.41
2022-01-12/03:01:15          74.09
2022-01-12/03:01:45          52.15
2022-01-12/03:02:15          102.9
2022-01-12/03:02:45          64.08
2022-01-12/03:03:15          77.27
2022-01-12/03:03:45          66.56
2022-01-12/03:04:15          72.75
2022-01-12/03:04:45          52.84
2022-01-12/03:05:15          45.68
2022-01-12/03:05:45          17.91
2022-01-12/03:06:15          36.58
2022-01-12/03:06:45          26.49
2022-01-12/03:07:15          51.70
2022-01-12/03:07:45          63.90
2022-01-12/03:08:15          70.93
2022-01-12/03:08:45          61.34
2022-01-12/03:09:15           -NaN
2022-01-12/03:09:45          53.84
2022-01-12/03:10:15          58.07
2022-01-12/03:10:45          59.53
2022-01-12/03:11:15          83.67
2022-01-12/03:11:45          103.3
2022-01-12/03:12:15          88.05
2022-01-12/03:12:45          89.22
2022-01-12/03:13:15          24.95
2022-01-12/03:13:45          97.18
2022-01-12/03:14:15          108.1
2022-01-12/03:14:45          103.4
2022-01-12/03:15:15          77.02
2022-01-12/03:15:45          50.65
2022-01-12/03:16:15          99.78
2022-01-12/03:16:45          11.48
2022-01-12/03:17:15          107.2
2022-01-12/03:17:45          99.90
2022-01-12/03:18:15          124.4
2022-01-12/03:18:45          75.74
2022-01-12/03:19:15          229.0
2022-01-12/03:19:45          291.3
2022-01-12/03:20:15          288.9
2022-01-12/03:20:45          297.9
2022-01-12/03:21:15          281.9
2022-01-12/03:21:45           -NaN
2022-01-12/03:22:15           -NaN
2022-01-12/03:22:45           -NaN
2022-01-12/03:23:15           -NaN
2022-01-12/03:23:45           -NaN
2022-01-12/03:24:15           -NaN
2022-01-12/03:24:45           -NaN
2022-01-12/03:25:15           -NaN
2022-01-12/03:25:45           -NaN
2022-01-12/03:26:15           -NaN
2022-01-12/03:26:45           -NaN
2022-01-12/03:27:15          264.6
2022-01-12/03:27:45          172.9
2022-01-12/03:28:15           -NaN
2022-01-12/03:28:45           -NaN
2022-01-12/03:29:15           -NaN
2022-01-12/03:29:45           -NaN
2022-01-12/03:30:15           -NaN
2022-01-12/03:30:45           -NaN
2022-01-12/03:31:15           -NaN
2022-01-12/03:31:45           -NaN
2022-01-12/03:32:15           -NaN
2022-01-12/03:32:45           -NaN
2022-01-12/03:33:15           -NaN
2022-01-12/03:33:45           -NaN
2022-01-12/03:34:15           -NaN
2022-01-12/03:34:45           -NaN
2022-01-12/03:35:15           -NaN
2022-01-12/03:35:45           -NaN
2022-01-12/03:36:15           -NaN
2022-01-12/03:36:45           -NaN
2022-01-12/03:37:15           -NaN
2022-01-12/03:37:45           -NaN
2022-01-12/03:38:15           -NaN
2022-01-12/03:38:45           -NaN
2022-01-12/03:39:15           -NaN
2022-01-12/03:39:45           -NaN
2022-01-12/03:40:15           -NaN
2022-01-12/03:40:45           -NaN
2022-01-12/03:41:15           -NaN
2022-01-12/03:41:45           -NaN
2022-01-12/03:42:15           -NaN
2022-01-12/03:42:45           -NaN
2022-01-12/03:43:15           -NaN
2022-01-12/03:43:45           -NaN
2022-01-12/03:44:15           -NaN
2022-01-12/03:44:45           -NaN
2022-01-12/03:45:15           -NaN
2022-01-12/03:45:45           -NaN
2022-01-12/03:46:15           -NaN
2022-01-12/03:46:45           -NaN
2022-01-12/03:47:15           -NaN
2022-01-12/03:47:45           -NaN
2022-01-12/03:48:15           -NaN
2022-01-12/03:48:45           -NaN
2022-01-12/03:49:15           -NaN
2022-01-12/03:49:45           -NaN
2022-01-12/03:50:15           -NaN
2022-01-12/03:50:45           -NaN
2022-01-12/03:51:15           -NaN
2022-01-12/03:51:45           -NaN
2022-01-12/03:52:15           -NaN
2022-01-12/03:52:45           -NaN
2022-01-12/03:53:15           -NaN
2022-01-12/03:53:45           -NaN
2022-01-12/03:54:15           -NaN
2022-01-12/03:54:45           -NaN
2022-01-12/03:55:15           -NaN
2022-01-12/03:55:45           -NaN
2022-01-12/03:56:15           -NaN
2022-01-12/03:56:45           -NaN
2022-01-12/03:57:15           -NaN
2022-01-12/03:57:45           -NaN
2022-01-12/03:58:15          42.95
2022-01-12/03:58:45          306.5
2022-01-12/03:59:15          176.0
2022-01-12/03:59:45          139.0
2022-01-12/04:00:15          352.6
2022-01-12/04:00:45           -NaN
2022-01-12/04:01:15           -NaN
2022-01-12/04:01:45           -NaN
2022-01-12/04:02:15           -NaN
2022-01-12/04:02:45          70.50
2022-01-12/04:03:15          159.3
2022-01-12/04:03:45          163.8
2022-01-12/04:04:15          148.3
2022-01-12/04:04:45          177.1
2022-01-12/04:05:15          138.5
2022-01-12/04:05:45          164.9
2022-01-12/04:06:15          153.2
2022-01-12/04:06:45          90.57
2022-01-12/04:07:15          71.96
2022-01-12/04:07:45          144.9
2022-01-12/04:08:15          99.62
2022-01-12/04:08:45          153.4
2022-01-12/04:09:15          106.4
2022-01-12/04:09:45          157.8
2022-01-12/04:10:15          126.1
2022-01-12/04:10:45          111.0
2022-01-12/04:11:15          111.5
2022-01-12/04:11:45          55.99
2022-01-12/04:12:15           -NaN
2022-01-12/04:12:45           -NaN
2022-01-12/04:13:15           -NaN
2022-01-12/04:13:45           -NaN
2022-01-12/04:14:15           -NaN
2022-01-12/04:14:45           -NaN
2022-01-12/04:15:15           -NaN
2022-01-12/04:15:45           -NaN
2022-01-12/04:16:15           -NaN
2022-01-12/04:16:45           -NaN
2022-01-12/04:17:15           -NaN
2022-01-12/04:17:45           -NaN
2022-01-12/04:18:15           -NaN
2022-01-12/04:18:45           -NaN
2022-01-12/04:19:15           -NaN
2022-01-12/04:19:45           -NaN
2022-01-12/04:20:15           -NaN
2022-01-12/04:20:45           -NaN
2022-01-12/04:21:15           -NaN
2022-01-12/04:21:45           -NaN
2022-01-12/04:22:15           -NaN
2022-01-12/04:22:45          106.2
