                    time         Energy    pitch_angle            Daa
2022-01-12/04:02:45      1.336e-05     82.00     0.000
2022-01-12/04:02:45      1.336e-05     84.00     0.000
2022-01-12/04:02:45      1.336e-05     85.00     0.000
2022-01-12/04:02:45      1.336e-05     86.00     0.000
2022-01-12/04:02:45      1.336e-05     87.00     0.000
2022-01-12/04:02:45      1.336e-05     88.00     0.000
2022-01-12/04:02:45      1.336e-05     89.00     0.000
2022-01-12/04:02:45      1.336e-05     89.50     0.000
2022-01-12/04:02:45      1.577e-05     2.000 3.044e-11
2022-01-12/04:02:45      1.577e-05     5.000 1.861e-10
2022-01-12/04:02:45      1.577e-05     8.000 4.519e-10
2022-01-12/04:02:45      1.577e-05     11.00 7.811e-10
2022-01-12/04:02:45      1.577e-05     14.00 1.108e-09
2022-01-12/04:02:45      1.577e-05     17.00 1.358e-09
2022-01-12/04:02:45      1.577e-05     20.00 1.448e-09
2022-01-12/04:02:45      1.577e-05     23.00 1.308e-09
2022-01-12/04:02:45      1.577e-05     26.00 9.412e-10
2022-01-12/04:02:45      1.577e-05     29.00 4.709e-10
2022-01-12/04:02:45      1.577e-05     32.00 9.417e-11
2022-01-12/04:02:45      1.577e-05     35.00     0.000
2022-01-12/04:02:45      1.577e-05     38.00     0.000
2022-01-12/04:02:45      1.577e-05     41.00     0.000
2022-01-12/04:02:45      1.577e-05     44.00     0.000
2022-01-12/04:02:45      1.577e-05     47.00     0.000
2022-01-12/04:02:45      1.577e-05     50.00     0.000
2022-01-12/04:02:45      1.577e-05     52.00     0.000
2022-01-12/04:02:45      1.577e-05     54.00     0.000
2022-01-12/04:02:45      1.577e-05     56.00     0.000
2022-01-12/04:02:45      1.577e-05     58.00     0.000
2022-01-12/04:02:45      1.577e-05     60.00     0.000
2022-01-12/04:02:45      1.577e-05     62.00     0.000
2022-01-12/04:02:45      1.577e-05     64.00     0.000
2022-01-12/04:02:45      1.577e-05     66.00     0.000
2022-01-12/04:02:45      1.577e-05     68.00     0.000
2022-01-12/04:02:45      1.577e-05     70.00     0.000
2022-01-12/04:02:45      1.577e-05     72.00     0.000
2022-01-12/04:02:45      1.577e-05     74.00     0.000
2022-01-12/04:02:45      1.577e-05     76.00     0.000
2022-01-12/04:02:45      1.577e-05     78.00     0.000
2022-01-12/04:02:45      1.577e-05     80.00     0.000
2022-01-12/04:02:45      1.577e-05     82.00     0.000
2022-01-12/04:02:45      1.577e-05     84.00     0.000
2022-01-12/04:02:45      1.577e-05     85.00     0.000
2022-01-12/04:02:45      1.577e-05     86.00     0.000
2022-01-12/04:02:45      1.577e-05     87.00     0.000
2022-01-12/04:02:45      1.577e-05     88.00     0.000
2022-01-12/04:02:45      1.577e-05     89.00     0.000
2022-01-12/04:02:45      1.577e-05     89.50     0.000
2022-01-12/04:02:45      1.862e-05     2.000 4.565e-08
2022-01-12/04:02:45      1.862e-05     5.000 4.426e-08
2022-01-12/04:02:45      1.862e-05     8.000 3.904e-08
2022-01-12/04:02:45      1.862e-05     11.00 3.171e-08
2022-01-12/04:02:45      1.862e-05     14.00 2.271e-08
2022-01-12/04:02:45      1.862e-05     17.00 1.256e-08
2022-01-12/04:02:45      1.862e-05     20.00 4.829e-09
2022-01-12/04:02:45      1.862e-05     23.00 2.906e-09
2022-01-12/04:02:45      1.862e-05     26.00 2.805e-09
2022-01-12/04:02:45      1.862e-05     29.00 2.373e-09
2022-01-12/04:02:45      1.862e-05     32.00 1.628e-09
2022-01-12/04:02:45      1.862e-05     35.00 7.653e-10
2022-01-12/04:02:45      1.862e-05     38.00 1.524e-10
2022-01-12/04:02:45      1.862e-05     41.00     0.000
2022-01-12/04:02:45      1.862e-05     44.00     0.000
2022-01-12/04:02:45      1.862e-05     47.00     0.000
2022-01-12/04:02:45      1.862e-05     50.00     0.000
2022-01-12/04:02:45      1.862e-05     52.00     0.000
2022-01-12/04:02:45      1.862e-05     54.00     0.000
2022-01-12/04:02:45      1.862e-05     56.00     0.000
2022-01-12/04:02:45      1.862e-05     58.00     0.000
2022-01-12/04:02:45      1.862e-05     60.00     0.000
2022-01-12/04:02:45      1.862e-05     62.00     0.000
2022-01-12/04:02:45      1.862e-05     64.00     0.000
2022-01-12/04:02:45      1.862e-05     66.00     0.000
2022-01-12/04:02:45      1.862e-05     68.00     0.000
2022-01-12/04:02:45      1.862e-05     70.00     0.000
2022-01-12/04:02:45      1.862e-05     72.00     0.000
2022-01-12/04:02:45      1.862e-05     74.00     0.000
2022-01-12/04:02:45      1.862e-05     76.00     0.000
2022-01-12/04:02:45      1.862e-05     78.00     0.000
2022-01-12/04:02:45      1.862e-05     80.00     0.000
2022-01-12/04:02:45      1.862e-05     82.00     0.000
2022-01-12/04:02:45      1.862e-05     84.00     0.000
2022-01-12/04:02:45      1.862e-05     85.00     0.000
2022-01-12/04:02:45      1.862e-05     86.00     0.000
2022-01-12/04:02:45      1.862e-05     87.00     0.000
2022-01-12/04:02:45      1.862e-05     88.00     0.000
2022-01-12/04:02:45      1.862e-05     89.00     0.000
2022-01-12/04:02:45      1.862e-05     89.50     0.000
2022-01-12/04:02:45      2.198e-05     2.000 6.013e-08
2022-01-12/04:02:45      2.198e-05     5.000 6.099e-08
2022-01-12/04:02:45      2.198e-05     8.000 6.158e-08
2022-01-12/04:02:45      2.198e-05     11.00 6.432e-08
2022-01-12/04:02:45      2.198e-05     14.00 6.649e-08
2022-01-12/04:02:45      2.198e-05     17.00 6.864e-08
2022-01-12/04:02:45      2.198e-05     20.00 6.675e-08
