Time                           Lon
2022-01-12/03:12:00          126.2
2022-01-12/03:13:00          126.7
2022-01-12/03:14:00          127.2
2022-01-12/03:15:00          127.8
2022-01-12/03:16:00          128.3
2022-01-12/03:17:00          128.8
2022-01-12/03:18:00          129.3
2022-01-12/03:19:00          129.8
2022-01-12/03:20:00          130.4
2022-01-12/03:21:00          130.9
2022-01-12/03:22:00          131.4
2022-01-12/03:23:00          132.0
2022-01-12/03:24:00          132.5
2022-01-12/03:25:00          133.0
2022-01-12/03:26:00          133.6
2022-01-12/03:27:00          134.1
2022-01-12/03:28:00          134.7
2022-01-12/03:29:00          135.2
2022-01-12/03:30:00          135.7
2022-01-12/03:31:00          136.3
2022-01-12/03:32:00          136.8
2022-01-12/03:33:00          137.4
2022-01-12/03:34:00          137.9
2022-01-12/03:35:00          138.5
2022-01-12/03:36:00          139.0
2022-01-12/03:37:00          139.6
2022-01-12/03:38:00          140.2
2022-01-12/03:39:00          140.7
2022-01-12/03:40:00          141.3
2022-01-12/03:41:00          141.8
2022-01-12/03:42:00          142.4
2022-01-12/03:43:00          143.0
2022-01-12/03:44:00          143.6
2022-01-12/03:45:00          144.1
2022-01-12/03:46:00          144.7
2022-01-12/03:47:00          145.3
2022-01-12/03:48:00          145.9
2022-01-12/03:49:00          146.4
2022-01-12/03:50:00          147.0
2022-01-12/03:51:00          147.6
2022-01-12/03:52:00          148.2
2022-01-12/03:53:00          148.8
2022-01-12/03:54:00          149.4
2022-01-12/03:55:00          150.0
2022-01-12/03:56:00          150.6
2022-01-12/03:57:00          151.2
2022-01-12/03:58:00          151.8
2022-01-12/03:59:00          152.5
2022-01-12/04:00:00          153.1
2022-01-12/04:01:00          153.7
2022-01-12/04:02:00          154.3
2022-01-12/04:03:00          155.0
2022-01-12/04:04:00          155.6
2022-01-12/04:05:00          156.3
2022-01-12/04:06:00          156.9
2022-01-12/04:07:00          157.6
2022-01-12/04:08:00          158.2
2022-01-12/04:09:00          158.9
2022-01-12/04:10:00          159.6
2022-01-12/04:11:00          160.2
2022-01-12/04:12:00          160.9
2022-01-12/04:13:00          161.6
2022-01-12/04:14:00          162.3
2022-01-12/04:15:00          163.0
2022-01-12/04:16:00          163.7
2022-01-12/04:17:00          164.4
2022-01-12/04:18:00          165.1
2022-01-12/04:19:00          165.9
2022-01-12/04:20:00          166.6
2022-01-12/04:21:00          167.3
2022-01-12/04:22:00          168.1
2022-01-12/04:23:00          168.8
2022-01-12/04:24:00          169.6
2022-01-12/04:25:00          170.4
2022-01-12/04:26:00          171.1
2022-01-12/04:27:00          171.9
2022-01-12/04:28:00          172.7
2022-01-12/04:29:00          173.5
2022-01-12/04:30:00          174.3
2022-01-12/04:31:00          175.1
2022-01-12/04:32:00          175.9
2022-01-12/04:33:00          176.7
2022-01-12/04:34:00          177.5
2022-01-12/04:35:00          178.3
2022-01-12/04:36:00          179.1
2022-01-12/04:37:00          180.0
2022-01-12/04:38:00          180.8
2022-01-12/04:39:00          181.6
2022-01-12/04:40:00          182.5
2022-01-12/04:41:00          183.3
2022-01-12/04:42:00          184.2
2022-01-12/04:43:00          185.0
2022-01-12/04:44:00          185.8
2022-01-12/04:45:00          186.7
2022-01-12/04:46:00          187.5
2022-01-12/04:47:00          188.4
2022-01-12/04:48:00          189.2
2022-01-12/04:49:00          190.1
2022-01-12/04:50:00          190.9
2022-01-12/04:51:00          191.8
2022-01-12/04:52:00          192.6
2022-01-12/04:53:00          193.5
2022-01-12/04:54:00          194.3
2022-01-12/04:55:00          195.2
2022-01-12/04:56:00          196.0
2022-01-12/04:57:00          196.8
2022-01-12/04:58:00          197.7
2022-01-12/04:59:00          198.5
2022-01-12/05:00:00          199.3
2022-01-12/05:01:00          200.1
2022-01-12/05:02:00          200.9
2022-01-12/05:03:00          201.7
2022-01-12/05:04:00          202.5
2022-01-12/05:05:00          203.3
2022-01-12/05:06:00          204.1
2022-01-12/05:07:00          204.9
2022-01-12/05:08:00          205.7
2022-01-12/05:09:00          206.5
2022-01-12/05:10:00          207.2
2022-01-12/05:11:00          208.0
2022-01-12/05:12:00          208.8
2022-01-12/05:13:00          209.5
2022-01-12/05:14:00          210.3
2022-01-12/05:15:00          211.0
2022-01-12/05:16:00          211.8
2022-01-12/05:17:00          212.5
2022-01-12/05:18:00          213.2
2022-01-12/05:19:00          213.9
2022-01-12/05:20:00          214.6
2022-01-12/05:21:00          215.4
2022-01-12/05:22:00          216.1
2022-01-12/05:23:00          216.8
2022-01-12/05:24:00          217.5
2022-01-12/05:25:00          218.1
2022-01-12/05:26:00          218.8
2022-01-12/05:27:00          219.5
2022-01-12/05:28:00          220.2
2022-01-12/05:29:00          220.8
2022-01-12/05:30:00          221.5
2022-01-12/05:31:00          222.2
2022-01-12/05:32:00          222.8
2022-01-12/05:33:00          223.5
2022-01-12/05:34:00          224.1
2022-01-12/05:35:00          224.8
2022-01-12/05:36:00          225.4
2022-01-12/05:37:00          226.0
2022-01-12/05:38:00          226.7
2022-01-12/05:39:00          227.3
2022-01-12/05:40:00          227.9
2022-01-12/05:41:00          228.6
2022-01-12/05:42:00          229.2
2022-01-12/05:43:00          229.8
2022-01-12/05:44:00          230.4
2022-01-12/05:45:00          231.0
2022-01-12/05:46:00          231.6
2022-01-12/05:47:00          232.2
2022-01-12/05:48:00          232.8
2022-01-12/05:49:00          233.4
2022-01-12/05:50:00          234.0
2022-01-12/05:51:00          234.6
2022-01-12/05:52:00          235.2
2022-01-12/05:53:00          235.8
2022-01-12/05:54:00          236.4
2022-01-12/05:55:00          236.9
2022-01-12/05:56:00          237.5
2022-01-12/05:57:00          238.1
2022-01-12/05:58:00          238.7
2022-01-12/05:59:00          239.3
2022-01-12/06:00:00          239.8
2022-01-12/06:01:00          240.4
2022-01-12/06:02:00          241.0
2022-01-12/06:03:00          241.5
2022-01-12/06:04:00          242.1
2022-01-12/06:05:00          242.7
2022-01-12/06:06:00          243.2
2022-01-12/06:07:00          243.8
2022-01-12/06:08:00          244.4
2022-01-12/06:09:00          244.9
2022-01-12/06:10:00          245.5
2022-01-12/06:11:00          246.0
2022-01-12/06:12:00          246.6
2022-01-12/06:13:00          247.2
2022-01-12/06:14:00          247.7
2022-01-12/06:15:00          248.3
2022-01-12/06:16:00          248.8
2022-01-12/06:17:00          249.4
2022-01-12/06:18:00          249.9
2022-01-12/06:19:00          250.5
2022-01-12/06:20:00          251.0
2022-01-12/06:21:00          251.6
2022-01-12/06:22:00          252.1
2022-01-12/06:23:00          252.7
2022-01-12/06:24:00          253.2
2022-01-12/06:25:00          253.7
2022-01-12/06:26:00          254.3
2022-01-12/06:27:00          254.8
2022-01-12/06:28:00          255.4
2022-01-12/06:29:00          255.9
2022-01-12/06:30:00          256.4
2022-01-12/06:31:00          257.0
2022-01-12/06:32:00          257.5
2022-01-12/06:33:00          258.0
2022-01-12/06:34:00          258.6
2022-01-12/06:35:00          259.1
2022-01-12/06:36:00          259.6
2022-01-12/06:37:00          260.2
2022-01-12/06:38:00          260.7
2022-01-12/06:39:00          261.2
2022-01-12/06:40:00          261.8
2022-01-12/06:41:00          262.3
2022-01-12/06:42:00          262.8
2022-01-12/06:43:00          263.3
2022-01-12/06:44:00          263.9
2022-01-12/06:45:00          264.4
2022-01-12/06:46:00          264.9
2022-01-12/06:47:00          265.4
2022-01-12/06:48:00          265.9
2022-01-12/06:49:00          266.4
2022-01-12/06:50:00          267.0
2022-01-12/06:51:00          267.5
2022-01-12/06:52:00          268.0
2022-01-12/06:53:00          268.5
2022-01-12/06:54:00          269.0
2022-01-12/06:55:00          269.5
2022-01-12/06:56:00          270.0
2022-01-12/06:57:00          270.5
2022-01-12/06:58:00          271.0
2022-01-12/06:59:00          271.5
2022-01-12/07:00:00          272.0
2022-01-12/07:01:00          272.5
2022-01-12/07:02:00          273.0
2022-01-12/07:03:00          273.5
2022-01-12/07:04:00          274.0
2022-01-12/07:05:00          274.5
2022-01-12/07:06:00          274.9
2022-01-12/07:07:00          275.4
2022-01-12/07:08:00          275.9
2022-01-12/07:09:00          276.4
2022-01-12/07:10:00          276.9
2022-01-12/07:11:00          277.3
2022-01-12/07:12:00          277.8
2022-01-12/07:13:00          278.3
2022-01-12/07:14:00          278.8
2022-01-12/07:15:00          279.2
2022-01-12/07:16:00          279.7
2022-01-12/07:17:00          280.2
2022-01-12/07:18:00          280.6
2022-01-12/07:19:00          281.1
2022-01-12/07:20:00          281.5
2022-01-12/07:21:00          282.0
2022-01-12/07:22:00          282.4
2022-01-12/07:23:00          282.9
2022-01-12/07:24:00          283.4
2022-01-12/07:25:00          283.8
2022-01-12/07:26:00          284.3
2022-01-12/07:27:00          284.7
2022-01-12/07:28:00          285.1
2022-01-12/07:29:00          285.6
2022-01-12/07:30:00          286.0
2022-01-12/07:31:00          286.5
2022-01-12/07:32:00          286.9
2022-01-12/07:33:00          287.4
2022-01-12/07:34:00          287.8
2022-01-12/07:35:00          288.2
2022-01-12/07:36:00          288.7
2022-01-12/07:37:00          289.1
2022-01-12/07:38:00          289.5
2022-01-12/07:39:00          290.0
2022-01-12/07:40:00          290.4
2022-01-12/07:41:00          290.8
2022-01-12/07:42:00          291.2
2022-01-12/07:43:00          291.7
2022-01-12/07:44:00          292.1
2022-01-12/07:45:00          292.5
2022-01-12/07:46:00          292.9
2022-01-12/07:47:00          293.4
2022-01-12/07:48:00          293.8
2022-01-12/07:49:00          294.2
2022-01-12/07:50:00          294.6
