Time                          Flux_prec
2022-01-12/00:57:15          0.000
2022-01-12/00:57:45          0.000
2022-01-12/00:58:15          0.000
2022-01-12/00:58:45          0.000
2022-01-12/00:59:15          0.000
2022-01-12/00:59:45          0.000
2022-01-12/01:00:15          0.000
2022-01-12/01:00:45          0.000
2022-01-12/01:01:15          0.000
2022-01-12/01:01:45          0.000
2022-01-12/01:02:15          0.000
2022-01-12/01:02:45          0.000
2022-01-12/01:03:15          0.000
2022-01-12/01:03:45          0.000
2022-01-12/01:04:15          0.000
2022-01-12/01:04:45          0.000
2022-01-12/01:05:15          0.000
2022-01-12/01:05:45          0.000
2022-01-12/01:06:15          0.000
2022-01-12/01:06:45          0.000
2022-01-12/01:07:15          0.000
2022-01-12/01:07:45          0.000
2022-01-12/01:08:15          0.000
2022-01-12/01:08:45          0.000
2022-01-12/01:09:15          0.000
2022-01-12/01:09:45          0.000
2022-01-12/01:10:15          0.000
2022-01-12/01:10:45          0.000
2022-01-12/01:11:15          0.000
2022-01-12/01:11:45          0.000
2022-01-12/01:12:15          0.000
2022-01-12/01:12:45          0.000
2022-01-12/01:13:15          0.000
2022-01-12/01:13:45          0.000
2022-01-12/01:14:15          0.000
2022-01-12/01:14:45          0.000
2022-01-12/01:15:15          0.000
2022-01-12/01:15:45          0.000
2022-01-12/01:16:15          0.000
2022-01-12/01:16:45          0.000
2022-01-12/01:17:15          0.000
2022-01-12/01:17:45          0.000
2022-01-12/01:18:15          0.000
2022-01-12/01:18:45          0.000
2022-01-12/01:19:15          0.000
2022-01-12/01:19:45          0.000
2022-01-12/01:20:15          0.000
2022-01-12/01:20:45          0.000
2022-01-12/01:21:15          0.000
2022-01-12/01:21:45          0.000
2022-01-12/01:22:15          0.000
2022-01-12/01:22:45          0.000
2022-01-12/01:23:15          0.000
2022-01-12/01:23:45          0.000
2022-01-12/01:24:15          0.000
2022-01-12/01:24:45          0.000
2022-01-12/01:25:15          0.000
2022-01-12/01:25:45          0.000
2022-01-12/01:26:15          0.000
2022-01-12/01:26:45          0.000
2022-01-12/01:27:15          0.000
2022-01-12/01:27:45          0.000
2022-01-12/01:28:15          0.000
2022-01-12/01:28:45          0.000
2022-01-12/01:29:15          0.000
2022-01-12/01:29:45          0.000
2022-01-12/01:30:15          0.000
2022-01-12/01:30:45          0.000
2022-01-12/01:31:15          0.000
2022-01-12/01:31:45          0.000
2022-01-12/01:32:15          0.000
2022-01-12/01:32:45          0.000
2022-01-12/01:33:15          0.000
2022-01-12/01:33:45          0.000
2022-01-12/01:34:15          0.000
2022-01-12/01:34:45          0.000
2022-01-12/01:35:15          0.000
2022-01-12/01:35:45          0.000
2022-01-12/01:36:15          0.000
2022-01-12/01:36:45          0.000
2022-01-12/01:37:15          0.000
2022-01-12/01:37:45          0.000
2022-01-12/01:38:15          0.000
2022-01-12/01:38:45          0.000
2022-01-12/01:39:15          0.000
2022-01-12/01:39:45          0.000
2022-01-12/01:40:15          0.000
2022-01-12/01:40:45          0.000
2022-01-12/01:41:15          0.000
2022-01-12/01:41:45          0.000
2022-01-12/01:42:15          0.000
2022-01-12/01:42:45          0.000
2022-01-12/01:43:15          0.000
2022-01-12/01:43:45          0.000
2022-01-12/01:44:15          0.000
2022-01-12/01:44:45          0.000
2022-01-12/01:45:15          0.000
2022-01-12/01:45:45          0.000
2022-01-12/01:46:15          0.000
2022-01-12/01:46:45          0.000
2022-01-12/01:47:15          0.000
2022-01-12/01:47:45          84.07
2022-01-12/01:48:15          282.9
2022-01-12/01:48:45          0.000
2022-01-12/01:49:15          0.000
2022-01-12/01:49:45          0.000
2022-01-12/01:50:15          0.000
2022-01-12/01:50:45          0.000
2022-01-12/01:51:15          0.000
2022-01-12/01:51:45          0.000
2022-01-12/01:52:15          0.000
2022-01-12/01:52:45          0.000
2022-01-12/01:53:15          0.000
2022-01-12/01:53:45          0.000
2022-01-12/01:54:15          0.000
2022-01-12/01:54:45          0.000
2022-01-12/01:55:15          0.000
2022-01-12/01:55:45          0.000
2022-01-12/01:56:15          0.000
2022-01-12/01:56:45          0.000
2022-01-12/01:57:15          0.000
2022-01-12/01:57:45          0.000
2022-01-12/01:58:15          0.000
2022-01-12/01:58:45          0.000
2022-01-12/01:59:15          0.000
2022-01-12/01:59:45          0.000
2022-01-12/02:00:15          0.000
2022-01-12/02:00:45          0.000
2022-01-12/02:01:15          0.000
2022-01-12/02:01:45          0.000
2022-01-12/02:02:15          0.000
2022-01-12/02:02:45          0.000
2022-01-12/02:03:15          0.000
2022-01-12/02:03:45          0.000
2022-01-12/02:04:15          0.000
2022-01-12/02:04:45          0.000
2022-01-12/02:05:15          0.000
2022-01-12/02:05:45          0.000
2022-01-12/02:06:15          0.000
2022-01-12/02:06:45          0.000
2022-01-12/02:07:15          0.000
2022-01-12/02:07:45          0.000
2022-01-12/02:08:15          0.000
2022-01-12/02:08:45          0.000
2022-01-12/02:09:15          0.000
2022-01-12/02:09:45          0.000
2022-01-12/02:10:15          0.000
2022-01-12/02:10:45          0.000
2022-01-12/02:11:15          0.000
2022-01-12/02:11:45          0.000
2022-01-12/02:12:15          0.000
2022-01-12/02:12:45          0.000
2022-01-12/02:13:15          0.000
2022-01-12/02:13:45          0.000
2022-01-12/02:14:15          0.000
2022-01-12/02:14:45          0.000
2022-01-12/02:15:15          0.000
2022-01-12/02:15:45          0.000
2022-01-12/02:16:15          0.000
2022-01-12/02:16:45          0.000
2022-01-12/02:17:15          0.000
2022-01-12/02:17:45          0.000
2022-01-12/02:18:15          0.000
2022-01-12/02:18:45          0.000
2022-01-12/02:19:15          0.000
2022-01-12/02:19:45          0.000
2022-01-12/02:20:15          0.000
2022-01-12/02:20:45          0.000
2022-01-12/02:21:15          0.000
2022-01-12/02:21:45          0.000
2022-01-12/02:22:15          0.000
2022-01-12/02:22:45          0.000
2022-01-12/02:23:15          0.000
2022-01-12/02:23:45          0.000
2022-01-12/02:24:15          0.000
2022-01-12/02:24:45          0.000
2022-01-12/02:25:15          198.8
2022-01-12/02:25:45          338.4
2022-01-12/02:26:15          27.65
2022-01-12/02:26:45          0.000
2022-01-12/02:27:15          0.000
2022-01-12/02:27:45          0.000
2022-01-12/02:28:15          0.000
2022-01-12/02:28:45          0.000
2022-01-12/02:29:15          0.000
2022-01-12/02:29:45          0.000
2022-01-12/02:30:15          0.000
2022-01-12/02:30:45          0.000
2022-01-12/02:31:15          0.000
2022-01-12/02:31:45          0.000
2022-01-12/02:32:15          0.000
2022-01-12/02:32:45          0.000
2022-01-12/02:33:15          0.000
2022-01-12/02:33:45          0.000
2022-01-12/02:34:15          0.000
2022-01-12/02:34:45          0.000
2022-01-12/02:35:15          0.000
2022-01-12/02:35:45          0.000
2022-01-12/02:36:15          0.000
2022-01-12/02:36:45          0.000
2022-01-12/02:37:15          0.000
2022-01-12/02:37:45          0.000
2022-01-12/02:38:15          0.000
2022-01-12/02:38:45          0.000
2022-01-12/02:39:15          0.000
2022-01-12/02:39:45          0.000
2022-01-12/02:40:15          155.3
2022-01-12/02:40:45          309.6
2022-01-12/02:41:15          293.9
2022-01-12/02:41:45          264.7
2022-01-12/02:42:15          270.1
2022-01-12/02:42:45          259.9
2022-01-12/02:43:15          185.0
2022-01-12/02:43:45          198.0
2022-01-12/02:44:15          146.5
2022-01-12/02:44:45          64.75
2022-01-12/02:45:15          140.8
2022-01-12/02:45:45          87.84
2022-01-12/02:46:15          127.9
2022-01-12/02:46:45          128.5
2022-01-12/02:47:15          21.45
2022-01-12/02:47:45          0.000
2022-01-12/02:48:15          0.000
2022-01-12/02:48:45          76.47
2022-01-12/02:49:15          42.16
2022-01-12/02:49:45          97.07
2022-01-12/02:50:15          141.5
2022-01-12/02:50:45          0.000
2022-01-12/02:51:15          0.000
2022-01-12/02:51:45          99.50
2022-01-12/02:52:15          125.8
2022-01-12/02:52:45          109.8
2022-01-12/02:53:15          121.5
2022-01-12/02:53:45          129.6
2022-01-12/02:54:15          88.52
2022-01-12/02:54:45          111.5
2022-01-12/02:55:15          77.78
2022-01-12/02:55:45          87.43
2022-01-12/02:56:15          103.5
2022-01-12/02:56:45          90.99
2022-01-12/02:57:15          125.8
2022-01-12/02:57:45          112.8
2022-01-12/02:58:15          112.0
2022-01-12/02:58:45          110.2
2022-01-12/02:59:15          93.71
2022-01-12/02:59:45          95.85
2022-01-12/03:00:15          102.1
2022-01-12/03:00:45          66.36
2022-01-12/03:01:15          95.26
2022-01-12/03:01:45          63.24
2022-01-12/03:02:15          21.00
2022-01-12/03:02:45          66.75
2022-01-12/03:03:15          99.60
2022-01-12/03:03:45          75.74
2022-01-12/03:04:15          88.39
2022-01-12/03:04:45          69.68
2022-01-12/03:05:15          46.97
2022-01-12/03:05:45          107.8
2022-01-12/03:06:15          30.50
2022-01-12/03:06:45          10.32
2022-01-12/03:07:15          61.44
2022-01-12/03:07:45          68.79
2022-01-12/03:08:15          76.91
2022-01-12/03:08:45          39.97
2022-01-12/03:09:15          0.000
2022-01-12/03:09:45          42.52
2022-01-12/03:10:15          47.04
2022-01-12/03:10:45          38.03
2022-01-12/03:11:15          100.8
2022-01-12/03:11:45          73.72
2022-01-12/03:12:15          93.60
2022-01-12/03:12:45          101.9
2022-01-12/03:13:15          117.7
2022-01-12/03:13:45          98.45
2022-01-12/03:14:15          103.4
2022-01-12/03:14:45          73.39
2022-01-12/03:15:15          56.16
2022-01-12/03:15:45          28.58
2022-01-12/03:16:15          110.2
2022-01-12/03:16:45          70.25
2022-01-12/03:17:15          96.26
2022-01-12/03:17:45          64.88
2022-01-12/03:18:15          135.0
2022-01-12/03:18:45          130.3
