Time                          Flux_prec
2022-01-12/06:53:45          7.878
2022-01-12/06:54:15          15.71
2022-01-12/06:54:45          10.88
2022-01-12/06:55:15          16.44
2022-01-12/06:55:45          10.34
2022-01-12/06:56:15          17.53
2022-01-12/06:56:45          21.45
2022-01-12/06:57:15          38.13
2022-01-12/06:57:45          17.08
2022-01-12/06:58:15          29.82
2022-01-12/06:58:45          18.15
2022-01-12/06:59:15          8.695
2022-01-12/06:59:45          15.52
2022-01-12/07:00:15          31.17
2022-01-12/07:00:45          22.18
2022-01-12/07:01:15          32.70
2022-01-12/07:01:45          30.26
2022-01-12/07:02:15          22.38
2022-01-12/07:02:45          19.93
2022-01-12/07:03:15          26.04
2022-01-12/07:03:45          26.64
2022-01-12/07:04:15          21.33
2022-01-12/07:04:45          30.60
2022-01-12/07:05:15          43.19
2022-01-12/07:05:45          55.08
2022-01-12/07:06:15          63.63
2022-01-12/07:06:45          56.85
2022-01-12/07:07:15          62.59
2022-01-12/07:07:45          80.37
2022-01-12/07:08:15          62.67
2022-01-12/07:08:45          50.67
2022-01-12/07:09:15          37.94
2022-01-12/07:09:45          31.87
2022-01-12/07:10:15          34.26
2022-01-12/07:10:45          45.72
2022-01-12/07:11:15          34.83
2022-01-12/07:11:45          48.30
2022-01-12/07:12:15          40.84
2022-01-12/07:12:45          52.76
2022-01-12/07:13:15          46.23
2022-01-12/07:13:45          31.70
2022-01-12/07:14:15          31.80
2022-01-12/07:14:45          30.58
2022-01-12/07:15:15          47.98
2022-01-12/07:15:45          70.51
2022-01-12/07:16:15          40.28
2022-01-12/07:16:45          53.07
2022-01-12/07:17:15          62.40
2022-01-12/07:17:45          61.66
2022-01-12/07:18:15          64.96
2022-01-12/07:18:45          56.75
2022-01-12/07:19:15          56.04
2022-01-12/07:19:45          60.37
2022-01-12/07:20:15          46.67
2022-01-12/07:20:45          47.11
2022-01-12/07:21:15          46.49
2022-01-12/07:21:45          36.68
2022-01-12/07:22:15          30.82
2022-01-12/07:22:45          31.14
2022-01-12/07:23:15          35.91
2022-01-12/07:23:45          42.53
2022-01-12/07:24:15          39.62
2022-01-12/07:24:45          46.33
2022-01-12/07:25:15          44.00
2022-01-12/07:25:45          45.42
2022-01-12/07:26:15          43.64
2022-01-12/07:26:45          43.68
2022-01-12/07:27:15          48.77
2022-01-12/07:27:45          40.62
2022-01-12/07:28:15          37.11
2022-01-12/07:28:45          39.25
2022-01-12/07:29:15          42.22
2022-01-12/07:29:45          43.56
2022-01-12/07:30:15          44.05
2022-01-12/07:30:45          45.23
2022-01-12/07:31:15          55.76
2022-01-12/07:31:45          51.25
2022-01-12/07:32:15          50.11
2022-01-12/07:32:45          51.52
2022-01-12/07:33:15          47.88
2022-01-12/07:33:45          49.18
2022-01-12/07:34:15          55.46
2022-01-12/07:34:45          54.77
2022-01-12/07:35:15          50.80
2022-01-12/07:35:45          56.65
2022-01-12/07:36:15          74.76
2022-01-12/07:36:45          77.99
2022-01-12/07:37:15          83.96
2022-01-12/07:37:45          87.17
2022-01-12/07:38:15          84.71
2022-01-12/07:38:45          84.03
2022-01-12/07:39:15          95.22
2022-01-12/07:39:45          102.0
2022-01-12/07:40:15          100.4
2022-01-12/07:40:45          109.4
2022-01-12/07:41:15          109.5
2022-01-12/07:41:45          102.4
2022-01-12/07:42:15          106.4
2022-01-12/07:42:45          99.45
2022-01-12/07:43:15          95.12
2022-01-12/07:43:45          96.81
2022-01-12/07:44:15          104.5
2022-01-12/07:44:45          91.24
2022-01-12/07:45:15          86.71
2022-01-12/07:45:45          84.62
2022-01-12/07:46:15          80.01
2022-01-12/07:46:45          75.77
2022-01-12/07:47:15          71.17
2022-01-12/07:47:45          75.43
2022-01-12/07:48:15          89.00
2022-01-12/07:48:45          80.30
2022-01-12/07:49:15          94.65
2022-01-12/07:49:45          85.80
2022-01-12/07:50:15          83.91
2022-01-12/07:50:45          81.23
2022-01-12/07:51:15          85.68
2022-01-12/07:51:45          84.05
2022-01-12/07:52:15          81.78
2022-01-12/07:52:45          82.36
2022-01-12/07:53:15          76.21
2022-01-12/07:53:45          79.16
2022-01-12/07:54:15          77.52
2022-01-12/07:54:45          82.35
2022-01-12/07:55:15          82.33
2022-01-12/07:55:45          83.93
2022-01-12/07:56:15          82.96
2022-01-12/07:56:45          82.84
2022-01-12/07:57:15          89.36
2022-01-12/07:57:45          84.55
2022-01-12/07:58:15          85.36
2022-01-12/07:58:45          82.91
2022-01-12/07:59:15          86.47
2022-01-12/07:59:45          88.07
2022-01-12/08:00:15          80.70
2022-01-12/08:00:45          80.21
2022-01-12/08:01:15          79.40
2022-01-12/08:01:45          81.62
2022-01-12/08:02:15          88.44
2022-01-12/08:02:45          103.1
2022-01-12/08:03:15          103.6
2022-01-12/08:03:45          106.2
2022-01-12/08:04:15          109.8
2022-01-12/08:04:45          106.7
2022-01-12/08:05:15          112.0
2022-01-12/08:05:45          113.8
2022-01-12/08:06:15          108.0
2022-01-12/08:06:45          102.1
2022-01-12/08:07:15          101.8
2022-01-12/08:07:45          94.48
2022-01-12/08:08:15          90.05
2022-01-12/08:08:45          87.74
2022-01-12/08:09:15          84.42
2022-01-12/08:09:45          85.83
2022-01-12/08:10:15          84.58
2022-01-12/08:10:45          89.42
2022-01-12/08:11:15          74.62
2022-01-12/08:11:45          71.78
2022-01-12/08:12:15          70.32
2022-01-12/08:12:45          72.13
2022-01-12/08:13:15          80.44
2022-01-12/08:13:45          65.12
2022-01-12/08:14:15          58.14
2022-01-12/08:14:45          50.22
2022-01-12/08:15:15          50.79
2022-01-12/08:15:45          57.16
2022-01-12/08:16:15          55.50
2022-01-12/08:16:45          64.17
2022-01-12/08:17:15          77.75
2022-01-12/08:17:45          89.95
2022-01-12/08:18:15          88.54
2022-01-12/08:18:45          82.18
2022-01-12/08:19:15          68.68
2022-01-12/08:19:45          68.48
2022-01-12/08:20:15          65.84
2022-01-12/08:20:45          62.54
2022-01-12/08:21:15          66.37
2022-01-12/08:21:45          60.97
2022-01-12/08:22:15          55.64
2022-01-12/08:22:45          57.11
2022-01-12/08:23:15          35.88
2022-01-12/08:23:45          38.07
2022-01-12/08:24:15          47.29
2022-01-12/08:24:45          48.53
2022-01-12/08:25:15          45.31
2022-01-12/08:25:45          43.63
2022-01-12/08:26:15          42.64
2022-01-12/08:26:45          49.65
2022-01-12/08:27:15          50.95
2022-01-12/08:27:45          50.14
2022-01-12/08:28:15          42.62
2022-01-12/08:28:45          37.55
2022-01-12/08:29:15          48.96
2022-01-12/08:29:45          37.73
2022-01-12/08:30:15          40.00
2022-01-12/08:30:45          43.30
2022-01-12/08:31:15          31.89
2022-01-12/08:31:45          34.61
2022-01-12/08:32:15          35.49
2022-01-12/08:32:45          29.73
2022-01-12/08:33:15          28.10
2022-01-12/08:33:45          27.72
2022-01-12/08:34:15          27.82
2022-01-12/08:34:45          27.54
2022-01-12/08:35:15          27.39
2022-01-12/08:35:45          26.78
2022-01-12/08:36:15          22.72
2022-01-12/08:36:45          28.37
2022-01-12/08:37:15          28.18
2022-01-12/08:37:45          29.20
2022-01-12/08:38:15          30.14
2022-01-12/08:38:45          31.78
2022-01-12/08:39:15          21.10
2022-01-12/08:39:45          18.42
2022-01-12/08:40:15          17.10
2022-01-12/08:40:45          18.87
2022-01-12/08:41:15          23.16
2022-01-12/08:41:45          28.42
2022-01-12/08:42:15          31.50
2022-01-12/08:42:45          32.27
2022-01-12/08:43:15          31.67
2022-01-12/08:43:45          25.23
2022-01-12/08:44:15          24.98
2022-01-12/08:44:45          21.68
2022-01-12/08:45:15          23.57
2022-01-12/08:45:45          22.52
2022-01-12/08:46:15          21.81
2022-01-12/08:46:45          18.71
2022-01-12/08:47:15          16.99
2022-01-12/08:47:45          16.98
2022-01-12/08:48:15          25.89
2022-01-12/08:48:45          27.44
2022-01-12/08:49:15          22.72
2022-01-12/08:49:45          22.17
2022-01-12/08:50:15          20.20
2022-01-12/08:50:45          27.08
2022-01-12/08:51:15          25.70
2022-01-12/08:51:45          26.61
2022-01-12/08:52:15          25.43
2022-01-12/08:52:45          22.32
2022-01-12/08:53:15          24.27
2022-01-12/08:53:45          24.89
2022-01-12/08:54:15          22.48
2022-01-12/08:54:45          19.22
2022-01-12/08:55:15          16.63
2022-01-12/08:55:45          17.50
2022-01-12/08:56:15          19.94
2022-01-12/08:56:45          21.64
2022-01-12/08:57:15          20.94
2022-01-12/08:57:45          25.77
2022-01-12/08:58:15          28.39
2022-01-12/08:58:45          29.58
2022-01-12/08:59:15          25.73
2022-01-12/08:59:45          24.22
2022-01-12/09:00:15          28.57
2022-01-12/09:00:45          31.09
2022-01-12/09:01:15          28.83
2022-01-12/09:01:45          27.90
2022-01-12/09:02:15          30.25
2022-01-12/09:02:45          33.31
2022-01-12/09:03:15          31.08
2022-01-12/09:03:45          29.36
2022-01-12/09:04:15          28.58
2022-01-12/09:04:45          26.64
2022-01-12/09:05:15          26.39
2022-01-12/09:05:45          26.40
2022-01-12/09:06:15          25.69
2022-01-12/09:06:45          25.91
2022-01-12/09:07:15          24.40
2022-01-12/09:07:45          23.35
2022-01-12/09:08:15          23.24
2022-01-12/09:08:45          23.68
2022-01-12/09:09:15          23.15
2022-01-12/09:09:45          20.89
2022-01-12/09:10:15          20.01
2022-01-12/09:10:45          19.52
2022-01-12/09:11:15          21.46
2022-01-12/09:11:45          21.81
2022-01-12/09:12:15          21.47
2022-01-12/09:12:45          20.27
2022-01-12/09:13:15          19.90
2022-01-12/09:13:45          18.76
2022-01-12/09:14:15          17.64
2022-01-12/09:14:45          15.28
2022-01-12/09:15:15          14.67
2022-01-12/09:15:45          13.86
2022-01-12/09:16:15          12.58
2022-01-12/09:16:45          11.76
2022-01-12/09:17:15          11.67
2022-01-12/09:17:45          11.83
2022-01-12/09:18:15          11.51
2022-01-12/09:18:45          11.06
2022-01-12/09:19:15          10.97
2022-01-12/09:19:45          10.72
2022-01-12/09:20:15          9.491
2022-01-12/09:20:45          9.056
2022-01-12/09:21:15          9.606
2022-01-12/09:21:45          9.710
2022-01-12/09:22:15          9.389
2022-01-12/09:22:45          9.670
2022-01-12/09:23:15          8.562
2022-01-12/09:23:45          8.535
2022-01-12/09:24:15          8.253
2022-01-12/09:24:45          7.716
2022-01-12/09:25:15          7.646
2022-01-12/09:25:45          7.211
2022-01-12/09:26:15          7.171
2022-01-12/09:26:45          6.733
2022-01-12/09:27:15          6.487
2022-01-12/09:27:45          6.255
2022-01-12/09:28:15          5.667
2022-01-12/09:28:45          5.576
2022-01-12/09:29:15          5.557
2022-01-12/09:29:45          5.813
2022-01-12/09:30:15          5.820
2022-01-12/09:30:45          5.687
2022-01-12/09:31:15          6.345
2022-01-12/09:31:45          6.513
2022-01-12/09:32:15          6.414
2022-01-12/09:32:45          6.713
2022-01-12/09:33:15          7.268
2022-01-12/09:33:45          7.664
2022-01-12/09:34:15          7.794
2022-01-12/09:34:45          7.695
2022-01-12/09:35:15          7.447
2022-01-12/09:35:45          8.372
2022-01-12/09:36:15          8.296
2022-01-12/09:36:45          8.592
2022-01-12/09:37:15          7.953
2022-01-12/09:37:45          7.570
2022-01-12/09:38:15          7.561
2022-01-12/09:38:45          8.360
2022-01-12/09:39:15          7.973
2022-01-12/09:39:45          8.284
2022-01-12/09:40:15          8.250
2022-01-12/09:40:45          8.103
2022-01-12/09:41:15          7.970
2022-01-12/09:41:45          8.042
2022-01-12/09:42:15          8.879
2022-01-12/09:42:45          9.037
2022-01-12/09:43:15          9.487
2022-01-12/09:43:45          10.41
2022-01-12/09:44:15          8.640
2022-01-12/09:44:45          7.167
2022-01-12/09:45:15          5.107
2022-01-12/09:45:45          5.731
2022-01-12/09:46:15          4.235
2022-01-12/09:46:45          3.458
2022-01-12/09:47:15          3.194
2022-01-12/09:47:45          5.280
2022-01-12/09:48:15          5.292
2022-01-12/09:48:45          5.086
2022-01-12/09:49:15          4.833
2022-01-12/09:49:45          0.000
2022-01-12/09:50:15          0.000
2022-01-12/09:50:45          0.000
2022-01-12/09:51:15          0.000
2022-01-12/09:51:45          0.000
2022-01-12/09:52:15          0.000
2022-01-12/09:52:45          0.000
2022-01-12/09:53:15          0.000
2022-01-12/09:53:45          0.000
2022-01-12/09:54:15          0.000
2022-01-12/09:54:45          0.000
2022-01-12/09:55:15          0.000
2022-01-12/09:55:45          0.000
2022-01-12/09:56:15          0.000
2022-01-12/09:56:45          0.000
2022-01-12/09:57:15          0.000
2022-01-12/09:57:45          0.000
2022-01-12/09:58:15          0.000
2022-01-12/09:58:45          0.000
2022-01-12/09:59:15          0.000
2022-01-12/09:59:45          0.000
2022-01-12/10:00:15          0.000
2022-01-12/10:00:45          0.000
2022-01-12/10:01:15          0.000
2022-01-12/10:01:45          0.000
2022-01-12/10:02:15          0.000
2022-01-12/10:02:45          0.000
2022-01-12/10:03:15          0.000
2022-01-12/10:03:45          0.000
2022-01-12/10:04:15          0.000
2022-01-12/10:04:45          0.000
2022-01-12/10:05:15          0.000
2022-01-12/10:05:45          0.000
2022-01-12/10:06:15          0.000
2022-01-12/10:06:45          0.000
2022-01-12/10:07:15          0.000
2022-01-12/10:07:45          0.000
2022-01-12/10:08:15          0.000
2022-01-12/10:08:45          0.000
2022-01-12/10:09:15          0.000
2022-01-12/10:09:45          0.000
2022-01-12/10:10:15          0.000
2022-01-12/10:10:45          0.000
2022-01-12/10:11:15         0.5626
2022-01-12/10:11:45         0.5469
2022-01-12/10:12:15         0.6695
2022-01-12/10:12:45          1.047
2022-01-12/10:13:15          1.838
2022-01-12/10:13:45          1.461
2022-01-12/10:14:15          1.099
2022-01-12/10:14:45          0.000
2022-01-12/10:15:15          0.000
2022-01-12/10:15:45          0.000
2022-01-12/11:27:15          0.000
2022-01-12/11:27:45          0.000
2022-01-12/11:28:15          0.000
2022-01-12/11:28:45          0.000
2022-01-12/11:29:15          0.000
2022-01-12/11:29:45          0.000
2022-01-12/11:30:15          0.000
2022-01-12/11:30:45          0.000
2022-01-12/11:31:15          0.000
2022-01-12/11:31:45          0.000
2022-01-12/11:32:15          1.092
2022-01-12/11:32:45          1.316
2022-01-12/11:33:15          1.752
2022-01-12/11:33:45          1.414
2022-01-12/11:34:15          1.906
2022-01-12/11:34:45          2.051
2022-01-12/11:35:15          2.444
2022-01-12/11:35:45          2.641
2022-01-12/11:36:15          2.723
2022-01-12/11:36:45          2.941
2022-01-12/11:37:15          3.538
2022-01-12/11:37:45          3.978
2022-01-12/11:38:15          3.891
2022-01-12/11:38:45          4.054
2022-01-12/11:39:15          4.473
2022-01-12/11:39:45          5.168
2022-01-12/11:40:15          5.216
2022-01-12/11:40:45          6.436
2022-01-12/11:41:15          5.828
2022-01-12/11:41:45          6.717
2022-01-12/11:42:15          7.822
2022-01-12/11:42:45          8.158
2022-01-12/11:43:15          9.411
2022-01-12/11:43:45          10.09
2022-01-12/11:44:15          9.317
2022-01-12/11:44:45          11.66
2022-01-12/11:45:15          10.53
2022-01-12/11:45:45          13.13
2022-01-12/11:46:15          11.34
2022-01-12/11:46:45          17.65
2022-01-12/11:47:15          14.52
2022-01-12/11:47:45          10.97
2022-01-12/11:48:15          6.949
2022-01-12/11:48:45          7.405
2022-01-12/11:49:15          5.206
2022-01-12/11:49:45          6.594
2022-01-12/11:50:15          0.000
2022-01-12/11:50:45          0.000
2022-01-12/11:51:15          0.000
2022-01-12/11:51:45          0.000
2022-01-12/11:52:15          0.000
2022-01-12/11:52:45          0.000
2022-01-12/11:53:15          0.000
2022-01-12/11:53:45          0.000
2022-01-12/11:54:15          0.000
2022-01-12/11:54:45          0.000
2022-01-12/11:55:15          0.000
2022-01-12/11:55:45          0.000
2022-01-12/11:56:15          0.000
2022-01-12/11:56:45          0.000
2022-01-12/11:57:15          0.000
