Time                       energy      ratio
2022-01-12/00:59:45          39.23    0.7641
2022-01-12/00:59:45          46.73    0.6861
2022-01-12/00:59:45          56.30    0.5925
2022-01-12/00:59:45          67.84    0.5038
2022-01-12/00:59:45          81.77    0.4343
2022-01-12/00:59:45          98.36    0.3995
2022-01-12/00:59:45          118.6    0.3389
2022-01-12/00:59:45          142.9    0.2871
2022-01-12/00:59:45          171.8    0.2477
2022-01-12/00:59:45          206.7    0.2164
2022-01-12/00:59:45          247.6    0.1877
2022-01-12/00:59:45          295.9    0.1690
2022-01-12/00:59:45          353.2    0.1508
2022-01-12/00:59:45          421.5    0.1339
2022-01-12/00:59:45          504.2    0.1210
2022-01-12/00:59:45          605.4    0.1086
2022-01-12/00:59:45          731.8   0.09733
2022-01-12/00:59:45          972.3   0.08170
2022-01-12/01:00:15        0.03075     0.000
2022-01-12/01:00:15        0.03242     0.000
2022-01-12/01:00:15        0.04127     0.000
2022-01-12/01:00:15        0.05200     0.000
2022-01-12/01:00:15        0.06481     0.000
2022-01-12/01:00:15        0.08088     0.000
2022-01-12/01:00:15         0.1005     0.000
2022-01-12/01:00:15         0.1256     0.000
2022-01-12/01:00:15         0.1565     0.000
2022-01-12/01:00:15         0.1950     0.000
2022-01-12/01:00:15         0.2432   0.01289
2022-01-12/01:00:15         0.3030   0.03264
2022-01-12/01:00:15         0.3776   0.04963
2022-01-12/01:00:15         0.4700   0.06604
2022-01-12/01:00:15         0.5855    0.1183
2022-01-12/01:00:15         0.7291    0.1363
2022-01-12/01:00:15         0.9078    0.1335
2022-01-12/01:00:15          1.129    0.1226
2022-01-12/01:00:15          1.406    0.1069
2022-01-12/01:00:15          1.751   0.08928
2022-01-12/01:00:15          2.180    0.1187
2022-01-12/01:00:15          2.715    0.1537
2022-01-12/01:00:15          3.375    0.1390
2022-01-12/01:00:15          4.202    0.1181
2022-01-12/01:00:15          5.232   0.09841
2022-01-12/01:00:15          6.521    0.1256
2022-01-12/01:00:15          8.126    0.2383
2022-01-12/01:00:15          10.11    0.2303
2022-01-12/01:00:15          12.59    0.2756
2022-01-12/01:00:15          15.68    0.2439
2022-01-12/01:00:15          19.53    0.2219
2022-01-12/01:00:15          24.32    0.1889
2022-01-12/01:00:15          39.23    0.1212
2022-01-12/01:00:15          46.73    0.1016
2022-01-12/01:00:15          56.30   0.08292
2022-01-12/01:00:15          67.84   0.06665
2022-01-12/01:00:15          81.77   0.05286
2022-01-12/01:00:15          98.36   0.04390
2022-01-12/01:00:15          118.6   0.03687
2022-01-12/01:00:15          142.9   0.03123
2022-01-12/01:00:15          171.8   0.02650
2022-01-12/01:00:15          206.7   0.02240
2022-01-12/01:00:15          247.6   0.01974
2022-01-12/01:00:15          295.9   0.01712
2022-01-12/01:00:15          353.2   0.01490
2022-01-12/01:00:15          421.5   0.01309
2022-01-12/01:00:15          504.2   0.01157
2022-01-12/01:00:15          605.4   0.01015
2022-01-12/01:00:15          731.8  0.008868
2022-01-12/01:00:15          972.3  0.007142
2022-01-12/01:00:45        0.03075     0.000
2022-01-12/01:00:45        0.03242     0.000
2022-01-12/01:00:45        0.04127     0.000
2022-01-12/01:00:45        0.05200     0.000
2022-01-12/01:00:45        0.06481     0.000
2022-01-12/01:00:45        0.08088     0.000
2022-01-12/01:00:45         0.1005     0.000
2022-01-12/01:00:45         0.1256     0.000
2022-01-12/01:00:45         0.1565     0.000
2022-01-12/01:00:45         0.1950     0.000
2022-01-12/01:00:45         0.2432   0.01580
2022-01-12/01:00:45         0.3030   0.03931
2022-01-12/01:00:45         0.3776   0.05935
2022-01-12/01:00:45         0.4700   0.07415
2022-01-12/01:00:45         0.5855    0.1147
2022-01-12/01:00:45         0.7291    0.1290
2022-01-12/01:00:45         0.9078    0.1258
2022-01-12/01:00:45          1.129    0.1154
2022-01-12/01:00:45          1.406    0.1008
2022-01-12/01:00:45          1.751   0.08461
2022-01-12/01:00:45          2.180    0.6237
2022-01-12/01:00:45          2.715    0.7749
2022-01-12/01:00:45          3.375    0.7446
2022-01-12/01:00:45          4.202    0.6839
2022-01-12/01:00:45          5.232    0.5966
2022-01-12/01:00:45          6.521    0.5394
2022-01-12/01:00:45          8.126    0.6462
2022-01-12/01:00:45          10.11    0.6213
2022-01-12/01:00:45          12.59    0.7562
2022-01-12/01:00:45          15.68    0.7103
2022-01-12/01:00:45          19.53    0.6617
2022-01-12/01:00:45          24.32    0.5875
2022-01-12/01:00:45          39.23    0.4125
2022-01-12/01:00:45          46.73    0.3561
2022-01-12/01:00:45          56.30    0.2973
2022-01-12/01:00:45          67.84    0.2412
2022-01-12/01:00:45          81.77    0.1904
2022-01-12/01:00:45          98.36    0.1580
2022-01-12/01:00:45          118.6    0.1310
2022-01-12/01:00:45          142.9    0.1107
2022-01-12/01:00:45          171.8   0.09474
2022-01-12/01:00:45          206.7   0.08071
2022-01-12/01:00:45          247.6   0.07043
2022-01-12/01:00:45          295.9   0.06217
2022-01-12/01:00:45          353.2   0.05483
2022-01-12/01:00:45          421.5   0.04843
2022-01-12/01:00:45          504.2   0.04317
2022-01-12/01:00:45          605.4   0.03816
2022-01-12/01:00:45          731.8   0.03350
2022-01-12/01:00:45          972.3   0.02733
2022-01-12/01:01:15        0.03075     0.000
2022-01-12/01:01:15        0.03242     0.000
2022-01-12/01:01:15        0.04127     0.000
2022-01-12/01:01:15        0.05200     0.000
2022-01-12/01:01:15        0.06481     0.000
2022-01-12/01:01:15        0.08088     0.000
2022-01-12/01:01:15         0.1005     0.000
2022-01-12/01:01:15         0.1256     0.000
2022-01-12/01:01:15         0.1565     0.000
2022-01-12/01:01:15         0.1950     0.000
2022-01-12/01:01:15         0.2432   0.01417
2022-01-12/01:01:15         0.3030   0.03591
2022-01-12/01:01:15         0.3776   0.05460
2022-01-12/01:01:15         0.4700   0.07104
2022-01-12/01:01:15         0.5855    0.1216
2022-01-12/01:01:15         0.7291    0.1392
2022-01-12/01:01:15         0.9078    0.1362
2022-01-12/01:01:15          1.129    0.1250
2022-01-12/01:01:15          1.406    0.1090
2022-01-12/01:01:15          1.751   0.09107
2022-01-12/01:01:15          2.180    0.2753
2022-01-12/01:01:15          2.715    0.3906
2022-01-12/01:01:15          3.375    0.3604
2022-01-12/01:01:15          4.202    0.3105
2022-01-12/01:01:15          5.232    0.2533
2022-01-12/01:01:15          6.521    0.5932
2022-01-12/01:01:15          8.126    0.8770
2022-01-12/01:01:15          10.11    0.8751
2022-01-12/01:01:15          12.59    0.9393
2022-01-12/01:01:15          15.68    0.9237
2022-01-12/01:01:15          19.53    0.9027
2022-01-12/01:01:15          24.32    0.8652
2022-01-12/01:01:15          39.23    0.7373
2022-01-12/01:01:15          46.73    0.6783
2022-01-12/01:01:15          56.30    0.6005
2022-01-12/01:01:15          67.84    0.5086
2022-01-12/01:01:15          81.77    0.4100
2022-01-12/01:01:15          98.36    0.3321
2022-01-12/01:01:15          118.6    0.2720
2022-01-12/01:01:15          142.9    0.2318
2022-01-12/01:01:15          171.8    0.2034
2022-01-12/01:01:15          206.7    0.1778
2022-01-12/01:01:15          247.6    0.1569
2022-01-12/01:01:15          295.9    0.1371
2022-01-12/01:01:15          353.2    0.1205
2022-01-12/01:01:15          421.5    0.1072
2022-01-12/01:01:15          504.2   0.09638
2022-01-12/01:01:15          605.4   0.08538
2022-01-12/01:01:15          731.8   0.07467
2022-01-12/01:01:15          972.3   0.06056
2022-01-12/01:01:45        0.03075     0.000
2022-01-12/01:01:45        0.03242     0.000
2022-01-12/01:01:45        0.04127     0.000
2022-01-12/01:01:45        0.05200     0.000
2022-01-12/01:01:45        0.06481     0.000
2022-01-12/01:01:45        0.08088     0.000
2022-01-12/01:01:45         0.1005     0.000
2022-01-12/01:01:45         0.1256     0.000
2022-01-12/01:01:45         0.1565     0.000
2022-01-12/01:01:45         0.1950     0.000
2022-01-12/01:01:45         0.2432     0.000
2022-01-12/01:01:45         0.3030     0.000
2022-01-12/01:01:45         0.3776     0.000
2022-01-12/01:01:45         0.4700     0.000
2022-01-12/01:01:45         0.5855     0.000
2022-01-12/01:01:45         0.7291     0.000
2022-01-12/01:01:45         0.9078     0.000
2022-01-12/01:01:45          1.129     0.000
2022-01-12/01:01:45          1.406     0.000
2022-01-12/01:01:45          1.751     0.000
2022-01-12/01:01:45          2.180     0.000
2022-01-12/01:01:45          2.715     0.000
2022-01-12/01:01:45          3.375     0.000
2022-01-12/01:01:45          4.202     0.000
2022-01-12/01:01:45          5.232     0.000
2022-01-12/01:01:45          6.521     0.000
2022-01-12/01:01:45          8.126     0.000
2022-01-12/01:01:45          10.11     0.000
2022-01-12/01:01:45          12.59     0.000
2022-01-12/01:01:45          15.68     0.000
2022-01-12/01:01:45          19.53     0.000
2022-01-12/01:01:45          24.32     0.000
2022-01-12/01:01:45          39.23     0.000
2022-01-12/01:01:45          46.73     0.000
2022-01-12/01:01:45          56.30     0.000
2022-01-12/01:01:45          67.84     0.000
2022-01-12/01:01:45          81.77     0.000
2022-01-12/01:01:45          98.36     0.000
2022-01-12/01:01:45          118.6     0.000
2022-01-12/01:01:45          142.9     0.000
2022-01-12/01:01:45          171.8     0.000
2022-01-12/01:01:45          206.7     0.000
2022-01-12/01:01:45          247.6     0.000
2022-01-12/01:01:45          295.9     0.000
2022-01-12/01:01:45          353.2     0.000
2022-01-12/01:01:45          421.5     0.000
2022-01-12/01:01:45          504.2     0.000
2022-01-12/01:01:45          605.4     0.000
2022-01-12/01:01:45          731.8     0.000
2022-01-12/01:01:45          972.3     0.000
2022-01-12/01:02:15        0.03075     0.000
2022-01-12/01:02:15        0.03242     0.000
2022-01-12/01:02:15        0.04127     0.000
2022-01-12/01:02:15        0.05200     0.000
2022-01-12/01:02:15        0.06481     0.000
2022-01-12/01:02:15        0.08088     0.000
2022-01-12/01:02:15         0.1005     0.000
2022-01-12/01:02:15         0.1256     0.000
2022-01-12/01:02:15         0.1565     0.000
2022-01-12/01:02:15         0.1950     0.000
2022-01-12/01:02:15         0.2432   0.01188
2022-01-12/01:02:15         0.3030   0.03002
2022-01-12/01:02:15         0.3776   0.04563
2022-01-12/01:02:15         0.4700   0.06121
2022-01-12/01:02:15         0.5855    0.1113
2022-01-12/01:02:15         0.7291    0.1285
2022-01-12/01:02:15         0.9078    0.1260
2022-01-12/01:02:15          1.129    0.1157
2022-01-12/01:02:15          1.406    0.1008
2022-01-12/01:02:15          1.751   0.08421
2022-01-12/01:02:15          2.180    0.1181
2022-01-12/01:02:15          2.715    0.1555
2022-01-12/01:02:15          3.375    0.1407
2022-01-12/01:02:15          4.202    0.1195
2022-01-12/01:02:15          5.232    0.1001
2022-01-12/01:02:15          6.521    0.1116
2022-01-12/01:02:15          8.126    0.1833
2022-01-12/01:02:15          10.11    0.1785
2022-01-12/01:02:15          12.59    0.2395
2022-01-12/01:02:15          15.68    0.2128
2022-01-12/01:02:15          19.53    0.1960
2022-01-12/01:02:15          24.32    0.1673
2022-01-12/01:02:15          39.23    0.1087
2022-01-12/01:02:15          46.73   0.09151
2022-01-12/01:02:15          56.30   0.07539
2022-01-12/01:02:15          67.84   0.06122
2022-01-12/01:02:15          81.77   0.04856
2022-01-12/01:02:15          98.36   0.04024
2022-01-12/01:02:15          118.6   0.03366
2022-01-12/01:02:15          142.9   0.02856
2022-01-12/01:02:15          171.8   0.02439
2022-01-12/01:02:15          206.7   0.02072
2022-01-12/01:02:15          247.6   0.01815
2022-01-12/01:02:15          295.9   0.01576
2022-01-12/01:02:15          353.2   0.01374
2022-01-12/01:02:15          421.5   0.01207
2022-01-12/01:02:15          504.2   0.01064
2022-01-12/01:02:15          605.4  0.009361
2022-01-12/01:02:15          731.8  0.008159
2022-01-12/01:02:15          972.3  0.006561
2022-01-12/01:02:45        0.03075     0.000
2022-01-12/01:02:45        0.03242     0.000
2022-01-12/01:02:45        0.04127     0.000
2022-01-12/01:02:45        0.05200     0.000
2022-01-12/01:02:45        0.06481     0.000
2022-01-12/01:02:45        0.08088     0.000
2022-01-12/01:02:45         0.1005     0.000
2022-01-12/01:02:45         0.1256     0.000
2022-01-12/01:02:45         0.1565     0.000
2022-01-12/01:02:45         0.1950     0.000
2022-01-12/01:02:45         0.2432   0.01383
2022-01-12/01:02:45         0.3030   0.03462
2022-01-12/01:02:45         0.3776   0.05241
2022-01-12/01:02:45         0.4700   0.07309
2022-01-12/01:02:45         0.5855    0.1410
2022-01-12/01:02:45         0.7291    0.1639
2022-01-12/01:02:45         0.9078    0.1610
2022-01-12/01:02:45          1.129    0.1481
2022-01-12/01:02:45          1.406    0.1293
2022-01-12/01:02:45          1.751    0.1081
2022-01-12/01:02:45          2.180    0.1562
2022-01-12/01:02:45          2.715    0.2067
2022-01-12/01:02:45          3.375    0.1875
2022-01-12/01:02:45          4.202    0.1595
2022-01-12/01:02:45          5.232    0.1322
2022-01-12/01:02:45          6.521    0.1238
2022-01-12/01:02:45          8.126    0.1623
2022-01-12/01:02:45          10.11    0.1525
2022-01-12/01:02:45          12.59    0.1741
2022-01-12/01:02:45          15.68    0.1532
2022-01-12/01:02:45          19.53    0.1441
2022-01-12/01:02:45          24.32    0.1234
2022-01-12/01:02:45          39.23   0.07998
2022-01-12/01:02:45          46.73   0.06728
2022-01-12/01:02:45          56.30   0.05627
2022-01-12/01:02:45          67.84   0.04703
2022-01-12/01:02:45          81.77   0.03838
2022-01-12/01:02:45          98.36   0.03236
2022-01-12/01:02:45          118.6   0.02736
2022-01-12/01:02:45          142.9   0.02328
2022-01-12/01:02:45          171.8   0.01983
2022-01-12/01:02:45          206.7   0.01681
2022-01-12/01:02:45          247.6   0.01458
2022-01-12/01:02:45          295.9   0.01267
2022-01-12/01:02:45          353.2   0.01101
2022-01-12/01:02:45          421.5  0.009592
2022-01-12/01:02:45          504.2  0.008393
2022-01-12/01:02:45          605.4  0.007387
2022-01-12/01:02:45          731.8  0.006454
2022-01-12/01:02:45          972.3  0.005217
2022-01-12/01:03:15        0.03075     0.000
2022-01-12/01:03:15        0.03242     0.000
2022-01-12/01:03:15        0.04127     0.000
2022-01-12/01:03:15        0.05200     0.000
2022-01-12/01:03:15        0.06481     0.000
2022-01-12/01:03:15        0.08088     0.000
2022-01-12/01:03:15         0.1005     0.000
2022-01-12/01:03:15         0.1256     0.000
2022-01-12/01:03:15         0.1565     0.000
2022-01-12/01:03:15         0.1950     0.000
2022-01-12/01:03:15         0.2432   0.05834
2022-01-12/01:03:15         0.3030    0.1470
2022-01-12/01:03:15         0.3776    0.2206
2022-01-12/01:03:15         0.4700    0.2857
2022-01-12/01:03:15         0.5855    0.4705
2022-01-12/01:03:15         0.7291    0.5255
2022-01-12/01:03:15         0.9078    0.5168
2022-01-12/01:03:15          1.129    0.4827
2022-01-12/01:03:15          1.406    0.4304
2022-01-12/01:03:15          1.751    0.3678
2022-01-12/01:03:15          2.180    0.3572
2022-01-12/01:03:15          2.715    0.3814
2022-01-12/01:03:15          3.375    0.3432
2022-01-12/01:03:15          4.202    0.2992
2022-01-12/01:03:15          5.232    0.2724
2022-01-12/01:03:15          6.521    0.2883
2022-01-12/01:03:15          8.126    0.4379
2022-01-12/01:03:15          10.11    0.4243
2022-01-12/01:03:15          12.59    0.5384
2022-01-12/01:03:15          15.68    0.4891
2022-01-12/01:03:15          19.53    0.4539
2022-01-12/01:03:15          24.32    0.3953
2022-01-12/01:03:15          39.23    0.2659
2022-01-12/01:03:15          46.73    0.2254
2022-01-12/01:03:15          56.30    0.1856
2022-01-12/01:03:15          67.84    0.1495
2022-01-12/01:03:15          81.77    0.1178
2022-01-12/01:03:15          98.36   0.09699
2022-01-12/01:03:15          118.6   0.08105
2022-01-12/01:03:15          142.9   0.06887
2022-01-12/01:03:15          171.8   0.05889
2022-01-12/01:03:15          206.7   0.05007
2022-01-12/01:03:15          247.6   0.04419
2022-01-12/01:03:15          295.9   0.03833
2022-01-12/01:03:15          353.2   0.03347
2022-01-12/01:03:15          421.5   0.02953
2022-01-12/01:03:15          504.2   0.02615
2022-01-12/01:03:15          605.4   0.02302
2022-01-12/01:03:15          731.8   0.02008
2022-01-12/01:03:15          972.3   0.01614
2022-01-12/01:03:45        0.03075     0.000
2022-01-12/01:03:45        0.03242     0.000
2022-01-12/01:03:45        0.04127     0.000
2022-01-12/01:03:45        0.05200     0.000
2022-01-12/01:03:45        0.06481     0.000
2022-01-12/01:03:45        0.08088     0.000
2022-01-12/01:03:45         0.1005     0.000
2022-01-12/01:03:45         0.1256     0.000
2022-01-12/01:03:45         0.1565     0.000
2022-01-12/01:03:45         0.1950     0.000
2022-01-12/01:03:45         0.2432   0.04071
2022-01-12/01:03:45         0.3030    0.1034
2022-01-12/01:03:45         0.3776    0.1564
2022-01-12/01:03:45         0.4700    0.2273
2022-01-12/01:03:45         0.5855    0.4420
2022-01-12/01:03:45         0.7291    0.5034
2022-01-12/01:03:45         0.9078    0.4966
2022-01-12/01:03:45          1.129    0.4639
2022-01-12/01:03:45          1.406    0.4129
2022-01-12/01:03:45          1.751    0.3517
2022-01-12/01:03:45          2.180    0.3445
2022-01-12/01:03:45          2.715    0.3710
2022-01-12/01:03:45          3.375    0.3329
2022-01-12/01:03:45          4.202    0.2898
2022-01-12/01:03:45          5.232    0.2658
2022-01-12/01:03:45          6.521    0.2908
2022-01-12/01:03:45          8.126    0.4490
2022-01-12/01:03:45          10.11    0.4364
2022-01-12/01:03:45          12.59    0.5470
2022-01-12/01:03:45          15.68    0.4975
2022-01-12/01:03:45          19.53    0.4632
2022-01-12/01:03:45          24.32    0.4035
2022-01-12/01:03:45          39.23    0.2721
2022-01-12/01:03:45          46.73    0.2312
2022-01-12/01:03:45          56.30    0.1912
2022-01-12/01:03:45          67.84    0.1550
2022-01-12/01:03:45          81.77    0.1227
2022-01-12/01:03:45          98.36    0.1013
2022-01-12/01:03:45          118.6   0.08472
2022-01-12/01:03:45          142.9   0.07199
2022-01-12/01:03:45          171.8   0.06160
2022-01-12/01:03:45          206.7   0.05245
2022-01-12/01:03:45          247.6   0.04610
2022-01-12/01:03:45          295.9   0.04003
2022-01-12/01:03:45          353.2   0.03494
2022-01-12/01:03:45          421.5   0.03077
2022-01-12/01:03:45          504.2   0.02721
2022-01-12/01:03:45          605.4   0.02398
2022-01-12/01:03:45          731.8   0.02093
2022-01-12/01:03:45          972.3   0.01687
2022-01-12/01:04:15        0.03075     0.000
2022-01-12/01:04:15        0.03242     0.000
2022-01-12/01:04:15        0.04127     0.000
2022-01-12/01:04:15        0.05200     0.000
2022-01-12/01:04:15        0.06481     0.000
2022-01-12/01:04:15        0.08088     0.000
2022-01-12/01:04:15         0.1005     0.000
2022-01-12/01:04:15         0.1256     0.000
2022-01-12/01:04:15         0.1565     0.000
2022-01-12/01:04:15         0.1950     0.000
2022-01-12/01:04:15         0.2432    0.8451
2022-01-12/01:04:15         0.3030    0.9720
2022-01-12/01:04:15         0.3776    0.9879
2022-01-12/01:04:15         0.4700    0.9908
2022-01-12/01:04:15         0.5855    0.9916
2022-01-12/01:04:15         0.7291    0.9912
2022-01-12/01:04:15         0.9078    0.9898
2022-01-12/01:04:15          1.129    0.9873
2022-01-12/01:04:15          1.406    0.9831
2022-01-12/01:04:15          1.751    0.9763
2022-01-12/01:04:15          2.180    0.9977
2022-01-12/01:04:15          2.715    0.9990
2022-01-12/01:04:15          3.375    0.9988
2022-01-12/01:04:15          4.202    0.9983
2022-01-12/01:04:15          5.232    0.9974
2022-01-12/01:04:15          6.521    0.9955
2022-01-12/01:04:15          8.126    0.9921
2022-01-12/01:04:15          10.11    0.9855
2022-01-12/01:04:15          12.59    0.9840
2022-01-12/01:04:15          15.68    0.9752
2022-01-12/01:04:15          19.53    0.9609
2022-01-12/01:04:15          24.32    0.9361
2022-01-12/01:04:15          39.23    0.8359
2022-01-12/01:04:15          46.73    0.7812
2022-01-12/01:04:15          56.30    0.7036
2022-01-12/01:04:15          67.84    0.6055
2022-01-12/01:04:15          81.77    0.5036
2022-01-12/01:04:15          98.36    0.4848
2022-01-12/01:04:15          118.6    0.4248
2022-01-12/01:04:15          142.9    0.3572
2022-01-12/01:04:15          171.8    0.2906
2022-01-12/01:04:15          206.7    0.2305
2022-01-12/01:04:15          247.6    0.1861
2022-01-12/01:04:15          295.9    0.1862
2022-01-12/01:04:15          353.2    0.1749
2022-01-12/01:04:15          421.5    0.1562
2022-01-12/01:04:15          504.2    0.1424
2022-01-12/01:04:15          605.4    0.1301
2022-01-12/01:04:15          731.8    0.1203
2022-01-12/01:04:15          972.3    0.1081
2022-01-12/01:04:45        0.03075     0.000
2022-01-12/01:04:45        0.03242     0.000
2022-01-12/01:04:45        0.04127     0.000
2022-01-12/01:04:45        0.05200     0.000
2022-01-12/01:04:45        0.06481     0.000
2022-01-12/01:04:45        0.08088     0.000
2022-01-12/01:04:45         0.1005     0.000
2022-01-12/01:04:45         0.1256     0.000
2022-01-12/01:04:45         0.1565     0.000
2022-01-12/01:04:45         0.1950     0.000
2022-01-12/01:04:45         0.2432    0.8883
2022-01-12/01:04:45         0.3030    0.9809
2022-01-12/01:04:45         0.3776    0.9918
2022-01-12/01:04:45         0.4700    0.9961
2022-01-12/01:04:45         0.5855    0.9991
2022-01-12/01:04:45         0.7291    0.9993
2022-01-12/01:04:45         0.9078    0.9993
2022-01-12/01:04:45          1.129    0.9992
2022-01-12/01:04:45          1.406    0.9989
2022-01-12/01:04:45          1.751    0.9984
2022-01-12/01:04:45          2.180    0.9988
2022-01-12/01:04:45          2.715    0.9992
2022-01-12/01:04:45          3.375    0.9989
2022-01-12/01:04:45          4.202    0.9985
2022-01-12/01:04:45          5.232    0.9980
2022-01-12/01:04:45          6.521    0.9968
2022-01-12/01:04:45          8.126    0.9947
2022-01-12/01:04:45          10.11    0.9912
2022-01-12/01:04:45          12.59    0.9940
2022-01-12/01:04:45          15.68    0.9917
2022-01-12/01:04:45          19.53    0.9878
2022-01-12/01:04:45          24.32    0.9804
2022-01-12/01:04:45          39.23    0.9516
2022-01-12/01:04:45          46.73    0.9370
2022-01-12/01:04:45          56.30    0.9114
2022-01-12/01:04:45          67.84    0.8661
2022-01-12/01:04:45          81.77    0.7889
2022-01-12/01:04:45          98.36    0.7294
2022-01-12/01:04:45          118.6    0.6445
2022-01-12/01:04:45          142.9    0.5651
2022-01-12/01:04:45          171.8    0.4977
2022-01-12/01:04:45          206.7    0.4306
2022-01-12/01:04:45          247.6    0.3604
2022-01-12/01:04:45          295.9    0.3482
2022-01-12/01:04:45          353.2    0.3234
2022-01-12/01:04:45          421.5    0.2907
2022-01-12/01:04:45          504.2    0.2691
2022-01-12/01:04:45          605.4    0.2467
2022-01-12/01:04:45          731.8    0.2259
2022-01-12/01:04:45          972.3    0.1993
2022-01-12/01:05:15        0.03075     0.000
2022-01-12/01:05:15        0.03242     0.000
2022-01-12/01:05:15        0.04127     0.000
2022-01-12/01:05:15        0.05200     0.000
2022-01-12/01:05:15        0.06481     0.000
2022-01-12/01:05:15        0.08088     0.000
2022-01-12/01:05:15         0.1005     0.000
2022-01-12/01:05:15         0.1256     0.000
2022-01-12/01:05:15         0.1565     0.000
2022-01-12/01:05:15         0.1950     0.000
2022-01-12/01:05:15         0.2432   0.01701
2022-01-12/01:05:15         0.3030   0.04330
2022-01-12/01:05:15         0.3776   0.06593
2022-01-12/01:05:15         0.4700   0.08867
2022-01-12/01:05:15         0.5855    0.1615
2022-01-12/01:05:15         0.7291    0.1862
2022-01-12/01:05:15         0.9078    0.1826
2022-01-12/01:05:15          1.129    0.1679
2022-01-12/01:05:15          1.406    0.1465
2022-01-12/01:05:15          1.751    0.1226
2022-01-12/01:05:15          2.180    0.1772
2022-01-12/01:05:15          2.715    0.2340
2022-01-12/01:05:15          3.375    0.2123
2022-01-12/01:05:15          4.202    0.1808
2022-01-12/01:05:15          5.232    0.1481
2022-01-12/01:05:15          6.521    0.1188
2022-01-12/01:05:15          8.126    0.1080
2022-01-12/01:05:15          10.11   0.09146
2022-01-12/01:05:15          12.59    0.1043
2022-01-12/01:05:15          15.68   0.09045
2022-01-12/01:05:15          19.53   0.07954
2022-01-12/01:05:15          24.32   0.06621
2022-01-12/01:05:15          39.23   0.04227
2022-01-12/01:05:15          46.73   0.03558
2022-01-12/01:05:15          56.30   0.02933
2022-01-12/01:05:15          67.84   0.02387
2022-01-12/01:05:15          81.77   0.01914
2022-01-12/01:05:15          98.36   0.01625
2022-01-12/01:05:15          118.6   0.01368
2022-01-12/01:05:15          142.9   0.01161
2022-01-12/01:05:15          171.8  0.009842
2022-01-12/01:05:15          206.7  0.008244
2022-01-12/01:05:15          247.6  0.007121
2022-01-12/01:05:15          295.9  0.006307
2022-01-12/01:05:15          353.2  0.005560
2022-01-12/01:05:15          421.5  0.004874
2022-01-12/01:05:15          504.2  0.004288
2022-01-12/01:05:15          605.4  0.003776
2022-01-12/01:05:15          731.8  0.003303
2022-01-12/01:05:15          972.3     0.000
2022-01-12/01:05:45        0.03075     0.000
2022-01-12/01:05:45        0.03242     0.000
2022-01-12/01:05:45        0.04127     0.000
2022-01-12/01:05:45        0.05200     0.000
2022-01-12/01:05:45        0.06481     0.000
2022-01-12/01:05:45        0.08088     0.000
2022-01-12/01:05:45         0.1005     0.000
2022-01-12/01:05:45         0.1256     0.000
2022-01-12/01:05:45         0.1565     0.000
2022-01-12/01:05:45         0.1950     0.000
2022-01-12/01:05:45         0.2432   0.03873
2022-01-12/01:05:45         0.3030   0.09818
2022-01-12/01:05:45         0.3776    0.1485
2022-01-12/01:05:45         0.4700    0.1730
2022-01-12/01:05:45         0.5855    0.2070
2022-01-12/01:05:45         0.7291    0.2168
2022-01-12/01:05:45         0.9078    0.2072
2022-01-12/01:05:45          1.129    0.1886
2022-01-12/01:05:45          1.406    0.1646
2022-01-12/01:05:45          1.751    0.1387
2022-01-12/01:05:45          2.180    0.5067
2022-01-12/01:05:45          2.715    0.6660
2022-01-12/01:05:45          3.375    0.6308
2022-01-12/01:05:45          4.202    0.5645
2022-01-12/01:05:45          5.232    0.4770
2022-01-12/01:05:45          6.521    0.3826
2022-01-12/01:05:45          8.126    0.3034
2022-01-12/01:05:45          10.11    0.2364
2022-01-12/01:05:45          12.59    0.2671
2022-01-12/01:05:45          15.68    0.2265
2022-01-12/01:05:45          19.53    0.1899
2022-01-12/01:05:45          24.32    0.1530
2022-01-12/01:05:45          39.23   0.09372
2022-01-12/01:05:45          46.73   0.07873
2022-01-12/01:05:45          56.30   0.06403
2022-01-12/01:05:45          67.84   0.05085
2022-01-12/01:05:45          81.77   0.04003
2022-01-12/01:05:45          98.36   0.03557
2022-01-12/01:05:45          118.6   0.02979
2022-01-12/01:05:45          142.9   0.02489
2022-01-12/01:05:45          171.8   0.02077
2022-01-12/01:05:45          206.7   0.01706
2022-01-12/01:05:45          247.6   0.01420
2022-01-12/01:05:45          295.9   0.01322
2022-01-12/01:05:45          353.2   0.01199
2022-01-12/01:05:45          421.5   0.01059
2022-01-12/01:05:45          504.2  0.009500
2022-01-12/01:05:45          605.4  0.008502
2022-01-12/01:05:45          731.8  0.007622
2022-01-12/01:05:45          972.3  0.006491
2022-01-12/01:06:15        0.03075     0.000
2022-01-12/01:06:15        0.03242     0.000
2022-01-12/01:06:15        0.04127     0.000
2022-01-12/01:06:15        0.05200     0.000
2022-01-12/01:06:15        0.06481     0.000
2022-01-12/01:06:15        0.08088     0.000
2022-01-12/01:06:15         0.1005     0.000
2022-01-12/01:06:15         0.1256     0.000
2022-01-12/01:06:15         0.1565     0.000
2022-01-12/01:06:15         0.1950     0.000
2022-01-12/01:06:15         0.2432   0.06760
2022-01-12/01:06:15         0.3030    0.1696
2022-01-12/01:06:15         0.3776    0.2536
2022-01-12/01:06:15         0.4700    0.3218
2022-01-12/01:06:15         0.5855    0.5062
