Time                       energy      ratio
2022-01-12/00:46:15          605.4     0.000
2022-01-12/00:46:15          731.8     0.000
2022-01-12/00:46:15          972.3     0.000
2022-01-12/00:46:45        0.03075     0.000
2022-01-12/00:46:45        0.03242     0.000
2022-01-12/00:46:45        0.04127     0.000
2022-01-12/00:46:45        0.05200     0.000
2022-01-12/00:46:45        0.06481     0.000
2022-01-12/00:46:45        0.08088     0.000
2022-01-12/00:46:45         0.1005     0.000
2022-01-12/00:46:45         0.1256     0.000
2022-01-12/00:46:45         0.1565     0.000
2022-01-12/00:46:45         0.1950     0.000
2022-01-12/00:46:45         0.2432     0.000
2022-01-12/00:46:45         0.3030     0.000
2022-01-12/00:46:45         0.3776     0.000
2022-01-12/00:46:45         0.4700     0.000
2022-01-12/00:46:45         0.5855     0.000
2022-01-12/00:46:45         0.7291     0.000
2022-01-12/00:46:45         0.9078     0.000
2022-01-12/00:46:45          1.129     0.000
2022-01-12/00:46:45          1.406     0.000
2022-01-12/00:46:45          1.751     0.000
2022-01-12/00:46:45          2.180     0.000
2022-01-12/00:46:45          2.715     0.000
2022-01-12/00:46:45          3.375     0.000
2022-01-12/00:46:45          4.202     0.000
2022-01-12/00:46:45          5.232     0.000
2022-01-12/00:46:45          6.521     0.000
2022-01-12/00:46:45          8.126     0.000
2022-01-12/00:46:45          10.11     0.000
2022-01-12/00:46:45          12.59     0.000
2022-01-12/00:46:45          15.68     0.000
2022-01-12/00:46:45          19.53     0.000
2022-01-12/00:46:45          24.32     0.000
2022-01-12/00:46:45          39.23     0.000
2022-01-12/00:46:45          46.73     0.000
2022-01-12/00:46:45          56.30     0.000
2022-01-12/00:46:45          67.84     0.000
2022-01-12/00:46:45          81.77     0.000
2022-01-12/00:46:45          98.36     0.000
2022-01-12/00:46:45          118.6     0.000
2022-01-12/00:46:45          142.9     0.000
2022-01-12/00:46:45          171.8     0.000
2022-01-12/00:46:45          206.7     0.000
2022-01-12/00:46:45          247.6     0.000
2022-01-12/00:46:45          295.9     0.000
2022-01-12/00:46:45          353.2     0.000
2022-01-12/00:46:45          421.5     0.000
2022-01-12/00:46:45          504.2     0.000
2022-01-12/00:46:45          605.4     0.000
2022-01-12/00:46:45          731.8     0.000
2022-01-12/00:46:45          972.3     0.000
2022-01-12/00:47:15        0.03075     0.000
2022-01-12/00:47:15        0.03242     0.000
2022-01-12/00:47:15        0.04127     0.000
2022-01-12/00:47:15        0.05200     0.000
2022-01-12/00:47:15        0.06481     0.000
2022-01-12/00:47:15        0.08088     0.000
2022-01-12/00:47:15         0.1005     0.000
2022-01-12/00:47:15         0.1256     0.000
2022-01-12/00:47:15         0.1565     0.000
2022-01-12/00:47:15         0.1950     0.000
2022-01-12/00:47:15         0.2432     0.000
2022-01-12/00:47:15         0.3030     0.000
2022-01-12/00:47:15         0.3776     0.000
2022-01-12/00:47:15         0.4700     0.000
2022-01-12/00:47:15         0.5855     0.000
2022-01-12/00:47:15         0.7291     0.000
2022-01-12/00:47:15         0.9078     0.000
2022-01-12/00:47:15          1.129     0.000
2022-01-12/00:47:15          1.406     0.000
2022-01-12/00:47:15          1.751     0.000
2022-01-12/00:47:15          2.180     0.000
2022-01-12/00:47:15          2.715     0.000
2022-01-12/00:47:15          3.375     0.000
2022-01-12/00:47:15          4.202     0.000
2022-01-12/00:47:15          5.232     0.000
2022-01-12/00:47:15          6.521     0.000
2022-01-12/00:47:15          8.126     0.000
2022-01-12/00:47:15          10.11     0.000
2022-01-12/00:47:15          12.59     0.000
2022-01-12/00:47:15          15.68     0.000
2022-01-12/00:47:15          19.53     0.000
2022-01-12/00:47:15          24.32     0.000
2022-01-12/00:47:15          39.23     0.000
2022-01-12/00:47:15          46.73     0.000
2022-01-12/00:47:15          56.30     0.000
2022-01-12/00:47:15          67.84     0.000
2022-01-12/00:47:15          81.77     0.000
