Time                             Mshell         energy           flux
2022-01-12/00:05:15          11.99     2715.     0.000
2022-01-12/00:05:15          11.99     3375.     0.000
2022-01-12/00:05:15          11.99     4202.     0.000
2022-01-12/00:05:15          11.99     5232.     0.000
2022-01-12/00:05:15          11.99     6521.     0.000
2022-01-12/00:05:15          11.99     8126.     0.000
2022-01-12/00:05:15          11.99 1.011e+04     0.000
2022-01-12/00:05:15          11.99 1.259e+04     0.000
2022-01-12/00:05:15          11.99 1.568e+04     0.000
2022-01-12/00:05:15          11.99 1.953e+04     0.000
2022-01-12/00:05:15          11.99 2.432e+04     0.000
2022-01-12/00:05:15          11.99 3.923e+04     0.000
2022-01-12/00:05:15          11.99 4.673e+04     0.000
2022-01-12/00:05:15          11.99 5.630e+04     0.000
2022-01-12/00:05:15          11.99 6.784e+04     0.000
2022-01-12/00:05:15          11.99 8.177e+04     0.000
2022-01-12/00:05:15          11.99 9.836e+04     0.000
2022-01-12/00:05:15          11.99 1.186e+05     0.000
2022-01-12/00:05:15          11.99 1.429e+05     0.000
2022-01-12/00:05:15          11.99 1.718e+05     0.000
2022-01-12/00:05:15          11.99 2.067e+05     0.000
2022-01-12/00:05:15          11.99 2.476e+05     0.000
2022-01-12/00:05:15          11.99 2.959e+05     0.000
2022-01-12/00:05:15          11.99 3.532e+05     0.000
2022-01-12/00:05:15          11.99 4.215e+05     0.000
2022-01-12/00:05:15          11.99 5.042e+05     0.000
2022-01-12/00:05:15          11.99 6.054e+05     0.000
2022-01-12/00:05:15          11.99 7.318e+05     0.000
2022-01-12/00:05:15          11.99 9.723e+05     0.000
2022-01-12/00:05:45          11.98     30.75     0.000
2022-01-12/00:05:45          11.98     32.42     0.000
2022-01-12/00:05:45          11.98     41.27     0.000
2022-01-12/00:05:45          11.98     52.00     0.000
2022-01-12/00:05:45          11.98     64.81     0.000
2022-01-12/00:05:45          11.98     80.88     0.000
2022-01-12/00:05:45          11.98     100.5     0.000
2022-01-12/00:05:45          11.98     125.6     0.000
2022-01-12/00:05:45          11.98     156.5     0.000
2022-01-12/00:05:45          11.98     195.0     0.000
2022-01-12/00:05:45          11.98     243.2     0.000
2022-01-12/00:05:45          11.98     303.0     0.000
2022-01-12/00:05:45          11.98     377.6     0.000
2022-01-12/00:05:45          11.98     470.0     0.000
2022-01-12/00:05:45          11.98     585.5     0.000
2022-01-12/00:05:45          11.98     729.1     0.000
2022-01-12/00:05:45          11.98     907.8     0.000
2022-01-12/00:05:45          11.98     1129.     0.000
2022-01-12/00:05:45          11.98     1406.     0.000
2022-01-12/00:05:45          11.98     1751.     0.000
2022-01-12/00:05:45          11.98     2180.     0.000
2022-01-12/00:05:45          11.98     2715.     0.000
2022-01-12/00:05:45          11.98     3375.     0.000
2022-01-12/00:05:45          11.98     4202.     0.000
2022-01-12/00:05:45          11.98     5232.     0.000
2022-01-12/00:05:45          11.98     6521.     0.000
2022-01-12/00:05:45          11.98     8126.     0.000
2022-01-12/00:05:45          11.98 1.011e+04     0.000
2022-01-12/00:05:45          11.98 1.259e+04     0.000
2022-01-12/00:05:45          11.98 1.568e+04     0.000
2022-01-12/00:05:45          11.98 1.953e+04     0.000
2022-01-12/00:05:45          11.98 2.432e+04     0.000
2022-01-12/00:05:45          11.98 3.923e+04     0.000
2022-01-12/00:05:45          11.98 4.673e+04     0.000
2022-01-12/00:05:45          11.98 5.630e+04     0.000
2022-01-12/00:05:45          11.98 6.784e+04     0.000
2022-01-12/00:05:45          11.98 8.177e+04     0.000
2022-01-12/00:05:45          11.98 9.836e+04     0.000
2022-01-12/00:05:45          11.98 1.186e+05     0.000
2022-01-12/00:05:45          11.98 1.429e+05     0.000
2022-01-12/00:05:45          11.98 1.718e+05     0.000
2022-01-12/00:05:45          11.98 2.067e+05     0.000
2022-01-12/00:05:45          11.98 2.476e+05     0.000
2022-01-12/00:05:45          11.98 2.959e+05     0.000
