                    time         Energy            Daa
     2022-01-12/02:53:15  0.001751 5.311e-06
     2022-01-12/02:53:15  0.002180 5.922e-06
     2022-01-12/02:53:15  0.002715 6.604e-06
     2022-01-12/02:53:15  0.003375 7.356e-06
     2022-01-12/02:53:15  0.004202 8.199e-06
     2022-01-12/02:53:15  0.005232 9.135e-06
     2022-01-12/02:53:15  0.006521 1.018e-05
     2022-01-12/02:53:15  0.008126 1.134e-05
     2022-01-12/02:53:15   0.01011 1.261e-05
     2022-01-12/02:53:15   0.01259 1.402e-05
     2022-01-12/02:53:15   0.01568 1.558e-05
     2022-01-12/02:53:15   0.01953 1.729e-05
     2022-01-12/02:53:15   0.02432 1.917e-05
     2022-01-12/02:53:15   0.03923 2.385e-05
     2022-01-12/02:53:15   0.04673 2.577e-05
     2022-01-12/02:53:15   0.05630 2.794e-05
     2022-01-12/02:53:15   0.06784 3.022e-05
     2022-01-12/02:53:15   0.08177 3.260e-05
     2022-01-12/02:53:15   0.09836 3.504e-05
     2022-01-12/02:53:15    0.1186 3.758e-05
     2022-01-12/02:53:15    0.1429 4.013e-05
     2022-01-12/02:53:15    0.1718 4.266e-05
     2022-01-12/02:53:15    0.2067 4.516e-05
     2022-01-12/02:53:15    0.2476 4.754e-05
     2022-01-12/02:53:15    0.2959 4.978e-05
     2022-01-12/02:53:15    0.3532 5.187e-05
     2022-01-12/02:53:15    0.4215 5.381e-05
     2022-01-12/02:53:15    0.5042 5.558e-05
     2022-01-12/02:53:15    0.6054 5.719e-05
     2022-01-12/02:53:15    0.7318 5.863e-05
     2022-01-12/02:53:15    0.9723 6.038e-05
     2022-01-12/02:53:45 3.075e-05 7.120e-07
     2022-01-12/02:53:45 3.242e-05 7.311e-07
     2022-01-12/02:53:45 4.127e-05 8.248e-07
     2022-01-12/02:53:45 5.200e-05 9.259e-07
     2022-01-12/02:53:45 6.481e-05 1.034e-06
     2022-01-12/02:53:45 8.088e-05 1.155e-06
     2022-01-12/02:53:45 0.0001005 1.287e-06
     2022-01-12/02:53:45 0.0001256 1.439e-06
     2022-01-12/02:53:45 0.0001565 1.606e-06
     2022-01-12/02:53:45 0.0001950 1.793e-06
     2022-01-12/02:53:45 0.0002432 2.002e-06
     2022-01-12/02:53:45 0.0003030 2.234e-06
     2022-01-12/02:53:45 0.0003776 2.494e-06
     2022-01-12/02:53:45 0.0004700 2.782e-06
     2022-01-12/02:53:45 0.0005855 3.104e-06
     2022-01-12/02:53:45 0.0007291 3.463e-06
     2022-01-12/02:53:45 0.0009078 3.863e-06
     2022-01-12/02:53:45  0.001129 4.308e-06
     2022-01-12/02:53:45  0.001406 4.805e-06
     2022-01-12/02:53:45  0.001751 5.358e-06
     2022-01-12/02:53:45  0.002180 5.975e-06
     2022-01-12/02:53:45  0.002715 6.664e-06
     2022-01-12/02:53:45  0.003375 7.423e-06
     2022-01-12/02:53:45  0.004202 8.273e-06
     2022-01-12/02:53:45  0.005232 9.217e-06
     2022-01-12/02:53:45  0.006521 1.027e-05
     2022-01-12/02:53:45  0.008126 1.144e-05
     2022-01-12/02:53:45   0.01011 1.272e-05
     2022-01-12/02:53:45   0.01259 1.415e-05
     2022-01-12/02:53:45   0.01568 1.572e-05
     2022-01-12/02:53:45   0.01953 1.745e-05
     2022-01-12/02:53:45   0.02432 1.934e-05
     2022-01-12/02:53:45   0.03923 2.407e-05
     2022-01-12/02:53:45   0.04673 2.601e-05
     2022-01-12/02:53:45   0.05630 2.819e-05
     2022-01-12/02:53:45   0.06784 3.049e-05
     2022-01-12/02:53:45   0.08177 3.289e-05
     2022-01-12/02:53:45   0.09836 3.536e-05
     2022-01-12/02:53:45    0.1186 3.792e-05
     2022-01-12/02:53:45    0.1429 4.050e-05
     2022-01-12/02:53:45    0.1718 4.305e-05
     2022-01-12/02:53:45    0.2067 4.557e-05
     2022-01-12/02:53:45    0.2476 4.797e-05
     2022-01-12/02:53:45    0.2959 5.023e-05
     2022-01-12/02:53:45    0.3532 5.234e-05
     2022-01-12/02:53:45    0.4215 5.429e-05
     2022-01-12/02:53:45    0.5042 5.608e-05
     2022-01-12/02:53:45    0.6054 5.770e-05
     2022-01-12/02:53:45    0.7318 5.916e-05
     2022-01-12/02:53:45    0.9723 6.093e-05
     2022-01-12/02:54:15 3.075e-05 7.125e-07
     2022-01-12/02:54:15 3.242e-05 7.316e-07
     2022-01-12/02:54:15 4.127e-05 8.254e-07
     2022-01-12/02:54:15 5.200e-05 9.266e-07
     2022-01-12/02:54:15 6.481e-05 1.034e-06
     2022-01-12/02:54:15 8.088e-05 1.155e-06
     2022-01-12/02:54:15 0.0001005 1.288e-06
     2022-01-12/02:54:15 0.0001256 1.440e-06
