Time                             R       Lat       Lon
2022-01-12/02:06:00          1.006    -68.43     341.8
2022-01-12/02:07:00          1.006    -68.37     342.3
2022-01-12/02:08:00          1.006    -68.31     342.8
2022-01-12/02:09:00          1.006    -68.26     343.3
2022-01-12/02:10:00          1.006    -68.20     343.8
2022-01-12/02:11:00          1.006    -68.15     344.2
2022-01-12/02:12:00          1.006    -68.09     344.7
2022-01-12/02:13:00          1.006    -68.04     345.2
2022-01-12/02:14:00          1.006    -67.98     345.7
2022-01-12/02:15:00          1.006    -67.93     346.2
2022-01-12/02:16:00          1.006    -67.87     346.7
2022-01-12/02:17:00          1.006    -67.82     347.2
2022-01-12/02:18:00          1.006    -67.77     347.7
2022-01-12/02:19:00          1.006    -67.71     348.2
2022-01-12/02:20:00          1.006    -67.66     348.7
2022-01-12/02:21:00          1.006    -67.60     349.2
2022-01-12/02:22:00          1.006    -67.55     349.6
2022-01-12/02:23:00          1.006    -67.50     350.1
2022-01-12/02:24:00          1.006    -67.45     350.6
2022-01-12/02:25:00          1.006    -67.39     351.1
2022-01-12/02:26:00          1.006    -67.34     351.6
2022-01-12/02:27:00          1.006    -67.29     352.1
2022-01-12/02:28:00          1.006    -67.24     352.6
2022-01-12/02:29:00          1.006    -67.18     353.1
2022-01-12/02:30:00          1.006    -67.13     353.6
2022-01-12/02:31:00          1.006    -67.08     354.1
2022-01-12/02:32:00          1.006    -67.03     354.6
2022-01-12/02:33:00          1.006    -66.98     355.1
2022-01-12/02:34:00          1.006    -66.93     355.6
2022-01-12/02:35:00          1.006    -66.88     356.0
2022-01-12/02:36:00          1.006    -66.83     356.5
2022-01-12/02:37:00          1.006    -66.78     357.0
2022-01-12/02:38:00          1.006    -66.73     357.5
2022-01-12/02:39:00          1.006    -66.68     358.0
2022-01-12/02:40:00          1.006    -66.63     358.5
2022-01-12/02:41:00          1.006    -66.58     359.0
2022-01-12/02:42:00          1.006    -66.53     359.5
2022-01-12/02:43:00          1.006    -66.48   0.01095
2022-01-12/02:44:00          1.006    -66.43    0.5078
2022-01-12/02:45:00          1.006    -66.38     1.005
2022-01-12/02:46:00          1.006    -66.33     1.503
2022-01-12/02:47:00          1.006    -66.29     2.000
2022-01-12/02:48:00          1.006    -66.24     2.499
2022-01-12/02:49:00          1.006    -66.19     2.998
2022-01-12/02:50:00          1.006    -66.14     3.497
2022-01-12/02:51:00          1.006    -66.10     3.996
2022-01-12/02:52:00          1.006    -66.05     4.497
2022-01-12/02:53:00          1.006    -66.00     4.997
2022-01-12/02:54:00          1.006    -65.95     5.498
2022-01-12/02:55:00          1.006    -65.91     6.000
2022-01-12/02:56:00          1.006    -65.86     6.502
2022-01-12/02:57:00          1.006    -65.81     7.004
2022-01-12/02:58:00          1.006    -65.77     7.508
2022-01-12/02:59:00          1.006    -65.72     8.011
2022-01-12/03:00:00          1.006    -65.67     8.516
2022-01-12/03:01:00          1.006    -65.63     9.020
2022-01-12/03:02:00          1.006    -65.58     9.526
2022-01-12/03:03:00          1.006    -65.54     10.03
2022-01-12/03:04:00          1.006    -65.49     10.54
2022-01-12/03:05:00          1.006    -65.45     11.05
2022-01-12/03:06:00          1.006    -65.40     11.55
2022-01-12/03:07:00          1.006    -65.36     12.06
2022-01-12/03:08:00          1.006    -65.31     12.57
2022-01-12/03:09:00          1.006    -65.27     13.08
2022-01-12/03:10:00          1.006    -65.22     13.59
2022-01-12/03:11:00          1.006    -65.18     14.10
2022-01-12/03:12:00          1.006    -65.13     14.62
2022-01-12/03:13:00          1.006    -65.09     15.13
2022-01-12/03:14:00          1.006    -65.04     15.64
2022-01-12/03:15:00          1.006    -65.00     16.16
2022-01-12/03:16:00          1.006    -64.95     16.67
2022-01-12/03:17:00          1.006    -64.91     17.19
2022-01-12/03:18:00          1.006    -64.86     17.70
2022-01-12/03:19:00          1.006    -64.82     18.22
2022-01-12/03:20:00          1.006    -64.78     18.74
2022-01-12/03:21:00          1.006    -64.73     19.26
2022-01-12/03:22:00          1.006    -64.69     19.78
2022-01-12/03:23:00          1.006    -64.64     20.30
2022-01-12/03:24:00          1.006    -64.60     20.82
2022-01-12/03:25:00          1.006    -64.55     21.34
2022-01-12/03:26:00          1.006    -64.51     21.87
2022-01-12/03:27:00          1.006    -64.46     22.39
2022-01-12/03:28:00          1.006    -64.42     22.91
2022-01-12/03:29:00          1.006    -64.37     23.44
2022-01-12/03:30:00          1.006    -64.33     23.97
2022-01-12/03:31:00          1.006    -64.28     24.49
2022-01-12/03:32:00          1.006    -64.24     25.02
2022-01-12/03:33:00          1.006    -64.19     25.55
2022-01-12/03:34:00          1.006    -64.15     26.08
2022-01-12/03:35:00          1.006    -64.10     26.61
2022-01-12/03:36:00          1.006    -64.06     27.14
2022-01-12/03:37:00          1.006    -64.01     27.67
2022-01-12/03:38:00          1.006    -63.96     28.20
2022-01-12/03:39:00          1.006    -63.92     28.73
2022-01-12/03:40:00          1.006    -63.87     29.26
2022-01-12/03:41:00          1.006    -63.82     29.79
2022-01-12/03:42:00          1.006    -63.77     30.32
2022-01-12/03:43:00          1.006    -63.73     30.85
2022-01-12/03:44:00          1.006    -63.68     31.38
2022-01-12/03:45:00          1.006    -63.63     31.92
2022-01-12/03:46:00          1.006    -63.58     32.45
2022-01-12/03:47:00          1.006    -63.53     32.98
2022-01-12/03:48:00          1.006    -63.48     33.51
2022-01-12/03:49:00          1.006    -63.43     34.04
2022-01-12/03:50:00          1.006    -63.38     34.57
2022-01-12/03:51:00          1.006    -63.33     35.09
2022-01-12/03:52:00          1.006    -63.28     35.62
2022-01-12/03:53:00          1.006    -63.23     36.15
2022-01-12/03:54:00          1.006    -63.17     36.67
2022-01-12/03:55:00          1.006    -63.12     37.20
2022-01-12/03:56:00          1.006    -63.07     37.72
2022-01-12/03:57:00          1.006    -63.02     38.24
2022-01-12/03:58:00          1.006    -62.96     38.76
2022-01-12/03:59:00          1.006    -62.91     39.28
2022-01-12/04:00:00          1.006    -62.86     39.80
2022-01-12/04:01:00          1.006    -62.80     40.31
2022-01-12/04:02:00          1.006    -62.75     40.82
2022-01-12/04:03:00          1.006    -62.70     41.33
2022-01-12/04:04:00          1.006    -62.64     41.84
2022-01-12/04:05:00          1.006    -62.59     42.35
2022-01-12/04:06:00          1.006    -62.53     42.85
2022-01-12/04:07:00          1.006    -62.48     43.35
2022-01-12/04:08:00          1.006    -62.42     43.85
2022-01-12/04:09:00          1.006    -62.37     44.34
2022-01-12/04:10:00          1.006    -62.32     44.84
2022-01-12/04:11:00          1.006    -62.26     45.33
2022-01-12/04:12:00          1.006    -62.21     45.81
2022-01-12/04:13:00          1.006    -62.16     46.30
2022-01-12/04:14:00          1.006    -62.10     46.78
2022-01-12/04:15:00          1.006    -62.05     47.26
2022-01-12/04:16:00          1.006    -62.00     47.73
2022-01-12/04:17:00          1.006    -61.95     48.21
2022-01-12/04:18:00          1.006    -61.90     48.68
2022-01-12/04:19:00          1.006    -61.85     49.14
2022-01-12/04:20:00          1.006    -61.80     49.61
2022-01-12/04:21:00          1.006    -61.75     50.07
2022-01-12/04:22:00          1.006    -61.70     50.53
2022-01-12/04:23:00          1.006    -61.65     50.98
2022-01-12/04:24:00          1.006    -61.60     51.43
2022-01-12/04:25:00          1.006    -61.56     51.88
2022-01-12/04:26:00          1.006    -61.51     52.33
2022-01-12/04:27:00          1.006    -61.47     52.77
2022-01-12/04:28:00          1.006    -61.42     53.21
2022-01-12/04:29:00          1.006    -61.38     53.65
2022-01-12/04:30:00          1.006    -61.34     54.09
2022-01-12/04:31:00          1.006    -61.30     54.52
2022-01-12/04:32:00          1.006    -61.26     54.95
2022-01-12/04:33:00          1.006    -61.22     55.38
2022-01-12/04:34:00          1.006    -61.18     55.81
2022-01-12/04:35:00          1.006    -61.14     56.23
2022-01-12/04:36:00          1.006    -61.11     56.65
2022-01-12/04:37:00          1.006    -61.07     57.07
2022-01-12/04:38:00          1.006    -61.04     57.49
2022-01-12/04:39:00          1.006    -61.01     57.90
2022-01-12/04:40:00          1.006    -60.98     58.32
2022-01-12/04:41:00          1.006    -60.95     58.73
2022-01-12/04:42:00          1.006    -60.92     59.14
2022-01-12/04:43:00          1.006    -60.89     59.54
2022-01-12/04:44:00          1.006    -60.86     59.95
2022-01-12/04:45:00          1.006    -60.84     60.35
2022-01-12/04:46:00          1.006    -60.82     60.76
2022-01-12/04:47:00          1.006    -60.79     61.16
2022-01-12/04:48:00          1.006    -60.77     61.56
2022-01-12/04:49:00          1.006    -60.75     61.95
