Time                             Mshell         energy           flux
2022-01-12/00:05:15          11.99     156.5 1.812e+09
2022-01-12/00:05:15          11.99     195.0 1.249e+09
2022-01-12/00:05:15          11.99     243.2 8.574e+08
2022-01-12/00:05:15          11.99     303.0 6.083e+08
2022-01-12/00:05:15          11.99     377.6 4.308e+08
2022-01-12/00:05:15          11.99     470.0 3.057e+08
2022-01-12/00:05:15          11.99     585.5 2.243e+08
2022-01-12/00:05:15          11.99     729.1 1.659e+08
2022-01-12/00:05:15          11.99     907.8 1.267e+08
2022-01-12/00:05:15          11.99     1129. 1.013e+08
2022-01-12/00:05:15          11.99     1406. 7.561e+07
2022-01-12/00:05:15          11.99     1751. 5.630e+07
2022-01-12/00:05:15          11.99     2180. 4.300e+07
2022-01-12/00:05:15          11.99     2715. 3.062e+07
2022-01-12/00:05:15          11.99     3375. 2.418e+07
2022-01-12/00:05:15          11.99     4202. 1.858e+07
2022-01-12/00:05:15          11.99     5232. 1.441e+07
2022-01-12/00:05:15          11.99     6521. 1.072e+07
2022-01-12/00:05:15          11.99     8126. 8.416e+06
2022-01-12/00:05:15          11.99 1.011e+04 6.364e+06
2022-01-12/00:05:15          11.99 1.259e+04 4.852e+06
2022-01-12/00:05:15          11.99 1.568e+04 3.873e+06
2022-01-12/00:05:15          11.99 1.953e+04 2.916e+06
2022-01-12/00:05:15          11.99 2.432e+04 2.482e+06
2022-01-12/00:05:15          11.99 3.923e+04 1.726e+06
2022-01-12/00:05:15          11.99 4.673e+04 1.299e+06
2022-01-12/00:05:15          11.99 5.630e+04 9.586e+05
2022-01-12/00:05:15          11.99 6.784e+04 7.440e+05
2022-01-12/00:05:15          11.99 8.177e+04 5.577e+05
2022-01-12/00:05:15          11.99 9.836e+04 4.215e+05
2022-01-12/00:05:15          11.99 1.186e+05 3.445e+05
2022-01-12/00:05:15          11.99 1.429e+05 3.319e+05
2022-01-12/00:05:15          11.99 1.718e+05 2.651e+05
2022-01-12/00:05:15          11.99 2.067e+05 1.850e+05
2022-01-12/00:05:15          11.99 2.476e+05 1.235e+05
2022-01-12/00:05:15          11.99 2.959e+05 8.251e+04
2022-01-12/00:05:15          11.99 3.532e+05 5.432e+04
2022-01-12/00:05:15          11.99 4.215e+05 3.421e+04
2022-01-12/00:05:15          11.99 5.042e+05 2.276e+04
2022-01-12/00:05:15          11.99 6.054e+05 1.651e+04
2022-01-12/00:05:15          11.99 7.318e+05 1.211e+04
2022-01-12/00:05:15          11.99 9.723e+05 1.037e+04
2022-01-12/00:05:45          11.98     30.75 2.124e+10
2022-01-12/00:05:45          11.98     32.42 2.042e+10
2022-01-12/00:05:45          11.98     41.27 1.585e+10
2022-01-12/00:05:45          11.98     52.00 1.179e+10
2022-01-12/00:05:45          11.98     64.81 8.836e+09
2022-01-12/00:05:45          11.98     80.88 6.173e+09
2022-01-12/00:05:45          11.98     100.5 4.560e+09
2022-01-12/00:05:45          11.98     125.6 3.199e+09
2022-01-12/00:05:45          11.98     156.5 2.284e+09
2022-01-12/00:05:45          11.98     195.0 1.618e+09
2022-01-12/00:05:45          11.98     243.2 1.102e+09
2022-01-12/00:05:45          11.98     303.0 7.812e+08
2022-01-12/00:05:45          11.98     377.6 5.631e+08
