Time                    Mshell    R         MagLat    MLT       
     2022-01-12/01:20:30     10.74     10.74   -0.1925     20.02
     2022-01-12/01:20:40     10.74     10.74   -0.2061     20.02
     2022-01-12/01:20:50     10.74     10.74   -0.2196     20.02
     2022-01-12/01:21:00     10.74     10.74   -0.2331     20.02
     2022-01-12/01:21:10     10.73     10.74   -0.2467     20.02
     2022-01-12/01:21:20     10.73     10.73   -0.2602     20.02
     2022-01-12/01:21:30     10.73     10.73   -0.2737     20.02
     2022-01-12/01:21:40     10.73     10.73   -0.2872     20.02
     2022-01-12/01:21:50     10.73     10.73   -0.3007     20.02
     2022-01-12/01:22:00     10.72     10.72   -0.3141     20.02
     2022-01-12/01:22:10     10.72     10.72   -0.3276     20.02
     2022-01-12/01:22:20     10.72     10.72   -0.3411     20.02
     2022-01-12/01:22:30     10.72     10.72   -0.3545     20.02
     2022-01-12/01:22:40     10.71     10.71   -0.3679     20.02
     2022-01-12/01:22:50     10.71     10.71   -0.3814     20.02
     2022-01-12/01:23:00     10.71     10.71   -0.3948     20.02
     2022-01-12/01:23:10     10.71     10.71   -0.4082     20.02
     2022-01-12/01:23:20     10.71     10.71   -0.4216     20.02
     2022-01-12/01:23:30     10.70     10.70   -0.4350     20.02
     2022-01-12/01:23:40     10.70     10.70   -0.4483     20.02
     2022-01-12/01:23:50     10.70     10.70   -0.4617     20.02
     2022-01-12/01:24:00     10.70     10.70   -0.4750     20.02
     2022-01-12/01:24:10     10.69     10.69   -0.4884     20.02
     2022-01-12/01:24:20     10.69     10.69   -0.5017     20.02
     2022-01-12/01:24:30     10.69     10.69   -0.5150     20.02
     2022-01-12/01:24:40     10.69     10.69   -0.5283     20.02
     2022-01-12/01:24:50     10.69     10.69   -0.5416     20.02
     2022-01-12/01:25:00     10.68     10.68   -0.5549     20.02
     2022-01-12/01:25:10     10.68     10.68   -0.5682     20.02
     2022-01-12/01:25:20     10.68     10.68   -0.5815     20.02
     2022-01-12/01:25:30     10.68     10.68   -0.5947     20.02
     2022-01-12/01:25:40     10.67     10.67   -0.6080     20.02
     2022-01-12/01:25:50     10.67     10.67   -0.6212     20.02
     2022-01-12/01:26:00     10.67     10.67   -0.6344     20.02
     2022-01-12/01:26:10     10.67     10.67   -0.6476     20.02
     2022-01-12/01:26:20     10.67     10.66   -0.6608     20.02
     2022-01-12/01:26:30     10.66     10.66   -0.6740     20.02
     2022-01-12/01:26:40     10.66     10.66   -0.6872     20.02
     2022-01-12/01:26:50     10.66     10.66   -0.7004     20.02
     2022-01-12/01:27:00     10.66     10.66   -0.7135     20.02
     2022-01-12/01:27:10     10.65     10.65   -0.7267     20.02
     2022-01-12/01:27:20     10.65     10.65   -0.7398     20.02
     2022-01-12/01:27:30     10.65     10.65   -0.7529     20.02
     2022-01-12/01:27:40     10.65     10.65   -0.7660     20.02
     2022-01-12/01:27:50     10.65     10.64   -0.7791     20.02
     2022-01-12/01:28:00     10.64     10.64   -0.7922     20.02
     2022-01-12/01:28:10     10.64     10.64   -0.8053     20.02
     2022-01-12/01:28:20     10.64     10.64   -0.8183     20.02
     2022-01-12/01:28:30     10.64     10.63   -0.8314     20.02
     2022-01-12/01:28:40     10.63     10.63   -0.8444     20.02
     2022-01-12/01:28:50     10.63     10.63   -0.8574     20.02
     2022-01-12/01:29:00     10.63     10.63   -0.8704     20.02
     2022-01-12/01:29:10     10.63     10.63   -0.8834     20.02
     2022-01-12/01:29:20     10.63     10.62   -0.8964     20.02
     2022-01-12/01:29:30     10.62     10.62   -0.9094     20.02
     2022-01-12/01:29:40     10.62     10.62   -0.9223     20.02
     2022-01-12/01:29:50     10.62     10.62   -0.9353     20.02
     2022-01-12/01:30:00     10.62     10.61   -0.9482     20.02
     2022-01-12/01:30:10     10.61     10.61   -0.9611     20.02
     2022-01-12/01:30:20     10.61     10.61   -0.9741     20.02
     2022-01-12/01:30:30     10.61     10.61   -0.9870     20.02
     2022-01-12/01:30:40     10.61     10.61   -0.9998     20.02
     2022-01-12/01:30:50     10.61     10.60    -1.013     20.02
     2022-01-12/01:31:00     10.60     10.60    -1.026     20.02
     2022-01-12/01:31:10     10.60     10.60    -1.038     20.02
     2022-01-12/01:31:20     10.60     10.60    -1.051     20.02
     2022-01-12/01:31:30     10.60     10.59    -1.064     20.02
     2022-01-12/01:31:40     10.59     10.59    -1.077     20.02
     2022-01-12/01:31:50     10.59     10.59    -1.090     20.02
     2022-01-12/01:32:00     10.59     10.59    -1.102     20.02
     2022-01-12/01:32:10     10.59     10.58    -1.115     20.02
     2022-01-12/01:32:20     10.59     10.58    -1.128     20.02
     2022-01-12/01:32:30     10.58     10.58    -1.141     20.02
     2022-01-12/01:32:40     10.58     10.58    -1.153     20.02
     2022-01-12/01:32:50     10.58     10.58    -1.166     20.02
     2022-01-12/01:33:00     10.58     10.57    -1.179     20.02
     2022-01-12/01:33:10     10.57     10.57    -1.192     20.02
     2022-01-12/01:33:20     10.57     10.57    -1.204     20.02
     2022-01-12/01:33:30     10.57     10.57    -1.217     20.02
     2022-01-12/01:33:40     10.57     10.56    -1.230     20.02
     2022-01-12/01:33:50     10.57     10.56    -1.242     20.02
     2022-01-12/01:34:00     10.56     10.56    -1.255     20.02
     2022-01-12/01:34:10     10.56     10.56    -1.267     20.02
     2022-01-12/01:34:20     10.56     10.55    -1.280     20.02
     2022-01-12/01:34:30     10.56     10.55    -1.293     20.02
     2022-01-12/01:34:40     10.55     10.55    -1.305     20.02
     2022-01-12/01:34:50     10.55     10.55    -1.318     20.02
     2022-01-12/01:35:00     10.55     10.55    -1.330     20.02
     2022-01-12/01:35:10     10.55     10.54    -1.343     20.02
     2022-01-12/01:35:20     10.55     10.54    -1.355     20.02
     2022-01-12/01:35:30     10.54     10.54    -1.368     20.02
     2022-01-12/01:35:40     10.54     10.54    -1.380     20.02
     2022-01-12/01:35:50     10.54     10.53    -1.393     20.02
     2022-01-12/01:36:00     10.54     10.53    -1.405     20.02
     2022-01-12/01:36:10     10.54     10.53    -1.418     20.02
     2022-01-12/01:36:20     10.53     10.53    -1.430     20.02
     2022-01-12/01:36:30     10.53     10.53    -1.442     20.02
     2022-01-12/01:36:40     10.53     10.52    -1.455     20.02
     2022-01-12/01:36:50     10.53     10.52    -1.467     20.02
     2022-01-12/01:37:00     10.52     10.52    -1.479     20.02
     2022-01-12/01:37:10     10.52     10.52    -1.492     20.02
     2022-01-12/01:37:20     10.52     10.51    -1.504     20.02
     2022-01-12/01:37:30     10.52     10.51    -1.516     20.02
     2022-01-12/01:37:40     10.52     10.51    -1.529     20.02
     2022-01-12/01:37:50     10.51     10.51    -1.541     20.02
     2022-01-12/01:38:00     10.51     10.50    -1.553     20.02
     2022-01-12/01:38:10     10.51     10.50    -1.566     20.02
     2022-01-12/01:38:20     10.51     10.50    -1.578     20.02
     2022-01-12/01:38:30     10.50     10.50    -1.590     20.02
     2022-01-12/01:38:40     10.50     10.50    -1.602     20.02
     2022-01-12/01:38:50     10.50     10.49    -1.614     20.02
     2022-01-12/01:39:00     10.50     10.49    -1.627     20.02
     2022-01-12/01:39:10     10.50     10.49    -1.639     20.02
     2022-01-12/01:39:20     10.49     10.49    -1.651     20.02
     2022-01-12/01:39:30     10.49     10.48    -1.663     20.02
     2022-01-12/01:39:40     10.49     10.48    -1.675     20.02
     2022-01-12/01:39:50     10.49     10.48    -1.687     20.02
     2022-01-12/01:40:00     10.49     10.48    -1.699     20.02
     2022-01-12/01:40:10     10.48     10.47    -1.711     20.02
     2022-01-12/01:40:20     10.48     10.47    -1.724     20.02
     2022-01-12/01:40:30     10.48     10.47    -1.736     20.02
     2022-01-12/01:40:40     10.48     10.47    -1.748     20.02
     2022-01-12/01:40:50     10.47     10.47    -1.760     20.02
     2022-01-12/01:41:00     10.47     10.46    -1.772     20.02
     2022-01-12/01:41:10     10.47     10.46    -1.784     20.02
     2022-01-12/01:41:20     10.47     10.46    -1.795     20.02
     2022-01-12/01:41:30     10.47     10.46    -1.807     20.02
     2022-01-12/01:41:40     10.46     10.45    -1.819     20.02
     2022-01-12/01:41:50     10.46     10.45    -1.831     20.02
     2022-01-12/01:42:00     10.46     10.45    -1.843     20.02
     2022-01-12/01:42:10     10.46     10.45    -1.855     20.02
     2022-01-12/01:42:20     10.46     10.44    -1.867     20.02
     2022-01-12/01:42:30     10.45     10.44    -1.879     20.02
     2022-01-12/01:42:40     10.45     10.44    -1.891     20.02
     2022-01-12/01:42:50     10.45     10.44    -1.902     20.02
     2022-01-12/01:43:00     10.45     10.44    -1.914     20.02
     2022-01-12/01:43:10     10.44     10.43    -1.926     20.01
     2022-01-12/01:43:20     10.44     10.43    -1.938     20.01
     2022-01-12/01:43:30     10.44     10.43    -1.949     20.01
     2022-01-12/01:43:40     10.44     10.43    -1.961     20.01
     2022-01-12/01:43:50     10.44     10.42    -1.973     20.01
     2022-01-12/01:44:00     10.43     10.42    -1.985     20.01
     2022-01-12/01:44:10     10.43     10.42    -1.996     20.01
     2022-01-12/01:44:20     10.43     10.42    -2.008     20.01
     2022-01-12/01:44:30     10.43     10.41    -2.020     20.01
     2022-01-12/01:44:40     10.43     10.41    -2.031     20.01
     2022-01-12/01:44:50     10.42     10.41    -2.043     20.01
     2022-01-12/01:45:00     10.42     10.41    -2.054     20.01
     2022-01-12/01:45:10     10.42     10.41    -2.066     20.01
     2022-01-12/01:45:20     10.42     10.40    -2.077     20.01
     2022-01-12/01:45:30     10.41     10.40    -2.089     20.01
     2022-01-12/01:45:40     10.41     10.40    -2.101     20.01
     2022-01-12/01:45:50     10.41     10.40    -2.112     20.01
     2022-01-12/01:46:00     10.41     10.39    -2.124     20.01
     2022-01-12/01:46:10     10.41     10.39    -2.135     20.01
     2022-01-12/01:46:20     10.40     10.39    -2.146     20.01
     2022-01-12/01:46:30     10.40     10.39    -2.158     20.01
     2022-01-12/01:46:40     10.40     10.38    -2.169     20.01
     2022-01-12/01:46:50     10.40     10.38    -2.181     20.01
     2022-01-12/01:47:00     10.40     10.38    -2.192     20.01
     2022-01-12/01:47:10     10.39     10.38    -2.203     20.01
     2022-01-12/01:47:20     10.39     10.38    -2.215     20.01
     2022-01-12/01:47:30     10.39     10.37    -2.226     20.01
     2022-01-12/01:47:40     10.39     10.37    -2.237     20.01
     2022-01-12/01:47:50     10.38     10.37    -2.249     20.01
     2022-01-12/01:48:00     10.38     10.37    -2.260     20.01
     2022-01-12/01:48:10     10.38     10.36    -2.271     20.01
     2022-01-12/01:48:20     10.38     10.36    -2.282     20.01
     2022-01-12/01:48:30     10.38     10.36    -2.294     20.01
     2022-01-12/01:48:40     10.37     10.36    -2.305     20.01
     2022-01-12/01:48:50     10.37     10.35    -2.316     20.01
     2022-01-12/01:49:00     10.37     10.35    -2.327     20.01
     2022-01-12/01:49:10     10.37     10.35    -2.338     20.01
     2022-01-12/01:49:20     10.37     10.35    -2.349     20.01
     2022-01-12/01:49:30     10.36     10.35    -2.361     20.01
     2022-01-12/01:49:40     10.36     10.34    -2.372     20.01
     2022-01-12/01:49:50     10.36     10.34    -2.383     20.01
     2022-01-12/01:50:00     10.36     10.34    -2.394     20.01
     2022-01-12/01:50:10     10.35     10.34    -2.405     20.01
     2022-01-12/01:50:20     10.35     10.33    -2.416     20.01
     2022-01-12/01:50:30     10.35     10.33    -2.427     20.01
     2022-01-12/01:50:40     10.35     10.33    -2.438     20.01
     2022-01-12/01:50:50     10.35     10.33    -2.449     20.01
     2022-01-12/01:51:00     10.34     10.32    -2.460     20.01
     2022-01-12/01:51:10     10.34     10.32    -2.471     20.01
     2022-01-12/01:51:20     10.34     10.32    -2.481     20.01
     2022-01-12/01:51:30     10.34     10.32    -2.492     20.01
     2022-01-12/01:51:40     10.34     10.32    -2.503     20.01
     2022-01-12/01:51:50     10.33     10.31    -2.514     20.01
     2022-01-12/01:52:00     10.33     10.31    -2.525     20.01
     2022-01-12/01:52:10     10.33     10.31    -2.536     20.01
     2022-01-12/01:52:20     10.33     10.31    -2.546     20.01
     2022-01-12/01:52:30     10.32     10.30    -2.557     20.01
     2022-01-12/01:52:40     10.32     10.30    -2.568     20.01
     2022-01-12/01:52:50     10.32     10.30    -2.579     20.01
     2022-01-12/01:53:00     10.32     10.30    -2.589     20.01
     2022-01-12/01:53:10     10.32     10.29    -2.600     20.01
     2022-01-12/01:53:20     10.31     10.29    -2.611     20.01
     2022-01-12/01:53:30     10.31     10.29    -2.621     20.01
     2022-01-12/01:53:40     10.31     10.29    -2.632     20.01
     2022-01-12/01:53:50     10.31     10.29    -2.642     20.01
     2022-01-12/01:54:00     10.31     10.28    -2.653     20.01
     2022-01-12/01:54:10     10.30     10.28    -2.664     20.01
     2022-01-12/01:54:20     10.30     10.28    -2.674     20.01
     2022-01-12/01:54:30     10.30     10.28    -2.685     20.01
     2022-01-12/01:54:40     10.30     10.27    -2.695     20.01
     2022-01-12/01:54:50     10.29     10.27    -2.706     20.01
     2022-01-12/01:55:00     10.29     10.27    -2.716     20.01
     2022-01-12/01:55:10     10.29     10.27    -2.727     20.01
     2022-01-12/01:55:20     10.29     10.26    -2.737     20.01
     2022-01-12/01:55:30     10.29     10.26    -2.747     20.01
     2022-01-12/01:55:40     10.28     10.26    -2.758     20.01
     2022-01-12/01:55:50     10.28     10.26    -2.768     20.01
     2022-01-12/01:56:00     10.28     10.26    -2.778     20.01
     2022-01-12/01:56:10     10.28     10.25    -2.789     20.01
     2022-01-12/01:56:20     10.28     10.25    -2.799     20.01
     2022-01-12/01:56:30     10.27     10.25    -2.809     20.01
     2022-01-12/01:56:40     10.27     10.25    -2.820     20.01
     2022-01-12/01:56:50     10.27     10.24    -2.830     20.01
     2022-01-12/01:57:00     10.27     10.24    -2.840     20.01
     2022-01-12/01:57:10     10.26     10.24    -2.850     20.01
     2022-01-12/01:57:20     10.26     10.24    -2.860     20.01
     2022-01-12/01:57:30     10.26     10.23    -2.870     20.01
     2022-01-12/01:57:40     10.26     10.23    -2.881     20.01
     2022-01-12/01:57:50     10.26     10.23    -2.891     20.01
     2022-01-12/01:58:00     10.25     10.23    -2.901     20.01
     2022-01-12/01:58:10     10.25     10.22    -2.911     20.01
     2022-01-12/01:58:20     10.25     10.22    -2.921     20.01
     2022-01-12/01:58:30     10.25     10.22    -2.931     20.01
     2022-01-12/01:58:40     10.25     10.22    -2.941     20.01
     2022-01-12/01:58:50     10.24     10.22    -2.951     20.01
     2022-01-12/01:59:00     10.24     10.21    -2.961     20.01
     2022-01-12/01:59:10     10.24     10.21    -2.971     20.01
     2022-01-12/01:59:20     10.24     10.21    -2.981     20.01
     2022-01-12/01:59:30     10.23     10.21    -2.991     20.01
     2022-01-12/01:59:40     10.23     10.20    -3.000     20.01
     2022-01-12/01:59:50     10.23     10.20    -3.010     20.01
     2022-01-12/02:00:00     10.23     10.20    -3.020     20.01
     2022-01-12/02:00:10     10.23     10.20    -3.030     20.01
     2022-01-12/02:00:20     10.22     10.19    -3.040     20.01
     2022-01-12/02:00:30     10.22     10.19    -3.049     20.01
     2022-01-12/02:00:40     10.22     10.19    -3.059     20.01
     2022-01-12/02:00:50     10.22     10.19    -3.069     20.01
     2022-01-12/02:01:00     10.22     10.19    -3.079     20.01
     2022-01-12/02:01:10     10.21     10.18    -3.088     20.01
     2022-01-12/02:01:20     10.21     10.18    -3.098     20.01
     2022-01-12/02:01:30     10.21     10.18    -3.108     20.01
     2022-01-12/02:01:40     10.21     10.18    -3.117     20.01
     2022-01-12/02:01:50     10.21     10.17    -3.127     20.01
     2022-01-12/02:02:00     10.20     10.17    -3.136     20.00
     2022-01-12/02:02:10     10.20     10.17    -3.146     20.00
     2022-01-12/02:02:20     10.20     10.17    -3.155     20.00
     2022-01-12/02:02:30     10.20     10.16    -3.165     20.00
     2022-01-12/02:02:40     10.19     10.16    -3.174     20.00
     2022-01-12/02:02:50     10.19     10.16    -3.184     20.00
     2022-01-12/02:03:00     10.19     10.16    -3.193     20.00
     2022-01-12/02:03:10     10.19     10.15    -3.203     20.00
     2022-01-12/02:03:20     10.19     10.15    -3.212     20.00
     2022-01-12/02:03:30     10.18     10.15    -3.221     20.00
     2022-01-12/02:03:40     10.18     10.15    -3.231     20.00
     2022-01-12/02:03:50     10.18     10.15    -3.240     20.00
     2022-01-12/02:04:00     10.18     10.14    -3.249     20.00
     2022-01-12/02:04:10     10.18     10.14    -3.259     20.00
     2022-01-12/02:04:20     10.17     10.14    -3.268     20.00
     2022-01-12/02:04:30     10.17     10.14    -3.277     20.00
     2022-01-12/02:04:40     10.17     10.13    -3.286     20.00
     2022-01-12/02:04:50     10.17     10.13    -3.295     20.00
     2022-01-12/02:05:00     10.16     10.13    -3.305     20.00
     2022-01-12/02:05:10     10.16     10.13    -3.314     20.00
     2022-01-12/02:05:20     10.16     10.12    -3.323     20.00
     2022-01-12/02:05:30     10.16     10.12    -3.332     20.00
     2022-01-12/02:05:40     10.16     10.12    -3.341     20.00
     2022-01-12/02:05:50     10.15     10.12    -3.350     20.00
     2022-01-12/02:06:00     10.15     10.12    -3.359     20.00
     2022-01-12/02:06:10     10.15     10.11    -3.368     20.00
     2022-01-12/02:06:20     10.15     10.11    -3.377     20.00
     2022-01-12/02:06:30     10.15     10.11    -3.386     20.00
     2022-01-12/02:06:40     10.14     10.11    -3.395     20.00
     2022-01-12/02:06:50     10.14     10.10    -3.404     20.00
     2022-01-12/02:07:00     10.14     10.10    -3.412     20.00
     2022-01-12/02:07:10     10.14     10.10    -3.421     20.00
     2022-01-12/02:07:20     10.13     10.10    -3.430     20.00
     2022-01-12/02:07:30     10.13     10.09    -3.439     20.00
     2022-01-12/02:07:40     10.13     10.09    -3.448     20.00
     2022-01-12/02:07:50     10.13     10.09    -3.456     20.00
     2022-01-12/02:08:00     10.13     10.09    -3.465     20.00
     2022-01-12/02:08:10     10.12     10.08    -3.474     20.00
     2022-01-12/02:08:20     10.12     10.08    -3.483     20.00
     2022-01-12/02:08:30     10.12     10.08    -3.491     20.00
     2022-01-12/02:08:40     10.12     10.08    -3.500     20.00
     2022-01-12/02:08:50     10.12     10.08    -3.508     20.00
     2022-01-12/02:09:00     10.11     10.07    -3.517     20.00
     2022-01-12/02:09:10     10.11     10.07    -3.526     20.00
     2022-01-12/02:09:20     10.11     10.07    -3.534     20.00
     2022-01-12/02:09:30     10.11     10.07    -3.543     20.00
     2022-01-12/02:09:40     10.10     10.06    -3.551     20.00
     2022-01-12/02:09:50     10.10     10.06    -3.560     20.00
     2022-01-12/02:10:00     10.10     10.06    -3.568     20.00
     2022-01-12/02:10:10     10.10     10.06    -3.576     20.00
     2022-01-12/02:10:20     10.10     10.05    -3.585     20.00
     2022-01-12/02:10:30     10.09     10.05    -3.593     20.00
     2022-01-12/02:10:40     10.09     10.05    -3.602     20.00
     2022-01-12/02:10:50     10.09     10.05    -3.610     20.00
     2022-01-12/02:11:00     10.09     10.04    -3.618     20.00
     2022-01-12/02:11:10     10.08     10.04    -3.626     20.00
     2022-01-12/02:11:20     10.08     10.04    -3.635     20.00
     2022-01-12/02:11:30     10.08     10.04    -3.643     20.00
     2022-01-12/02:11:40     10.08     10.04    -3.651     20.00
     2022-01-12/02:11:50     10.08     10.03    -3.659     20.00
     2022-01-12/02:12:00     10.07     10.03    -3.667     20.00
     2022-01-12/02:12:10     10.07     10.03    -3.675     20.00
     2022-01-12/02:12:20     10.07     10.03    -3.684     20.00
     2022-01-12/02:12:30     10.07     10.02    -3.692     20.00
     2022-01-12/02:12:40     10.07     10.02    -3.700     20.00
     2022-01-12/02:12:50     10.06     10.02    -3.708     20.00
     2022-01-12/02:13:00     10.06     10.02    -3.716     20.00
     2022-01-12/02:13:10     10.06     10.01    -3.724     20.00
     2022-01-12/02:13:20     10.06     10.01    -3.732     20.00
     2022-01-12/02:13:30     10.05     10.01    -3.739     20.00
     2022-01-12/02:13:40     10.05     10.01    -3.747     20.00
     2022-01-12/02:13:50     10.05     10.00    -3.755     20.00
     2022-01-12/02:14:00     10.05     10.00    -3.763     20.00
     2022-01-12/02:14:10     10.05     10.00    -3.771     20.00
     2022-01-12/02:14:20     10.04     9.998    -3.779     20.00
     2022-01-12/02:14:30     10.04     9.995    -3.786     20.00
     2022-01-12/02:14:40     10.04     9.993    -3.794     20.00
     2022-01-12/02:14:50     10.04     9.991    -3.802     20.00
     2022-01-12/02:15:00     10.04     9.988    -3.809     19.99
     2022-01-12/02:15:10     10.03     9.986    -3.817     19.99
     2022-01-12/02:15:20     10.03     9.984    -3.825     19.99
     2022-01-12/02:15:30     10.03     9.981    -3.832     19.99
     2022-01-12/02:15:40     10.03     9.979    -3.840     19.99
     2022-01-12/02:15:50     10.02     9.977    -3.847     19.99
     2022-01-12/02:16:00     10.02     9.974    -3.855     19.99
     2022-01-12/02:16:10     10.02     9.972    -3.863     19.99
     2022-01-12/02:16:20     10.02     9.969    -3.870     19.99
     2022-01-12/02:16:30     10.02     9.967    -3.877     19.99
     2022-01-12/02:16:40     10.01     9.965    -3.885     19.99
     2022-01-12/02:16:50     10.01     9.962    -3.892     19.99
     2022-01-12/02:17:00     10.01     9.960    -3.900     19.99
     2022-01-12/02:17:10     10.01     9.958    -3.907     19.99
     2022-01-12/02:17:20     10.00     9.955    -3.914     19.99
     2022-01-12/02:17:30     10.00     9.953    -3.922     19.99
     2022-01-12/02:17:40     10.00     9.951    -3.929     19.99
     2022-01-12/02:17:50     9.998     9.948    -3.936     19.99
     2022-01-12/02:18:00     9.996     9.946    -3.943     19.99
     2022-01-12/02:18:10     9.994     9.944    -3.950     19.99
     2022-01-12/02:18:20     9.992     9.941    -3.958     19.99
     2022-01-12/02:18:30     9.989     9.939    -3.965     19.99
     2022-01-12/02:18:40     9.987     9.936    -3.972     19.99
     2022-01-12/02:18:50     9.985     9.934    -3.979     19.99
     2022-01-12/02:19:00     9.983     9.932    -3.986     19.99
     2022-01-12/02:19:10     9.981     9.929    -3.993     19.99
     2022-01-12/02:19:20     9.978     9.927    -4.000     19.99
     2022-01-12/02:19:30     9.976     9.925    -4.007     19.99
     2022-01-12/02:19:40     9.974     9.922    -4.014     19.99
     2022-01-12/02:19:50     9.972     9.920    -4.021     19.99
     2022-01-12/02:20:00     9.970     9.918    -4.028     19.99
     2022-01-12/02:20:10     9.968     9.915    -4.035     19.99
     2022-01-12/02:20:20     9.965     9.913    -4.041     19.99
     2022-01-12/02:20:30     9.963     9.910    -4.048     19.99
     2022-01-12/02:20:40     9.961     9.908    -4.055     19.99
     2022-01-12/02:20:50     9.959     9.906    -4.062     19.99
     2022-01-12/02:21:00     9.957     9.903    -4.068     19.99
     2022-01-12/02:21:10     9.954     9.901    -4.075     19.99
     2022-01-12/02:21:20     9.952     9.899    -4.082     19.99
     2022-01-12/02:21:30     9.950     9.896    -4.088     19.99
     2022-01-12/02:21:40     9.948     9.894    -4.095     19.99
     2022-01-12/02:21:50     9.946     9.892    -4.102     19.99
     2022-01-12/02:22:00     9.943     9.889    -4.108     19.99
     2022-01-12/02:22:10     9.941     9.887    -4.115     19.99
     2022-01-12/02:22:20     9.939     9.884    -4.121     19.99
     2022-01-12/02:22:30     9.937     9.882    -4.128     19.99
     2022-01-12/02:22:40     9.935     9.880    -4.134     19.99
     2022-01-12/02:22:50     9.932     9.877    -4.141     19.99
     2022-01-12/02:23:00     9.930     9.875    -4.147     19.99
     2022-01-12/02:23:10     9.928     9.873    -4.153     19.99
     2022-01-12/02:23:20     9.926     9.870    -4.160     19.99
     2022-01-12/02:23:30     9.924     9.868    -4.166     19.99
     2022-01-12/02:23:40     9.921     9.865    -4.172     19.99
     2022-01-12/02:23:50     9.919     9.863    -4.179     19.99
     2022-01-12/02:24:00     9.917     9.861    -4.185     19.99
     2022-01-12/02:24:10     9.915     9.858    -4.191     19.99
     2022-01-12/02:24:20     9.912     9.856    -4.197     19.99
     2022-01-12/02:24:30     9.910     9.854    -4.203     19.99
     2022-01-12/02:24:40     9.908     9.851    -4.209     19.99
     2022-01-12/02:24:50     9.906     9.849    -4.216     19.99
     2022-01-12/02:25:00     9.904     9.847    -4.222     19.99
     2022-01-12/02:25:10     9.901     9.844    -4.228     19.99
     2022-01-12/02:25:20     9.899     9.842    -4.234     19.99
     2022-01-12/02:25:30     9.897     9.839    -4.240     19.99
     2022-01-12/02:25:40     9.895     9.837    -4.246     19.99
     2022-01-12/02:25:50     9.893     9.835    -4.252     19.99
     2022-01-12/02:26:00     9.890     9.832    -4.257     19.99
     2022-01-12/02:26:10     9.888     9.830    -4.263     19.98
     2022-01-12/02:26:20     9.886     9.828    -4.269     19.98
     2022-01-12/02:26:30     9.884     9.825    -4.275     19.98
     2022-01-12/02:26:40     9.881     9.823    -4.281     19.98
     2022-01-12/02:26:50     9.879     9.820    -4.286     19.98
     2022-01-12/02:27:00     9.877     9.818    -4.292     19.98
     2022-01-12/02:27:10     9.875     9.816    -4.298     19.98
     2022-01-12/02:27:20     9.873     9.813    -4.304     19.98
     2022-01-12/02:27:30     9.870     9.811    -4.309     19.98
     2022-01-12/02:27:40     9.868     9.809    -4.315     19.98
     2022-01-12/02:27:50     9.866     9.806    -4.320     19.98
     2022-01-12/02:28:00     9.864     9.804    -4.326     19.98
     2022-01-12/02:28:10     9.861     9.801    -4.331     19.98
     2022-01-12/02:28:20     9.859     9.799    -4.337     19.98
     2022-01-12/02:28:30     9.857     9.797    -4.342     19.98
     2022-01-12/02:28:40     9.855     9.794    -4.348     19.98
     2022-01-12/02:28:50     9.852     9.792    -4.353     19.98
     2022-01-12/02:29:00     9.850     9.790    -4.359     19.98
     2022-01-12/02:29:10     9.848     9.787    -4.364     19.98
     2022-01-12/02:29:20     9.846     9.785    -4.369     19.98
     2022-01-12/02:29:30     9.843     9.782    -4.375     19.98
     2022-01-12/02:29:40     9.841     9.780    -4.380     19.98
     2022-01-12/02:29:50     9.839     9.778    -4.385     19.98
     2022-01-12/02:30:00     9.837     9.775    -4.390     19.98
     2022-01-12/02:30:10     9.835     9.773    -4.395     19.98
     2022-01-12/02:30:20     9.832     9.770    -4.401     19.98
     2022-01-12/02:30:30     9.830     9.768    -4.406     19.98
     2022-01-12/02:30:40     9.828     9.766    -4.411     19.98
     2022-01-12/02:30:50     9.826     9.763    -4.416     19.98
     2022-01-12/02:31:00     9.823     9.761    -4.421     19.98
     2022-01-12/02:31:10     9.821     9.759    -4.426     19.98
     2022-01-12/02:31:20     9.819     9.756    -4.431     19.98
     2022-01-12/02:31:30     9.817     9.754    -4.436     19.98
     2022-01-12/02:31:40     9.814     9.751    -4.441     19.98
     2022-01-12/02:31:50     9.812     9.749    -4.445     19.98
     2022-01-12/02:32:00     9.810     9.747    -4.450     19.98
     2022-01-12/02:32:10     9.808     9.744    -4.455     19.98
     2022-01-12/02:32:20     9.805     9.742    -4.460     19.98
     2022-01-12/02:32:30     9.803     9.739    -4.465     19.98
     2022-01-12/02:32:40     9.801     9.737    -4.469     19.98
     2022-01-12/02:32:50     9.799     9.735    -4.474     19.98
     2022-01-12/02:33:00     9.796     9.732    -4.479     19.98
     2022-01-12/02:33:10     9.794     9.730    -4.483     19.98
     2022-01-12/02:33:20     9.792     9.728    -4.488     19.98
     2022-01-12/02:33:30     9.789     9.725    -4.493     19.98
     2022-01-12/02:33:40     9.787     9.723    -4.497     19.98
     2022-01-12/02:33:50     9.785     9.720    -4.502     19.98
     2022-01-12/02:34:00     9.783     9.718    -4.506     19.98
     2022-01-12/02:34:10     9.780     9.716    -4.511     19.98
     2022-01-12/02:34:20     9.778     9.713    -4.515     19.98
     2022-01-12/02:34:30     9.776     9.711    -4.519     19.98
     2022-01-12/02:34:40     9.774     9.708    -4.524     19.98
     2022-01-12/02:34:50     9.771     9.706    -4.528     19.98
     2022-01-12/02:35:00     9.769     9.704    -4.532     19.98
