Time                    Mshell    R         MagLat    MLT       
     2022-01-12/00:21:30     11.68     11.53     4.778     20.00
     2022-01-12/00:21:40     11.67     11.53     4.764     20.00
     2022-01-12/00:21:50     11.67     11.53     4.751     20.00
     2022-01-12/00:22:00     11.67     11.53     4.737     20.00
     2022-01-12/00:22:10     11.66     11.52     4.724     20.00
     2022-01-12/00:22:20     11.66     11.52     4.711     20.00
     2022-01-12/00:22:30     11.66     11.52     4.697     20.00
     2022-01-12/00:22:40     11.65     11.52     4.684     20.00
     2022-01-12/00:22:50     11.65     11.52     4.670     20.00
     2022-01-12/00:23:00     11.65     11.51     4.657     20.00
     2022-01-12/00:23:10     11.65     11.51     4.644     20.00
     2022-01-12/00:23:20     11.64     11.51     4.630     20.00
     2022-01-12/00:23:30     11.64     11.51     4.617     20.00
     2022-01-12/00:23:40     11.64     11.50     4.603     20.00
     2022-01-12/00:23:50     11.63     11.50     4.590     20.00
     2022-01-12/00:24:00     11.63     11.50     4.576     20.00
     2022-01-12/00:24:10     11.63     11.50     4.563     20.00
     2022-01-12/00:24:20     11.62     11.50     4.549     20.00
     2022-01-12/00:24:30     11.62     11.49     4.536     20.00
     2022-01-12/00:24:40     11.62     11.49     4.522     20.00
     2022-01-12/00:24:50     11.62     11.49     4.509     20.00
     2022-01-12/00:25:00     11.61     11.49     4.495     20.00
     2022-01-12/00:25:10     11.61     11.48     4.482     20.00
     2022-01-12/00:25:20     11.61     11.48     4.468     20.00
     2022-01-12/00:25:30     11.60     11.48     4.454     20.00
     2022-01-12/00:25:40     11.60     11.48     4.441     20.00
     2022-01-12/00:25:50     11.60     11.48     4.427     20.00
     2022-01-12/00:26:00     11.59     11.47     4.414     20.00
     2022-01-12/00:26:10     11.59     11.47     4.400     20.00
     2022-01-12/00:26:20     11.59     11.47     4.386     20.00
     2022-01-12/00:26:30     11.59     11.47     4.373     20.00
     2022-01-12/00:26:40     11.58     11.47     4.359     20.00
     2022-01-12/00:26:50     11.58     11.46     4.346     20.00
     2022-01-12/00:27:00     11.58     11.46     4.332     20.00
     2022-01-12/00:27:10     11.57     11.46     4.318     20.00
     2022-01-12/00:27:20     11.57     11.46     4.305     20.00
     2022-01-12/00:27:30     11.57     11.45     4.291     20.00
     2022-01-12/00:27:40     11.56     11.45     4.277     20.00
     2022-01-12/00:27:50     11.56     11.45     4.263     20.00
     2022-01-12/00:28:00     11.56     11.45     4.250     20.00
     2022-01-12/00:28:10     11.56     11.45     4.236     20.00
     2022-01-12/00:28:20     11.55     11.44     4.222     20.00
     2022-01-12/00:28:30     11.55     11.44     4.209     20.00
     2022-01-12/00:28:40     11.55     11.44     4.195     20.00
     2022-01-12/00:28:50     11.54     11.44     4.181     20.00
     2022-01-12/00:29:00     11.54     11.43     4.167     20.00
     2022-01-12/00:29:10     11.54     11.43     4.154     20.00
     2022-01-12/00:29:20     11.53     11.43     4.140     20.00
     2022-01-12/00:29:30     11.53     11.43     4.126     20.00
     2022-01-12/00:29:40     11.53     11.43     4.112     20.00
     2022-01-12/00:29:50     11.53     11.42     4.098     20.00
     2022-01-12/00:30:00     11.52     11.42     4.085     20.00
     2022-01-12/00:30:10     11.52     11.42     4.071     20.00
     2022-01-12/00:30:20     11.52     11.42     4.057     20.00
     2022-01-12/00:30:30     11.51     11.41     4.043     20.00
     2022-01-12/00:30:40     11.51     11.41     4.029     20.00
     2022-01-12/00:30:50     11.51     11.41     4.016     20.00
     2022-01-12/00:31:00     11.51     11.41     4.002     20.00
     2022-01-12/00:31:10     11.50     11.41     3.988     20.00
     2022-01-12/00:31:20     11.50     11.40     3.974     20.00
     2022-01-12/00:31:30     11.50     11.40     3.960     20.00
     2022-01-12/00:31:40     11.49     11.40     3.946     20.00
     2022-01-12/00:31:50     11.49     11.40     3.932     20.00
