time                             Energy            Daa
2022-01-12/01:31:45          118.6 2.971e-06
2022-01-12/01:31:45          142.9 2.213e-06
2022-01-12/01:31:45          171.8 1.640e-06
2022-01-12/01:31:45          206.7 1.198e-06
2022-01-12/01:31:45          247.6 8.872e-07
2022-01-12/01:31:45          295.9 7.873e-07
2022-01-12/01:31:45          353.2 6.626e-07
2022-01-12/01:31:45          421.5 5.294e-07
2022-01-12/01:31:45          504.2 4.328e-07
2022-01-12/01:31:45          605.4 3.522e-07
2022-01-12/01:31:45          731.8 2.876e-07
2022-01-12/01:31:45          972.3 2.099e-07
2022-01-12/01:32:15        0.03075     0.000
2022-01-12/01:32:15        0.03242     0.000
2022-01-12/01:32:15        0.04127     0.000
2022-01-12/01:32:15        0.05200     0.000
2022-01-12/01:32:15        0.06481     0.000
2022-01-12/01:32:15        0.08088     0.000
2022-01-12/01:32:15         0.1005     0.000
2022-01-12/01:32:15         0.1256     0.000
2022-01-12/01:32:15         0.1565     0.000
2022-01-12/01:32:15         0.1950 1.906e-11
2022-01-12/01:32:15         0.2432 7.457e-10
2022-01-12/01:32:15         0.3030 4.862e-09
2022-01-12/01:32:15         0.3776 1.215e-08
2022-01-12/01:32:15         0.4700 6.697e-06
2022-01-12/01:32:15         0.5855 7.119e-05
2022-01-12/01:32:15         0.7291 0.0001162
2022-01-12/01:32:15         0.9078 0.0001266
2022-01-12/01:32:15          1.129 0.0001192
2022-01-12/01:32:15          1.406 9.994e-05
2022-01-12/01:32:15          1.751 7.642e-05
2022-01-12/01:32:15          2.180 0.0003578
2022-01-12/01:32:15          2.715 0.0008195
2022-01-12/01:32:15          3.375 0.0007494
2022-01-12/01:32:15          4.202 0.0005936
2022-01-12/01:32:15          5.232 0.0004252
2022-01-12/01:32:15          6.521 0.0002775
2022-01-12/01:32:15          8.126 0.0001778
2022-01-12/01:32:15          10.11 0.0001104
2022-01-12/01:32:15          12.59 0.0001098
2022-01-12/01:32:15          15.68 8.020e-05
2022-01-12/01:32:15          19.53 5.718e-05
2022-01-12/01:32:15          24.32 3.859e-05
2022-01-12/01:32:15          39.23 1.677e-05
2022-01-12/01:32:15          46.73 1.295e-05
2022-01-12/01:32:15          56.30 9.720e-06
2022-01-12/01:32:15          67.84 7.196e-06
2022-01-12/01:32:15          81.77 5.351e-06
2022-01-12/01:32:15          98.36 4.867e-06
2022-01-12/01:32:15          118.6 3.969e-06
2022-01-12/01:32:15          142.9 3.171e-06
2022-01-12/01:32:15          171.8 2.411e-06
2022-01-12/01:32:15          206.7 1.670e-06
2022-01-12/01:32:15          247.6 1.181e-06
2022-01-12/01:32:15          295.9 1.110e-06
2022-01-12/01:32:15          353.2 9.524e-07
2022-01-12/01:32:15          421.5 7.445e-07
2022-01-12/01:32:15          504.2 5.866e-07
2022-01-12/01:32:15          605.4 4.640e-07
2022-01-12/01:32:15          731.8 3.770e-07
2022-01-12/01:32:15          972.3 2.697e-07
