time                             Energy            Daa
2022-01-12/01:27:15          56.30 2.748e-06
2022-01-12/01:27:15          67.84 1.818e-06
2022-01-12/01:27:15          81.77 1.213e-06
2022-01-12/01:27:15          98.36 1.236e-06
2022-01-12/01:27:15          118.6 9.551e-07
2022-01-12/01:27:15          142.9 6.924e-07
2022-01-12/01:27:15          171.8 4.733e-07
2022-01-12/01:27:15          206.7 2.965e-07
2022-01-12/01:27:15          247.6 1.920e-07
2022-01-12/01:27:15          295.9 2.065e-07
2022-01-12/01:27:15          353.2 1.890e-07
2022-01-12/01:27:15          421.5 1.516e-07
2022-01-12/01:27:15          504.2 1.255e-07
2022-01-12/01:27:15          605.4 1.046e-07
2022-01-12/01:27:15          731.8 9.025e-08
2022-01-12/01:27:15          972.3 7.268e-08
2022-01-12/01:27:45        0.03075     0.000
2022-01-12/01:27:45        0.03242     0.000
2022-01-12/01:27:45        0.04127     0.000
2022-01-12/01:27:45        0.05200     0.000
2022-01-12/01:27:45        0.06481     0.000
2022-01-12/01:27:45        0.08088     0.000
2022-01-12/01:27:45         0.1005     0.000
2022-01-12/01:27:45         0.1256     0.000
2022-01-12/01:27:45         0.1565     0.000
2022-01-12/01:27:45         0.1950 1.856e-10
2022-01-12/01:27:45         0.2432 3.751e-09
2022-01-12/01:27:45         0.3030 2.109e-08
2022-01-12/01:27:45         0.3776 4.907e-08
2022-01-12/01:27:45         0.4700 2.533e-07
2022-01-12/01:27:45         0.5855 2.006e-06
2022-01-12/01:27:45         0.7291 3.228e-06
2022-01-12/01:27:45         0.9078 3.511e-06
2022-01-12/01:27:45          1.129 3.310e-06
2022-01-12/01:27:45          1.406 2.786e-06
2022-01-12/01:27:45          1.751 2.144e-06
2022-01-12/01:27:45          2.180 8.227e-05
2022-01-12/01:27:45          2.715 0.0002094
2022-01-12/01:27:45          3.375 0.0001938
2022-01-12/01:27:45          4.202 0.0001541
2022-01-12/01:27:45          5.232 0.0001093
2022-01-12/01:27:45          6.521 7.114e-05
2022-01-12/01:27:45          8.126 4.730e-05
2022-01-12/01:27:45          10.11 3.049e-05
2022-01-12/01:27:45          12.59 4.146e-05
2022-01-12/01:27:45          15.68 3.196e-05
2022-01-12/01:27:45          19.53 2.408e-05
2022-01-12/01:27:45          24.32 1.679e-05
2022-01-12/01:27:45          39.23 7.483e-06
2022-01-12/01:27:45          46.73 5.693e-06
2022-01-12/01:27:45          56.30 4.063e-06
2022-01-12/01:27:45          67.84 2.743e-06
2022-01-12/01:27:45          81.77 1.811e-06
2022-01-12/01:27:45          98.36 1.567e-06
2022-01-12/01:27:45          118.6 1.163e-06
2022-01-12/01:27:45          142.9 8.613e-07
2022-01-12/01:27:45          171.8 6.301e-07
2022-01-12/01:27:45          206.7 4.329e-07
2022-01-12/01:27:45          247.6 3.060e-07
2022-01-12/01:27:45          295.9 2.897e-07
2022-01-12/01:27:45          353.2 2.518e-07
2022-01-12/01:27:45          421.5 2.017e-07
2022-01-12/01:27:45          504.2 1.651e-07
2022-01-12/01:27:45          605.4 1.352e-07
2022-01-12/01:27:45          731.8 1.121e-07
2022-01-12/01:27:45          972.3 8.460e-08
2022-01-12/01:28:15        0.03075     0.000
2022-01-12/01:28:15        0.03242     0.000
2022-01-12/01:28:15        0.04127     0.000
2022-01-12/01:28:15        0.05200     0.000
2022-01-12/01:28:15        0.06481     0.000
2022-01-12/01:28:15        0.08088     0.000
2022-01-12/01:28:15         0.1005     0.000
2022-01-12/01:28:15         0.1256     0.000
2022-01-12/01:28:15         0.1565     0.000
2022-01-12/01:28:15         0.1950 8.741e-08
2022-01-12/01:28:15         0.2432 1.034e-06
2022-01-12/01:28:15         0.3030 4.462e-06
2022-01-12/01:28:15         0.3776 8.679e-06
2022-01-12/01:28:15         0.4700 1.375e-05
2022-01-12/01:28:15         0.5855 2.038e-05
2022-01-12/01:28:15         0.7291 2.591e-05
2022-01-12/01:28:15         0.9078 2.940e-05
2022-01-12/01:28:15          1.129 3.096e-05
2022-01-12/01:28:15          1.406 3.067e-05
2022-01-12/01:28:15          1.751 2.966e-05
2022-01-12/01:28:15          2.180 7.472e-05
2022-01-12/01:28:15          2.715 0.0001472
2022-01-12/01:28:15          3.375 0.0001397
2022-01-12/01:28:15          4.202 0.0001175
2022-01-12/01:28:15          5.232 9.052e-05
2022-01-12/01:28:15          6.521 6.559e-05
2022-01-12/01:28:15          8.126 4.947e-05
2022-01-12/01:28:15          10.11 3.548e-05
2022-01-12/01:28:15          12.59 4.514e-05
2022-01-12/01:28:15          15.68 3.551e-05
2022-01-12/01:28:15          19.53 3.047e-05
2022-01-12/01:28:15          24.32 2.598e-05
2022-01-12/01:28:15          39.23 1.201e-05
2022-01-12/01:28:15          46.73 8.316e-06
2022-01-12/01:28:15          56.30 5.560e-06
2022-01-12/01:28:15          67.84 3.886e-06
2022-01-12/01:28:15          81.77 3.025e-06
2022-01-12/01:28:15          98.36 2.767e-06
2022-01-12/01:28:15          118.6 2.009e-06
2022-01-12/01:28:15          142.9 1.441e-06
2022-01-12/01:28:15          171.8 1.085e-06
2022-01-12/01:28:15          206.7 8.612e-07
2022-01-12/01:28:15          247.6 6.659e-07
2022-01-12/01:28:15          295.9 5.704e-07
2022-01-12/01:28:15          353.2 4.692e-07
2022-01-12/01:28:15          421.5 3.750e-07
2022-01-12/01:28:15          504.2 3.135e-07
2022-01-12/01:28:15          605.4 2.543e-07
2022-01-12/01:28:15          731.8 2.063e-07
2022-01-12/01:28:15          972.3 1.481e-07
2022-01-12/01:28:45        0.03075     0.000
2022-01-12/01:28:45        0.03242     0.000
2022-01-12/01:28:45        0.04127     0.000
2022-01-12/01:28:45        0.05200     0.000
2022-01-12/01:28:45        0.06481     0.000
2022-01-12/01:28:45        0.08088     0.000
2022-01-12/01:28:45         0.1005     0.000
2022-01-12/01:28:45         0.1256     0.000
2022-01-12/01:28:45         0.1565     0.000
2022-01-12/01:28:45         0.1950 2.629e-07
2022-01-12/01:28:45         0.2432 3.086e-06
2022-01-12/01:28:45         0.3030 1.324e-05
2022-01-12/01:28:45         0.3776 2.562e-05
2022-01-12/01:28:45         0.4700 4.043e-05
2022-01-12/01:28:45         0.5855 5.823e-05
2022-01-12/01:28:45         0.7291 7.343e-05
2022-01-12/01:28:45         0.9078 8.366e-05
2022-01-12/01:28:45          1.129 8.865e-05
2022-01-12/01:28:45          1.406 8.852e-05
2022-01-12/01:28:45          1.751 8.630e-05
